,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X002460.SZ,X600585.SH,X600019.SH,X600111.SH,X000792.SZ,X600188.SH,X600010.SH,X601600.SH,X000301.SZ,X002466.SZ,X600011.SH,X601898.SH,X600660.SH,X000708.SZ,X002271.SZ,X600886.SH,X600547.SH,X600362.SH,X600176.SH,X600426.SH,X601991.SH,X002080.SZ,X300037.SZ,X000825.SZ,X600795.SH,X600803.SH,X600295.SH,X000786.SZ,X600219.SH,X000408.SZ,X600141.SH,X000959.SZ,X002353.SZ,X002326.SZ,X000983.SZ,X000807.SZ,X600688.SH,X600027.SH,X600096.SH,X000932.SZ,X000898.SZ,X000027.SZ,X600157.SH,X000723.SZ,X601699.SH,X600801.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0.0500465963775647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00333846082688394,0,0.0157292441501274,0,0,0,0.0268855977292158,0,0,0.059589886732778,0,0.0179522564998381,0.0780507223924906,0,0,-0.00940388024170001,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,-0.0068821357756939,0,0.00745466209902262,0,0,0.0225642220453073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0122710502209792,0,-0.0146734315748314,0.0484749816148653,0,0,0,0,0,0,-3.3881317890172e-21,0.082055595904667,0,0.0707501880343792,0,0,0,0,0.0366039443973841,0,0,0,8.67361737988404e-19,0,0,-0.00499561333064919,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0.105941435349277,0,0,0.113326079717157,0,0,0,0,0,0.149000866908716,0,0,0,0,0,0,0,0,0,0,-0.0645716416965253,0,0,0,0.0513591789714833,0,0,0,0,0,0,0,0.171314126742398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0185184423413741,0,0,0,0,0.191985019179045,0,0,0.0815201143777039,0,0,0,0,0.0344873089564657,0,0,0,0,0,0,-0.0329920987661095,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0023396813984785,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0.125558591591737,0,0,0,0,0,0.527197762376909,0,0,0,0,0,0,0,0,0,0,0,0,0.0249622086803526,0,0,0,0.0535621212245824,0,0,0,0.129940241189819,0,0,0.150403978781218,-0.093074519752199,0,0,0,0,0,0,0,0,0,0,0,0,0.0819811597745604,-0.0815782194789026,0,0,0,0,0,0
X600585.SH,0,0,0,0,-0.0793025769653364,0,0,0,0,0,0,0,0,0,0,0,0,-0.0780081476852604,0.0364081019091903,0,0,0,0,0,0,-0.052342727654624,0,0,0,0,0,0,0,0.0462221734479681,0,0.133878810266419,0,0,0,0,0,0,0,0,0,0,0,-0.0236750573893758,0,0.666746354454388,0,0.0167499730649684,-0.0225821596287356,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0.0290596521952393,0,0,0,0,0,0,0.00264392173299539,0,0,0,0,0,0,0,0,-0.0571687461271946,0,0,0,0.0156791134547467,0,0,0,0,0,0,0,0.03296810081959,0,0,0,-0.0032057111971813,0,0.568551053322091,0,0,0,0.00943321344237221,0.0195801626364015,0,0,0,0,0,0,-0.0472661105809074,0,0
X600111.SH,0,0,0,0,0.167420307003013,0,0,0,0,0,0.393275723397271,0,0,0.0825256006759247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.087485399400239,0,0,0,0,0.0209925781643166,0,0,0,0,0,0,0,0,0,0,0,0,0.00990431367528724,0.0502026252541031,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0.0675572010063836,0,0,0,0,0,0,0,0,0,0,-0.159168765091581,0,0,0,0,0,0,0,0,0,0,0,-0.071613980008264,0,0,0.0985171880341687,0,0,0.210743913590176,0,0,0,0,0.083494041443983,0,0,0,0,0,0,0,0,-0.254865489724874,0,0,0,0,0.0935160534920469,0,0,0,-0.131069373246246,0,0
X600188.SH,0,0,0,-0.102036244899423,0,0,0,0,0,0,0.10838904867544,0,-0.0693071219778019,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,-0.073039300762641,0,-0.118766592599475,0.238385434496613,0,0.338357367323945,0,-0.0200953817802935,0,0,0,0.289757150913634,0,0,0,0,0,0,0,0,0,0,0,-0.0910201620696499,0.509829611990534,0,0,0.0531551101371421,-0.131716888962071,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0.195778228957455,0.352618524338315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.096723513060443,0,0,0,0,0.182759948306908,0,0,0,0,0,0,0,0,0.132585221655391,0,0,0,0,0,0,0.0223539213143661,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124927591068131,0,0,0,0.104415101017073,0,0,0,0,0,0,0,0,0,0.157202206432951,0,0,0.00932050542119778,0,0,0,0,0,0,0.0833324172008111,0,0.279839251300899,0,0,0.0266107187941153,0,0,0,0,0,0,0.0834454582477678,0,0,0,0,0,0,-0.077305038603502,0,0
X000301.SZ,0,0,0,0,0,-0.0553883064562226,0,-0.0997102251393698,0,0,0,0,0,0,0,-0.042905152603084,0,0,0,0,0,0,0,0,0,0,0.0788315923814865,0,0,0,0,0,0,0,0,0,0,0,0,0.0915100547077747,0.234694089889991,0,0.426641354079687,0,0,0.0890093826507964,0,-0.0882292078967727,0,0,0,0.00687533588905206,0,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0.297726986137312,0,0,0.120400641939267,0,0,0.125069834191645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.350190587724501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0115630523751443,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.076871546137972,0,0,0,0.0822714675214564,0,0.150243399781101,0,0,0.0117843517428567,0.00591958397676872,0,0,0,0.414827370807528,0,0,0,0,0,0,0,0,0,0,0.000833923118291997,0,0,0,-0.0225375697111916,0,0
