,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600585.SH,X600188.SH,X002460.SZ,X000792.SZ,X600019.SH,X002466.SZ,X601898.SH,X600111.SH,X002271.SZ,X600011.SH,X000877.SZ,X600660.SH,X000708.SZ,X600010.SH,X000301.SZ,X600547.SH,X601600.SH,X600886.SH,X600426.SH,X600176.SH,X600362.SH,X600795.SH,X000983.SZ,X000786.SZ,X600096.SH,X000408.SZ,X000723.SZ,X600803.SH,X601991.SH,X600801.SH,X600486.SH,X601699.SH,X600219.SH,X600141.SH,X600027.SH,X000932.SZ,X600295.SH,X000807.SZ,X002080.SZ,X000830.SZ,X300073.SZ,X600985.SH,X600157.SH,X600688.SH,X000630.SZ,X600489.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0.0406320392835822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143688809324316,0,0,0,0,0,0,0.117674445974478,0,0.0338124651226622,0,0.0884750535014747,0,0,0,0,0,0,0,0,0,0,0.0423532819921289,0.192256922319053,0,0,-0.0443637075489288,0,0,0,0,0,0
X601088.SH,0.158517474047395,0,0,0,0,0.161605804242982,0,0,0,0,0.16168684774938,0,0,0,0,0,0,0,-0.0235806346994047,0,0,0,0,0,0,0,0.00365349257478356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0111499191122295,0.171745300052998,0,0,0,0,0,0.0183296805464077,-0.00244471935264722,0,0,0,0,0,0
X600028.SH,0.0168380922835599,0,0,0,0,0,0,0,0,0,0.0474105286960832,0,0,-0.0579591307104675,0,0,0,0,0,0,0.0549016171283842,0,0.0139666819819324,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0454286175769321,0,0,0,0.0407832341777053,-4.33680868994202e-19,0,0,0,0,0,0.0782885060927599,0.00281415896819388,0,0,0,-0.0214309722175309,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00466017266979299,0.093193418358299,0.161796781532797,0.110321118618351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066321459211157,0,0,0,0.0231969095601228,0,0,0,0,0,0.121558425131682,0,0,0,-0.00238854207157551,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0822949678089462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00151916551938803,0,0,0.0708630708802648,0,0,0.427396291016991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00715244596550674,0,0,0,0,0,0,0
X600188.SH,0,0.634853741799216,0,0,0,0,0,0,0,0.0264937999429992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114635198701537,0.0342130167569885,0,0,0,0.354687202862782,0,0,0,0,0.154368751900349,0.0604385126501086,-0.0147354670724615,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0.548152543916197,0,0.162119898802063,0,0.0572417007943724,0,0,0,0,0,0,0.052248487158256,0,0,0,0,0,0,0,0,0,0.00788812828556126,0,0,0,0,0.0682020504624149,0,0,0,0,0,0,0,0,0.0475933987516754,0,0,0,0,0,0,-0.057448773581702,0,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0.00956881410692617,0.14587023955258,0,0,0.289254534624211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0499382641459499,0,0.0314871073528503,0,0,0,0,0,0.291475319350212,0,0,0,0,0,0,0,0,0,0,0.110589046285095,0,0,0.0151314537937908,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0226999181705831,0,0,0,0,0,0,0,-0.0200738969117985,0,0,0,0,0.542351035192955,0.0203589320116404,0.0205275609689662,0,0,0,0.0452352554959065,0,0,0,0,0,-0.00363800031592114,-0.034428478323496,0,0,0,0,0,0
X002466.SZ,-0.0308165926067702,-0.0975563392119725,0,0,0,0,0.838658170221962,0,0,0,0,0,-0.0280457622719444,0,0,0,0,0,0,0,0,0,0,0,0,0.102750813892011,0.0379033491636391,0,0.0244879102952179,0,0,0,0.0213543162204227,0,0.0919915684766716,0,0,0.0133623421339183,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7762635780344e-21,0,0,0,0,0,0,0
X601898.SH,0,0.0918534911548949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0970304054197388,0,0,0,0,0,0,0,0,0.223111123272263,0,0,0,0,0.139398006662201,0,0,0,0,0.112687739993037,0,0,0,0.103215228183799,0,0,-0.0271549609262794,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0,0.517865682034425,0,0,0,0,0,0,0,0,0,0,0.228731654306441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0498941416265193,0,0,0,0,0,0,0,0,0,0,0.00981182508485302,0,0,0,0,0,0
