,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600019.SH,X600010.SH,X600585.SH,X601898.SH,X600547.SH,X600362.SH,X600688.SH,X600188.SH,X601600.SH,X600795.SH,X600157.SH,X300072.SZ,X601991.SH,X600027.SH,X601992.SH,X600111.SH,X600886.SH,X600489.SH,X600660.SH,X600309.SH,X000723.SZ,X600623.SH,X000792.SZ,X600299.SH,X002466.SZ,X601158.SH,X000959.SZ,X000898.SZ,X002075.SZ,X000983.SZ,X000709.SZ,X000408.SZ,X600583.SH,X000630.SZ,X000883.SZ,X600549.SH,X600352.SH,X000937.SZ,X000012.SZ,X601699.SH,X000060.SZ,X000539.SZ,X002092.SZ,X000027.SZ,X600176.SH,X600098.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0.0288572766031858,0,0.0116505094178209,0,0,0,0.0112832487259346,0,0,0,0,0,0,0,0,0,0,0.10761871796057,0,0,0,0,0,0,0.00210225684562693,0.00173909348481662,0,0,0,0,0,0,0,0.0350421304949487,0,0.0266084962506623,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600028.SH,0,0,0.0428353322126637,0,0,0,0.0281328352270587,0,0,-0.0261842747695349,0,0,0,0,0,0.0270209980629138,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0222307950521896,0,0,0,0.0502674381229709,0,0,0.214450203483304,0,0,-0.0395195299714197,0,0,0,0,0,0,0.0782219920201701,0,0,0,0,0,-0.0121430637479783,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0.169858813673952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0304254313582626,0.00417960512563104,0,0,0,0,0,0,0,0,0.0814005444007012,0.138490505945248,0,0,0.0453115952170873,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00423717390228729,-0.0638084230874855,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0.00493660182098503,0,-0.0377251060576425,0,0,0,0,0,0,0.0161536275587185,0,0,0,0,0.0918778074704052,0,0,0,0,0.0532807802460464,0,0,0,0,-0.0228463337297242,0,0,0.053287647611337,0,0,0.0375120052453449,0,0,0,0,8.67361737988404e-19,0,-1.73472347597681e-18,0,0,0.0351016634743185,0,0,0,0,-0.0147261973195365,0.0163069162133526,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0.271197031530093,0,-0.0448036810953505,0,0,0,0,-0.0307900612382327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0141800887797423,0.0122985838228616,0,0,0,0,0,0,0.146054380154281,0,0,0,0,-0.0082588513657776,0.0539647146612519,0,0,0,0,0,0,0,-0.00295640454013304,-0.0116371168210464,-0.0517099889680714,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0.0496113825486578,0,0,0,0.012656789942128,0,0,0,0,0.0810761962741604,0.0279294112465227,0,0.0202216887161572,0,0,0.0422280106461064,0.00423166184211648,0,0,0.0406204861693533,0,0,0,0.126780235845265,0,0,0.106460118718887,0,0,0,0,0,-4.33680868994202e-19,0.143003713356739,0,0.0301686646831415,0,0,0,0,-0.0181888539321013,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,-0.0476439280540168,0,0,0.0970339577960105,0,0,0,0.0469976850245025,0,0,0,0,0,0,0.161302423425386,0,0.0492922927040902,0,0,0,0,0,0.00594231174715901,0,0,0,0,0,0,0,0,0,0,0,0,0.089542948968186,0,0,0,0,0,0,0,0,0.0176526354223241,0,0,0,0,0,0
X601898.SH,0,0,0.232252340567782,0,0,0,0,0,0,0.0530204886688901,0,0.0848079421074106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.109825593282063,0,0,0,0.308100479471305,0,0,2.95949231265266e-05,0,0,0,0,0,-0.0301630627031586,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00183027773001,0,-0.0110678855980705,0,0,-0.044942166262569,0,0,0,0.0492704287301509,0,0,-0.0193272557577825,0,0,0,0.0273447597002203,0,0,0,0,0,0,0,0,0.0423253956114558,0,0,0.00952393639433437,0,0,-0.0055811972621197,0,0,0,-0.328344072282811,0,0
X600362.SH,0,0,0,0,0,0,0,0.0905315217099307,0,0,0,0.148772513501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0751929469895173,0,0,0,0,0,0,0.300694666872407,0,0.0851500430711478,0,0,0.0733126165556829,0,0.0882135980812045,0,0.00670128335981164,0,0,0,0,-0.0270063542551576,0,0,0,0,0,0,0
