,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X002460.SZ,X600585.SH,X600111.SH,X000792.SZ,X002466.SZ,X600019.SH,X600010.SH,X600011.SH,X600660.SH,X000301.SZ,X002271.SZ,X000877.SZ,X600188.SH,X601600.SH,X000708.SZ,X600547.SH,X601898.SH,X600362.SH,X600886.SH,X600176.SH,X000723.SZ,X600426.SH,X002080.SZ,X000408.SZ,X600219.SH,X600803.SH,X600795.SH,X000786.SZ,X601991.SH,X002326.SZ,X300037.SZ,X300073.SZ,X000831.SZ,X600141.SH,X600399.SH,X600688.SH,X000959.SZ,X600027.SH,X600516.SH,X600096.SH,X000825.SZ,X600157.SH,X600352.SH,X600486.SH,X000807.SZ,X000027.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.0796585712152687,0,0,0,0,0.000785205891876278,0,0,0,0,0,0,0.0593090122380699,0,0,0.116304748203148,0,0,0,0,0,0,0,0,0.0186925627131684,0,0,0,0,0,0,0,0,0,0,0.0225001886243431,0,0,0.0406387474393073,0,0.185658391610596,0.0234600694345501,0.10161242513328,0,0,0,0,0,0,0,-0.0161400157905909,0,0,0,0,-0.0225067193748032,0,0
X600028.SH,0.16109836906836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0420212725227216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0527754782128883,0,0,0,0,0,0.0899400070625182,0,0,0,0,0,-0.0326903881221045,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0.0635265365447225,0.0165968499966848,0,0,0,0,0.239533067271983,0,0,0,0.407692489298727,0,0,0,0,0,0,-0.0159263109608438,0.0838486259092438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00388892894829133,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0.0358599025467043,0,0,0,-0.0366084137818007,0,0,0,0,-0.00470815008928331,0.245662477292224,0,0,0,0,0,0,0,2.16840434497101e-19,0.0434444732805253,0,0.049066262631845,0,0,0,0,-0.0665999070868306,0,0,0,-0.0265487835192871,0,0,0,-0.0227364076850381,-0.0304236706328124,0.0167974982470882,0,0,0,0,0,0,0,-0.0157547850985383,0.035941644079866,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0.435701008186903,0,0,0,0.143919437836836,0.0298121788008914,0,0,0,0,0,0,0,0,0,0,0,0,0,0.180534983587598,0,0,0,0,0,0.0118053991785786,0,0,0,0.0242071116042849,0,0,0,0,0,0,-0.0217277042615799,0,0,0,0,0,0,-0.00646266475855727,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0741905949139524,0.280894793543418,0.0933981499291946,0,0,0,0,0,0,-3.46944695195361e-18,0,0,-0.0103907879013713,0.053622533291457,0,0,0,0.21027252992381,0,-0.00502592303414734,-0.00136161717751003,0,-0.0793589231194083,0,0,0,0.11959613829873,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,-0.00289348670067024,0,0,0,0,0,0,0
X600111.SH,-0.0503043229658481,0,0,0,0,0,0,0,0.154816476056644,0,0.39271886007567,0,0,0.0576302255575539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135156932789843,0,0.153757747452547,0,0,0,0,0,0,0,0,0,0,0,0,-0.00454070772163988,0,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0.462186793033657,0,0,0,1.73472347597681e-18,0,0.128821223488024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0732518339787131,0.0479851172082484,0.130369080926385,0,0,0,0,0,0,0,0.049037802401967,0,0,0,0.042133477408549,0,1.73472347597681e-18,0.103208308484162,0,-0.174477846584071,0,0,0,0,0,0,-0.000280697823841599,0,0,0,0,0,0,0
X002466.SZ,-0.044250608061429,0,0,0,0.369203134630046,0,0,0.213387373867997,0,0,0.270871903735239,0,0,0.0622149877257928,0,0,0,0,0,0,0,0.0854629520055852,0,0,0,0,0,0.118517280035877,0.000423741244004509,0,0,0,0,0.0125746701617499,0,0.0349419432063553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0,0.00926020615878342,0,0,0,0.00795248220749351,0,0,0,0,0,0,0,0,0.113445835882867,0.0994695926017635,0,0,0,0,0.0802521943268486,0,0,0,0,0,0.0818479041067805,0,0,0,0,0,0,0,0,0,-0.0492188343119806,0,0,0,0,0,8.67361737988404e-19,0.328604390210576,0.0179792095842143,0,0,-3.46944695195361e-18,0,0,-0.0254884716755812,0,0,0,0,0,0,0
