,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600011.SH,X600309.SH,X600010.SH,X601898.SH,X600660.SH,X600688.SH,X601991.SH,X601600.SH,X600188.SH,X600886.SH,X600547.SH,X600795.SH,X600362.SH,X000898.SZ,X002466.SZ,X600027.SH,X600516.SH,X601992.SH,X000629.SZ,X600111.SH,X600176.SH,X002460.SZ,X600299.SH,X300072.SZ,X000709.SZ,X000825.SZ,X600352.SH,X600808.SH,X600339.SH,X000553.SZ,X600801.SH,X600583.SH,X002110.SZ,X000786.SZ,X600426.SH,X601158.SH,X000301.SZ,X000883.SZ,X600219.SH,X000932.SZ,X000792.SZ,X000408.SZ,X601699.SH,X600489.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.184537094873127,0,0,0,0.0913581841835484,-0.0676208290610021,0,0,0,0,0.0599064980553686,0,0,0,0,0,0,0,-0.064503714790027,0,0,0,-0.0410261986193873,0,0,0,0,0,0,0,0,0,0.169809025895217,0,0,0.049789375953438,0,0,0.0432780023492797,0,0,0,0,0,0,0,0,0,-0.0876737756841964,0.0199089453903101,0.014274874972162,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0.0825426495819376,0,0.196648930896614,0,0.056609231366346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0253085147568657,0.0617376227770552,0,0.0585312523488306,0,0,0,0,0,0,0,0.0384469089953684,0,-0.0524880435232636,0,-0.0135051052856447,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0736146726005475,0,0,0.0578589005405391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0545362061686779,0,0,0,0,0,0,0,0,0.00484646072620036,0,0.00501865696764259,0.401922966655254,0,0,-0.0222376947017813,-0.0353251771738996,0,0,0,0,0,0
X600585.SH,0,0,0.0248040159453611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0786682640540141,0,0,0,0,0,0,0.0155460113498058,0,0,0.350722041908572,0,0,0.281620149738773,0.0262633076601256,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,-0.0211741561247568,-0.0406477883368235,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158111540242159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.194461606273481,0,0,0,0,0,0,0.159569689060825,0,0,0,0,0,0,-0.0040556319855989,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0278607733204616,0,0,0,0,0.794466926048593,0,0,-0.0263349474605118,0,0,0,0,0,0,0,0,0,0,0,0.02343823503477,0,0,0,0,0,0,0,0,0,0.0516256855962356,0,0,-0.0597064711250719,0,0.0187180401792335,0.0253628852597237,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,-0.34721824268973,0,0,0,0,0,0,0,0.0789121539503239,0,0,0,0,0,0.325516933885776,0,0,0,0,0,0.162168066839989,0,0,0.150316631900141,0,0,0,0,0,0,0,0.177214912457489,0.166258211190818,0,0,0,0,0,0.0150010089016249,0,0,0,-0.0527843628431279,0,0.0142700761040052,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.081643109419541,0,0,0,0,0.0705658939742584,0,0,0.0953284737056944,0.110570348545854,0,0,0,0,0,0,0,0.0515713519563774,0,0,0,0,0,0,0.0473391220388304,0.0276443653841871,0,0,0,0,0,0.0329464708672484,0.0634691796785981,0,0,0,0,0,0.00619568511445768,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.275608201723707,0,0,0,0,0,0,0,0,0.0410423267129466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.277061418512886,0,0,0,0,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0.0891886391321192,0.1230340649629,0,0,0,0,0,0,0,0,0,0,0,0,0.149278706310527,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00496610369502234,0,0,0.0631330402567028,0,0,0.10879018709773,0,0,0,0,0,0,0.111864083763077,0,0,0,-0.0178823627014399,-0.0194636647955322,0,0,0,0,0,0
