,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X601898.SH,X600188.SH,X600019.SH,X600660.SH,X600886.SH,X600547.SH,X601600.SH,X600585.SH,X600011.SH,X600795.SH,X000792.SZ,X600362.SH,X600010.SH,X600489.SH,X600111.SH,X000708.SZ,X600803.SH,X600027.SH,X002460.SZ,X000301.SZ,X601991.SH,X600426.SH,X002466.SZ,X000983.SZ,X600219.SH,X000786.SZ,X601699.SH,X000807.SZ,X600160.SH,X000630.SZ,X600096.SH,X600985.SH,X000408.SZ,X600176.SH,X002128.SZ,X601168.SH,X000883.SZ,X000877.SZ,X600995.SH,X000933.SZ,X600352.SH,X600378.SH,X600863.SH,X002353.SZ,X000027.SZ,X600299.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.172787842824298,0,0,0.280937976905203,0,0,0,0.107357750892554,0,0,0,0,0.113084373906606,0,0,0,0.0924716550066704,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0.32034565919379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0610817284351142,0,0,0,-0.0670495077738579,0,0
X600028.SH,0.342078694096529,0,0,0,0.158615195748439,0,0,-0.0733889257635258,0.196631490252549,0,0,0,0,0,0,0,0,0,0,0,0,-0.0355662254950138,0,0,0,0,-0.195207234203686,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0839303079042523,0.0833125895321744,0,0,0,0,0,0,0,0,0,0.0363756978516018,0,0,0,0,0.0297603123704557,0,0
X601088.SH,0.133474529567199,0,0,0,0.170228350368438,0.159153686742795,0,0,0,0,0,0,0,0.138947822117193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.026348228445812,0,0,0,-0.0319428570583935,0,0,0,0,0,0,-0.023256826068796,0,0,0,-0.012001951868203,0,0
X600309.SH,0,0,0,0,0,-0.0326807075779397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.129942054252118,0,0,0,0.249578485968735,0,0,0,0.0780882056353715,0,0,0,0,-0.0519458837546726,0,0,0,0.317877445562394,0,0,0,0,0,0,0.10496114655298,0,0.000508519867918559,0,0,0,-0.0628137815464891,-0.027403815887406,0,0,0,-0.00794872737522754,0,0
X601898.SH,0,0.382316300071213,0.109567778646318,0,0,0.0478600962178244,0,0,0,-4.33680868994202e-19,0.0855445707104239,0,0,0,0,0,0,0.0539728366151107,0,0,0,0.0406172730931564,0,0,0,0,0,0,0,0,0.205821340718904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.214350812100593,-0.0420852437600008,0,0,0,0,0.00405481321048247,0,0,0,0.0187377148949901,0,0
X600188.SH,0,0,0,0,0.0783367017853243,0,0,-0.0155382239595762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.490690927820648,0,0,0,0,0.279394541537508,0.0927954295457224,0,0,0,0,0,0,0.0374058047503507,0,-0.0342930747683921,0.0691885606357022,0,0,0,0,0,0,0,0,0,-0.00324024183237598,0,0
X600019.SH,0,0.454481641872281,0,0,0.0251661846167611,0,0,0,0,0,0.051191269489213,0,0.0766627994596241,0,0,0,0,0,0,0.310156423675064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0204443794299561,0,0.0464526269630938,0,0,0,0,-0.07190331430895,0,0,0,-0.130259155363733,0,0,0,0,0,0.0207601099251678,0,-0.173268498553193,0,0,-0.027123919485792,0,0
X600660.SH,0,0,0,0,0.130581582407512,0,0,0,0,0,0,0,0,0,0,0,0,-0.141828794517036,0,0,0,0,0,0,0,0.356717527972432,0.164956229582629,0,0,0,0,0,0,0,0.0671774343727509,0,0,0,0,-0.150594936246503,0,-0.173187037556307,0,0,0,0.0231611830991891,0,-0.0872638294714332,0,0,0,0,-0.0751121362731779,-0.134198020598558,0,0,-0.0296568003652867,0,0
X600886.SH,0.116082243521371,0,0,0,0,0,0,0,0,0,0,0,0,0.210415228562912,0,0,0,0,0,0,0.0717957045543793,0,0,0,0,0,-0.0459509787659448,0,0,-0.119157212488072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0373261005423981,0,0.255076952596107,0,0,-0.039153144026244,0,0
X600547.SH,0,0,0,-0.00956288097218182,0,0,0,0,0,0,0,0,0,0,0,0,0,0.590685108624383,0.0999410953267646,0,0,0,0,-0.0405154470853386,0,0,0,0,0,0,0,0,0,0,0,-0.0184780175700706,0,0,0,0.105448079444756,0,0,0,0,0,0,0,0,0,-0.10000451635183,0.0139848943667367,0,0.0340402662121038,0,0,0,-0.00676330671326388,0,0
