,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600019.SH,X000708.SZ,X002460.SZ,X600547.SH,X600660.SH,X600011.SH,X002271.SZ,X600362.SH,X601600.SH,X600886.SH,X000786.SZ,X601898.SH,X600176.SH,X600426.SH,X600188.SH,X600010.SH,X600801.SH,X600111.SH,X000301.SZ,X600352.SH,X600489.SH,X601991.SH,X600795.SH,X002466.SZ,X600688.SH,X600803.SH,X600486.SH,X600027.SH,X002353.SZ,X600299.SH,X600219.SH,X300037.SZ,X601168.SH,X601992.SH,X000932.SZ,X002080.SZ,X000807.SZ,X000898.SZ,X000723.SZ,X000630.SZ,X000878.SZ,X002075.SZ,X002409.SZ,X000027.SZ,X000883.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,-0.0433599793448607,0.0525223994275923,0,0,0,0,0,0,0,0.0243237702590255,0,0,0,0,0,0,0,0.0195333835576098,0,0,0,0,0,0,0,0,0,0,0,0.0402541795907097,0.00639993251625251,0,0.0137661928885518,0,0,0,0,0,0,0,-0.00860257564651934,-0.00435308044239596,0,0,0,-0.00278968910704104,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0,0,-0.015959719524082,0,0,0,0,0,0,0,0.0395349768107411,0,0,0.0612824942069462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000770853638274498,0,0,0.05188548006668,0,0,0,0,0.049338849536288,0,0,0,0,0,-0.0133819040143083,0,0,0,0,-0.0199778317967231,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103346152273239,0,0,0,0,0,0,0,0,0.0386797602076939,0,0,0,0,0,0,0,0,0.00252639173988214,0,0,0.0696222103554487,0.00876996326243849,0,0,0,0.0626144673004362,0,0,0,0,0,0,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0.0305828422048548,0.00898539478863954,0.00165028410137776,0.144976662827331,0,-0.0107798344526314,-0.0352915539294871,0,0,0,0,0,0.0999903120507926,0,0.0215624083183293,0,0,0,0,0.0331277720439748,0,0,0,0,0,0,0,0,0,-0.051201641264489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00917917153693804,0,0,0,0,0.00216596985950395,0,0
X600309.SH,0,0,0,0,0,0,0.0898923277893429,0,0,0,0,0,0,0,0,0,0,0,0.372106906417442,-0.016193550845114,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168460324726567,0,0,0.12320581231423,0,0,0,0,0,0,0,0,-0.00939384213663442,0.0791994431013165,0,0,0,0,0,0.0771817221322519,0,0,0,1.0842021724855e-19,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120849976854569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0.090924000557543,0.00889252696694345,0,0,0,0,0.0251350813097815,0.00488468342776312,0,0,0,0,0,0
X000708.SZ,0,0,0,0,0.00207569544826867,0,0,0,0,0,0,0.143656792843552,0,0,0,0,0,0,0,-0.0542855655562346,0,0,0,0,0,0,0,0,0.110114823463462,0,0,0,0,0,0.0365451191975538,0.0782448971350416,0,0,0,0.0447463961268828,0,0,0,0,0,0,0,0.0298055256862813,0,0,0,-0.0171145642561002,0,0,0,0,-0.00419299954328634,0,0
X002460.SZ,0,0,0,0,0,0.343954912160488,0,0,0,0.0657297056867223,0,0.0914720042286359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.199331741922527,0,0,0,0,0.00398480128829923,0,-0.0827549033010081,0.30432427637281,0.12364952124624,0,0,0,0,0,0.033470096281934,0,0.117322006494939,0,0,0,0,0,0,-0.0464998639596646,0,0,0,-0.037440977512373,0,0
X600547.SH,0,0,0,0,0.0903382693313116,0,0.0252866791563854,0.0467939834236019,0,-0.0345130970748759,0,0.0370732336534328,0,0,0,0,0,-0.0714665431733257,0,0,0,0,0,0,0,0.622458761620494,0,0,0,0,0,0,0,0,0,0,0.0403523175615887,0,0,0,0.0148106541120431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000888309000606373,0,0
X600660.SH,0,0,0,0,0,0,0,0,0,0,0,-0.0117799445756111,0,0,0,0,0,0,0,0,-0.0917529754586059,0,0,0,0.102301706539699,0,0,0,0,0,0.0813101758481,0,0,0,0,0,0.272431590848165,0,0,0,0.0154714986801176,0,0,0,0,0,0,-0.104074416667633,0,0,0,0,0.0685585698706163,0,0,0,0.0295902517768706,0,0
