,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600547.SH,X600019.SH,X600011.SH,X000708.SZ,X002271.SZ,X600660.SH,X600886.SH,X002460.SZ,X600010.SH,X601898.SH,X000786.SZ,X600801.SH,X600362.SH,X601600.SH,X600489.SH,X600176.SH,X600188.SH,X601991.SH,X600352.SH,X600795.SH,X600111.SH,X600426.SH,X600027.SH,X600688.SH,X600299.SH,X601992.SH,X000932.SZ,X000301.SZ,X600219.SH,X002080.SZ,X002466.SZ,X002353.SZ,X600486.SH,X000723.SZ,X002075.SZ,X600529.SH,X600612.SH,X600315.SH,X000027.SZ,X601158.SH,X000898.SZ,X000883.SZ,X002250.SZ,X002409.SZ,X000878.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0592145421977092,0,0,0,0,0,0.0320435702716154,0,0.0642543818566728,0,0,0,0,0,0,0,0,0,0,0,0,0.0457080392325285,0,0,0.0224501472285946,0,0.010222981156298,0,-0.0406541662280427,0,0,0,0,0,0,0,0,0.0367827069337817,0,-0.000663980775059746,0.00493277846721208,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0.0403045498805614,0,0,0,0,0.0156199355228143,0,0,0,0,0,0,0,0,0,0,0,0,1.0842021724855e-19,0,0,0,0,0,0,0,0.0172341893356801,0,0,0.0824977280717331,0,0,0,0,0,0,0,0,0.130605400663257,0,0,0,0.000930154965240399,-0.00253395552631932,-0.00182719841098559,0.0120081177123863,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0.0887844153189011,0,0,0,0,0,0,0,0.114312237068967,0,0,0.00978825366530791,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0129285400622084,0,0,0,0,0,0,0,0,0,0.106714355308236,0,0,0,0,0,-0.00405746844338945,0.0227188564630317,0,0,0,0,0,0
X600585.SH,0,0,0,0,0.0735992562536125,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031224990243474,0,0.0614106554727055,0.182030808352422,0,0,0,0.00561967516017662,0,0,0,0,0,0.0869372789846551,0,0,1.73472347597681e-18,0.0274695264411505,0,0,0,0.0512110520871001,0,0.0903315013025184,0,0,0,0,0,0,0,0,0,0.00773702936538292,-0.0044479779603395,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0.0276769787084269,0,0.120667758390874,0,0,0.0413141573949045,0,0,0.131952236540159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0838122694588293,0,0,0,0,0.122845134269846,0.119124753557962,0,0,0,0,0.0883276511852953,0,0,0,0,0.125118505396712,0,0,0,0.00362490191093551,0,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.478997441236548,0,0,0,0,0,0.0427229969392555,0,0,0,0,0,0,0,0.0290095522482494,0,0,0,0,0,0,0,0.202957532527729,0,0,0,0,0,0,0,0,0,0.000744442092685386,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0.0444349086831988,0,0,0,0,0,0,0,0,0,0,0.083571606390773,0,0,0.101009710016084,0,0,0,0,0,0,0,0,0,0.140339538593153,0,0,0,0,0,0,0.0766460485454716,0,0,0,0,0,0,0,0,0,0.071645251210496,0,0,0,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135084884433251,0,0,0,0,0,0.221845004346621,0,0,0,0,0,0.154699021024884,0,0,0,0,0,0,0.086386317995037,0.0299283280811443,0,0,0,0.0106437121986429,-0.0306708691991738,0,0,0,0,0,0,0,-0.0606678802796031,0,0,0.0592416936321248,0,0,0,0,0.0242714288614414,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0530189785849086,0.092035833791444,0,0.144856881536763,0,0,0,0.0145732206743772,0,0,0,0.0751041133253111,0,0,0,0,0,0,0.108940534339139,0,0.274630199784542,0,0,0,0.0157354780566928,0,0,0,0,0,0,0,0,0.0279614586336929,0,0,0,0,0,0,0
X002271.SZ,0,0,0,0,0.0214921499430461,0,0,0,0,0,0.140147318316617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218224385850198,0,0,0,0,0.191256438735811,0.182820405406914,0.0627135155905552,0,0.0278134464258673,-0.00512139954707573,0,0,0,0,0,0
