,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600011.SH,X600585.SH,X600010.SH,X601898.SH,X600688.SH,X601600.SH,X600547.SH,X600795.SH,X600362.SH,X600309.SH,X300072.SZ,X600188.SH,X601991.SH,X600157.SH,X600027.SH,X601992.SH,X600660.SH,X600886.SH,X600111.SH,X000898.SZ,X600489.SH,X600339.SH,X000709.SZ,X600299.SH,X601158.SH,X000959.SZ,X600583.SH,X000630.SZ,X000792.SZ,X002466.SZ,X600352.SH,X000408.SZ,X600219.SH,X600098.SH,X000825.SZ,X000883.SZ,X000539.SZ,X000723.SZ,X600021.SH,X000983.SZ,X601699.SH,X002092.SZ,X000027.SZ,X000937.SZ,X600623.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.359640554721451,0,0.0846628128860854,0,0,0,0,0,0.0114691073089177,0,0,0,0,-0.0109214952653834,0,0,0,0,0,0,0,0,0.0526858999827734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0354193100501069,0,0,0,0,0,0,0,0,0,0.123755744970498,0,0.00685264697257456,-0.0086476369105153,0,0,0,0,0,0
X600028.SH,0.692159627032133,0,0,0,0,0.1405449673497,0,0,0,0,0.0434702702435521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000738483345644678,-1.73472347597681e-18,0,0,0,0,0,0,0,0.0446755829095535,-0.0200360819249192,0,0,0,0,0,0
X601088.SH,0,0.00581475083919667,0,0,0,0,0,0.0813316394121092,0,0,0.0816908457157025,0.022402557955302,0,0,0,0,0,0,0,0,0,0,0,0.180600039884871,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0.151864854739073,0.00606243495470817,0,0.0144580655015091,0,0,-0.0227253885900614,0.0100677441532689,0,0,0,0,0,0
X600019.SH,0,0,0.0574964064682653,0,0,0,0,0,0,0,-0.0898686541601247,0,0,0,-0.0298368796799846,0,0,0,0,0,0,0,0,0.191980752767734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08164696335571,0,0.0138449938605476,0,0,0,-0.10725636547815,-0.0127004147554161,-0.0163919603813731,0.0126505642982781,0,0,0,-0.436367909645219,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,-0.0188807643722692,0.260756246195944,0,0,0,0,0,0,0,0,0,0,0,-0.0620376708756104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115992010100058,0,0,-0.0286199938671145,0.0142254281330033,-0.0119955777060501,0.0137673445104034,0.00483438000723437,0,0,0,0,0
X600585.SH,0,0.0236009425436996,0,0.0289865050869621,0,0,0,0,0,1.73472347597681e-18,0,0,0,0.00154466998905306,0,0,0,0,0,0,0.169043732766202,0,0,0.150926816081404,-0.0466776323207283,0,0,0,0,0,0.1172317971701,0,0,0,0,-0.164307772426191,0,0,0,0,0,0,0,0,0,0.0200383097045977,0,0,0.00257404666334601,-0.138939309143207,-0.0168640739541593,0.020416747671677,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0.0676939374748822,0,0,0.0194245913805277,0.0268455289122767,0,0,0,0,0,0,0,0,0,0.200173282212208,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0609459815263569,0,0,0,-0.00559343014779108,0,0,0,0,0,0.0589705617376477,0.0924063750271058,0,-0.0227105890513291,0.00645018642894418,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.077886446041897,0,0,0,0,0,0,0,0,0,0,0.0396528213735722,0,0,0,0,0,0,0.109880567323253,0,0,0,0,0,0,0,0,0,0,0,0,0.110730770530678,0.0999080284382496,0,0,0.0940107704685305,0,-0.0275677656307722,-0.0277431950105546,0.00248017543269557,0,0,0,0,0,0
X600688.SH,0,0.282453933830544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0414584465033168,0,0.0203358886902873,0,0,0.148974744686471,0,0.0690805860192106,0,0,0,0,0,0,0,0,0,0,0.00371382599034461,0.0842455236703358,0,0,0.0773992271957466,0,0.0017010030035119,0,0,0.0030554354657199,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0.0342415304129611,0,0.275077814681908,0,0,0,0,0,0,0,0,0,0,0,0,-0.156698899238117,0,0,0,0,0,0.244823481541264,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0.0644575095913396,0,0,0,-0.0589527844612248,-0.0170968940449853,0.00790700820940279,0,0,0,0,0,0
