,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600011.SH,X600010.SH,X600188.SH,X002466.SZ,X601898.SH,X601600.SH,X600660.SH,X600688.SH,X601991.SH,X600362.SH,X600795.SH,X600516.SH,X002460.SZ,X600547.SH,X300072.SZ,X600886.SH,X600111.SH,X000898.SZ,X601992.SH,X600176.SH,X000786.SZ,X600352.SH,X000553.SZ,X600027.SH,X600299.SH,X000792.SZ,X000709.SZ,X000825.SZ,X002271.SZ,X000408.SZ,X601699.SH,X600426.SH,X601158.SH,X600489.SH,X600808.SH,X600219.SH,X600315.SH,X000883.SZ,X600157.SH,X002470.SZ,X000830.SZ,X000630.SZ,X600583.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00087082558076886,0,0,0,0,0,0.0980723373490443,0,0.152232680094042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000307583962506578,0,0.0582386459417656,0,0.042123861198957,0,0,0,0,0,0,0
X600028.SH,0,0,0.291572182551309,0,0,0,0,0,0,0,0,0,0,0,0.111064181231094,0,0,0,0.100759756106108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0140201435409591,0,0,0,0,0,0,0,0,0,0,0.0174337755662655,0,0.0143809975843362,0.0219477187679886,0,0,0,0,0,0
X601088.SH,0,0,0,0.299257909800445,0.0613134125985089,0,0,0,-0.0285821619558499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0845432972291295,0,0,0,0,0,0.3245213842072,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00253176821484341,-0.00953549703497817,0,0,0,0,0,0
X600019.SH,0,0,0.377108950327741,0,0,0,0,0.226502268325236,0,0,0,0,0,0,0,0,-0.0696117328307994,0,0,0,0,0,0,0,0,0,-0.0342586852735833,0,0,-0.0658138236929242,0,0,0.139681160397552,-0.146992163938266,0,0,0,0,0,0.0738250911693964,0,0,0,0,0,0,0,0,0,0.0119564537330155,-0.00629860102544937,0,0,0,0,0,0
X600585.SH,0,0,0.520506278003454,0,0,0,0,0.0702403583997263,0,0,0,0,0,0,0,0,0,0.0811321702886522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0.0638761705484949,0,0.14365930703035,0,0,0,-0.00293313356633227,0.052679727850927,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016239213909166,0,0,0,0.0755710582963086,0,0.00991849973418662,0,0,0,0.00319377838338442,0.220082043881129,0,-0.196180197286758,0,0.130958127842904,0,0,0.006266545541399,0,0,0.0771389050685309,0,0,0,0,0,0,0,0,0,0,-0.00285152258479289,-0.0027149043647901,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142848711367995,0,0,0,0,0.0548013200110779,0,0,0.024795549210041,0.0322961069639297,0,0.0807852647781165,0,0,0,0,0,0,0,0.0244739378750304,0,0,0,0.0560204332290218,0,0,0.247190217964444,0,-0.00587764922841843,-0.00536124111324856,0,0,0,0,0,0
X600188.SH,0,0,0,0.521436726787113,0,0,0,0,0,0,0.13456089106696,0,0,0,0,0,0,0.00528867137090584,0,0,0,0,0.0316882217076199,0,0.338443151536778,0,0,0,0,0,0,0,0,0,0,0.185027674269957,0,0,0,0,0,0,0,0.134913742253586,0,0.112818051772766,0,0.236688072959955,0,-0.0152337694255897,0,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119552305188046,0.460036777408484,-0.0677590678871947,0,0,0.0328816810623255,0,0,0,0,0,0,0,0.0201006315107507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0363819019387547,0,0,0,0,0.0120222869388154,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0.0233911574087464,0,0,0,0,0,0,0.192605952187221,0,0,0,0.0181763192994208,0,0,0,0,0.0101992987493691,0,0.0702028237048901,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.145876863889721,0,0,0,0,0,0.0478140511342973,0,0.106020180167767,0,0.00960826681410905,0,0,0,0,0,0,0
