,X601857.SH,X600028.SH,X601088.SH,X600010.SH,X600011.SH,X600019.SH,X600795.SH,X600585.SH,X601600.SH,X601898.SH,X601991.SH,X600157.SH,X600688.SH,X600362.SH,X600111.SH,X600188.SH,X600886.SH,X600027.SH,X601158.SH,X600352.SH,X600021.SH,X000883.SZ,X000027.SZ,X600309.SH,X600583.SH,X000060.SZ,X601992.SH,X000539.SZ,X000709.SZ,X000898.SZ,X000792.SZ,X600808.SH,X600489.SH,X000825.SZ,X600307.SH,X002470.SZ,X600098.SH,X002353.SZ,X000629.SZ,X600547.SH,X600660.SH,X600008.SH,X600578.SH,X002075.SZ,X600863.SH,X000831.SZ,X600219.SH,X600549.SH,X002004.SZ,X600612.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.127653549704927,0,0,0,-1.35525271560688e-20,0,0,0,0,0.0754930504901835,0,0,0,0,0,0,0,0,0,0,0,0.065669181429976,0,0,0.0538285308605953,0,0,0,0,0,0.0238796987585614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00139470374255734,0,0,-1.0842021724855e-19,0.00496943637579416,0,0,0,0,0,0
X600028.SH,0.440529331318568,0,0,0,0,0.0330967692923059,0,0,0,0.0129814146986362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0124733568568071,0,0,0,0,0,0,0,0,0,-0.0185887839079059,0.000349366200050129,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0.25666025810354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0631546572655661,0.214394463631331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0155509362560094,0,0,0.0514047012140891,0.033950335213255,0,0,0,-0.00764696843896106,0.00461439555105002,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0.11856879628767,0,0,0,0,0,0,0,0,0.0791771014856155,0,0,0,0,0.276938831815845,0,0,0.00438040785990633,0,0,0.0205699694782886,0,0,0.0609038993799031,0,0,0,0,0,0,0.11042837040285,0,0,0,0.0866039929347613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0.145847500709517,0,0,0,0,0,0,0,0,0,0.0720558541419129,0,0,0,0,0,0,0,0,0,0,0,0,0.196170775176309,0,0,0,0,0,0,0,0,0.244213504541003,0,0,0,0,0,0,0,0,-0.00871265651248171,0.00951443351905417,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0.0328713207190413,0.303788344491754,0,0,0,0,0,0,0,0,0,0,0.0432792641683912,0,0,0,0,0,0,0,0.214385487936586,0.171707350983595,0,0.0279425627299333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0.148873752809266,0,0,0.0788623507709514,0,0,0,0,0.125241501130938,0.154140026758704,0,0,0.0712046034809634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.292939098345015,0,0,0,0,0,0,-0.00755247219966058,0.00770816104792,0,0,0,0,0,0
X600585.SH,0,0,0.0203026898419958,0,0,0,0,0,0.00976287683105413,0,0,0,0,0,0,0,0.239617922675546,0,0,0,0,0,0,0,0,0,0.0671509408134081,0,0,0,0,0,0,0,0,0,0.0159128642711557,0.0575965072778169,0,0,0,0,0,0.130706382399462,0,0,0.0134641515756157,0,0,0,0,0.00539739584446717,0.0161043559020138,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0.0913929686143992,0.00627730277713344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.347712924876686,0,0,0,0,0,0.064963092024226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0387633375871602,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0.142291226009999,0,0,0.0569190399248995,0,0.117018735185405,0,0.0307463975318934,0,0,0,0,0,0,0,0,0,0,0,0,0.125927856548968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0460529971953705,0,0,0,0,0,0
X601991.SH,0,0,0,0,0.279108418794397,0,0,0,0,0.27374323172103,0,0,0,0,0,0,0,0,0,0,0.0134965608087278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.248027565931055,0,0,0,0,0,0,0,0,0.00569155246923548,0,0,0,0,0,0,0
X600157.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061255422501944,0,0,0,0,0.0706895310249852,0,0.12812183506176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223810123034277,0.163223927494591,0,0,0,0,0,0,0.0286294804303753,0,0,0,0,0,0
