,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X600019.SH,X002460.SZ,X002271.SZ,X000708.SZ,X600660.SH,X601898.SH,X600362.SH,X600547.SH,X601600.SH,X000786.SZ,X600111.SH,X002466.SZ,X000301.SZ,X600010.SH,X600886.SH,X600188.SH,X600011.SH,X600176.SH,X600426.SH,X000932.SZ,X600803.SH,X000898.SZ,X601991.SH,X600801.SH,X600219.SH,X600795.SH,X600352.SH,X600489.SH,X000807.SZ,X000027.SZ,X600688.SH,X600315.SH,X000825.SZ,X600157.SH,X002080.SZ,X000723.SZ,X600808.SH,X601168.SH,X600486.SH,X600516.SH,X002353.SZ,X600027.SH,X600299.SH,X000630.SZ,X000883.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.323219720105251,0,0,0,0,0,0,0,0,0,0.0215601581338717,0,0.00474007333459765,0,0,0.0251021531077542,0,0,0,0,0,0,0.0131791378183873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0233868151193914,0,0,0,0,0,0,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0452753901293585,0,0,0,0,0,0,0.10080543298224,0,0,0.122818087432654,0,0,0,0,0,0,0.104589625485929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0320079762330985,0,0,0,0.00195590563822794,0,0
X601088.SH,0,0,0,0,0,0,0,0,0.0264486474714449,0,0,0,0,0,0,0,0.139981018787369,0.00963615657302234,0,0,0.0842979852919932,0,0,0,0,0,0,0,0,0,0,0,0,0.0139940116693098,0,0,0,0,0,0,0,0,0.018641012990833,0,0.00781844708038243,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0.0258276312737919,0,0,0,0,0.144945080859299,0,0,0.203885931161717,0.131931412422202,0,0,0,0,0,-0.0584682887672055,0.0562303564129918,0.155782108979218,0,0,0,0,0,0,0,0,0,0,0,0,0.0635028665807841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.016948345140927,-0.0350692921462703,0,0,0,-0.0139114419491499,0,0
X600585.SH,0,0,0,0,0,0,0,0,0.0408957565228963,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0.000713910516101143,0.0454091684879008,0.0598320427366137,0,0,0,0,0,0,0,0,0.0147838384587677,0,0,0,0,0,0,0,0,0,0.0334645135609085,0,0,0,0,0,0,0,-0.00849841725348339,0,0,0,0,-0.0157713892406168,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0.00205259627818723,0,0,0,0.0511316746746937,0.132992808241905,0,0,0,0.0983361053014509,0,0,0,0.310665109245933,0,0.0185000315715643,0,0,0,0,0,0,0.0417802070567099,0,0,0,0.273452639693103,0,0,0,0.0109885767057356,0,0,0,0,0,0,0,0,0,0,-0.00819295002692525,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1484726000469,0,0.530444956929081,0.140214265741926,0,0,0,0,0,0,0,0.0771277828410402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184224253083584,0,0,0,0,0,0,0,0,-0.00374781721784998,0,0,0,-0.00986709164865366,0,0
X002271.SZ,0,0,0,0,0,-0.0675033282608057,0,0,0,0.0598095727592355,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103716164578004,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0136551497258737,0,0,0,0,0,0.0461134952664886,0,0,0,0,0,0,0,-0.0139746206608443,-0.0193458366999488,0,0,0,-0.0512807168272501,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0,0,-0.10588080209813,0,0,0,0,0.251563791820451,0,0,0,0,0,0,0,0,0,0,0.185693713775263,0,0,-0.00216612280437731,0,0,0,0,0,0,0,0,0,0,0.0392937803315605,0,0,0,0,0.0977532056343285,0,0.0543336390887027,0,0,0,0,-0.0950415004347664,0,0,0,-0.0677043268159117,0,0
X600660.SH,0,0,0,0,0,0,0.188742202190207,0.28739515451246,0,0,0,0,0,0,0.0609119209719076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.018006998304566,0,0,0,0,0,0,0,0,0.116966100304038,0,0,0,0,0,-0.0835274495498985,0,0,-0.0086154193379864,0,0,0,-0.0200802259847829,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104872244819624,0,0,0.0404038943293065,0,0,0,0.118890790132598,0,0,0,0,0,0,0,0,0,0,0.105048156058915,0,0.0518328812996933,0,0,0,0.0351437467661924,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0.0410872410522311,0,0,0,0.00832948102237718,0,0
X600362.SH,0,0,0,0,0,0,0.0608255881847182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0434335229040413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0997500599278474,0,0,0.418991894621763,0,0,0,0,0,0.389551729691179,0,0,-0.0241615181991255,0,0,0,0,-0.0268132036253982,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0.0264715489816026,0,0,0,0.104250017343686,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0309727219520295,0,0,0.0509578876001291,0,0.111350713046447,0,0,0.0655403109172721,0.0540404845784505,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0115932125828485,0,0,0,-0.00473487965492802,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0.0302453445823709,0,0,0,0.0485741420427759,0.029392026387364,0,0,0,0,0,0,0,0.0659052245901191,0,0,0,0,0,0,0,0,0.280477134858093,0,0,0,0,0,0,0,0,0.0656382785986239,0,0,0,0,0,0.0338163111574776,0,0,0,-0.00519920953749201,0,0,0,-0.0188865321265724,0,0
