,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X002460.SZ,X600019.SH,X600660.SH,X002271.SZ,X000708.SZ,X002466.SZ,X000301.SZ,X600111.SH,X601600.SH,X601898.SH,X600547.SH,X600362.SH,X600010.SH,X600426.SH,X600886.SH,X600188.SH,X000786.SZ,X600011.SH,X600176.SH,X002080.SZ,X300037.SZ,X000408.SZ,X600803.SH,X601991.SH,X600795.SH,X600219.SH,X000027.SZ,X000932.SZ,X002409.SZ,X002353.SZ,X600352.SH,X600489.SH,X600688.SH,X000898.SZ,X600399.SH,X000825.SZ,X000807.SZ,X000830.SZ,X600315.SH,X600801.SH,X000959.SZ,X600549.SH,X600486.SH,X600027.SH,X601699.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06031366422406,0,0,0,0,0,0.096006082409429,-0.0397410221145624,0,0,0,0,0,0,0,0,0,0.0363464609775494,0,-0.04939637251331,0,0,0,0.0642996718104716,0,-0.0570960408358304,0.0504226681602156,0,0,-0.0201562654789587,0,0.0326372908274848,0,0,0,0,0,0,-0.011631906308504,0,0,0,0,0,0
X600028.SH,0.183608886490164,0,0,0,0,0,0.0415109673989645,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11300686964508,0,0,0,0,0,-0.0287939531673582,0,0,0,0,0,0.0433297668829594,-0.00322261639429833,0,0,0,0.0808579641727581,0,-0.00915106662337154,0,0.0238864975203332,0.0357157254841313,0,0,0,0,0,0,0,0,0,0.0778949726096846,0,0,0,-0.0218754220299741,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0702428263429618,0,0,0,0,0,0,0,0.209595562523708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0759163451743752,0,-0.0655046424611403,0,0,0,0,0,0,0,0,0.0204577536170322,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.135649652190557,0,0,0,0,0,0.301994555371374,0,0,0.00840660890173622,0,0,0,0,0,0,0,0,0,0,0,0.035810863437306,0,0,0,0,0,0,0,0.0163235912251103,0.248283831381553,0.0351057748331306,0,0,0,0.0891300555171911,0,0,0,-0.019744949261344,-0.0356654160515571,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0.00439444214242834,0,0,0,0,0,0.0286067054812586,0,0,0.0300991292749072,0,0,0,0,0.0208521458067116,0,0,0,0,0,0,0,-0.030778492741298,0,0,0,0,-0.0488702641692086,0,0,0,0,0,0.451191728215854,0,0,0,0,0,0,-0.0408311434875188,0.0449598118525671,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0,0.4699887391229,0,0,0,0,0,0,0,0.00749953053229466,0,0,0,0,0.0710338724958881,0,0.248908005967799,0,0,0,0,0,0,0,0.0900366669183936,0,0,0,0,0,0,-0.0388098089637578,0.233515784182529,0,0,0,0,0.0473549487574893,-0.0758467764978675,0,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0994357885068352,0,0,-0.0100076311220554,0,0,0,0,0.0127872385419937,0.105443386269032,0,0,0,0,0,0.281819423846219,0.0162738793304212,0.0593422490002903,0.0648810145098968,0,0,0,0,0.188190018610117,0,0,0,0,0,0,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,0,0,0,0.0659387724641006,0,0,-0.0280051535310136,0,-0.0183194943809241,0,0,0,0,0,0,0,0,0.0502534224701144,0,0.164250383450002,0.0315994595009436,0,0,0,0,0,0,0,0,0,0,0,0,-0.106041560910213,0,0,0,0,0,0,0,0,0,0.0469419744193432,0,-0.033684689170541,0,0,0,0,-0.0848561161530302,0,0
X002271.SZ,0,0,0,0.114519892944189,0,0,0,0.0764815271000577,0,0,-0.0582384606304803,0,0,0,-0.0230466990086641,0.115762932503094,0.0198868555750555,0,0,0,0,0,0,0,0,0,0.0919333416986944,0,0,0,0,0,-0.0779986983567672,-0.0634994076089497,0,0,3.46944695195361e-18,0,0,0.0504191593335984,0,0,0,0,0,0.0202083567905301,0,0.118282275927731,0,0,0,0,-0.0308431324027184,0,0,0,0.100707408389464,0,0
X000708.SZ,0,0,0,0,0,0,0,0.154300137487892,0,0,0,0,0,0,0,0,0,0,0.0192013513327718,0,0,0.0838910241350726,0,0,0,0,-0.059372375888829,0,0,0,0,-0.019890638917921,0.172421199734384,0,0,0,0,0,0.0976912601784611,0,0,0,0.0462354804004214,0.0132433269305448,0,0,0,0,0,0,0,-0.023875651596907,-0.0288579269017564,0,0,0,0.0673021620119997,0,0
