,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600010.SH,X600309.SH,X600011.SH,X600188.SH,X601898.SH,X600660.SH,X600688.SH,X600362.SH,X300072.SZ,X601992.SH,X002466.SZ,X600795.SH,X600547.SH,X601991.SH,X002460.SZ,X600516.SH,X600111.SH,X600176.SH,X600886.SH,X000898.SZ,X000786.SZ,X000709.SZ,X600157.SH,X600352.SH,X000792.SZ,X000553.SZ,X002271.SZ,X600027.SH,X601699.SH,X000408.SZ,X600219.SH,X600489.SH,X000959.SZ,X000983.SZ,X600339.SH,X600808.SH,X601158.SH,X000883.SZ,X000630.SZ,X002092.SZ,X000825.SZ,X002470.SZ,X002110.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.377081220367677,0,0,0.0111425898792319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00672059951993821,0,0,0,0,0,0,0,0,0,0,0.103177297652008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00857395431327683,5.42101086242752e-20,0,0,0,0,0,0
X600028.SH,0.406677439302002,0,0.0254763849317652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0785318336277148,0,0,0,0,0,0,0.0400931188837185,0,0,0,0,0,0,0,0,0,0,-0.0954068543409714,0,0,0,0,0,0,0,0,-0.00714043556278545,0.0197900335255985,0,0,0,0,0,0
X601088.SH,0,0,0,0.112700886703979,0.174660244923406,0,0,0,0.0219451918920469,0,0,0,0,0,-0.0229156714885886,0,0,0,0,0,0.0478446800229761,0,0.0300836470054115,0,0,0.0822379494974033,0,0,0,-0.10660579682195,0,0,0,0.165951607127823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0205235823125907,0,0,0,0,0,0
X600019.SH,0,0,0,0,0.0904656539407229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114735211081888,0,0.0126545435174073,0,0.242901637688363,0.0538694964994956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218294105610214,0,0,0,0,0,0,0,0,0.00855302053735067,0.0323794008099056,0.15257303564155,0,0,0,0,0
X600585.SH,0,0,0.414080125298609,0,0,0,0,0,0,0,0,0,0,0,0,0.222150506147893,0,0,0,0,0,0,0.0835458730263931,0,0,0.0860138021764542,0,0,0,-0.114766867203162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00451338748260083,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0.0501614683740024,0,0,0,0,0,0,0,0,0,0,0,0,0.0798117597153544,0.0266854806514074,0,0,0,0,0,0,0,0.0264547492029393,0,0,0,0,0,0,0,0,0,0.234659781176613,0,0,0,0.102434503640348,0,0,0,0,0,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.081421919577759,0,0,0,0,-0.0742516035964638,-0.0151032261700797,0,0,0,0,0,0
X600011.SH,0,0,0,-0.0484863039350252,0,0,0,0,0,0.0508608224722556,0,0,0,0.0611858188491842,0.0621110107985457,0,0,0,0,-0.0194486041605989,0,0,-0.0264747532941593,0,0,0,0,0,0,-0.0172359332188129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0173737068453715,0,0,0,-0.00455770198759448,0,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.180926477387812,0,0,0.0985819066832814,0,0,0,0,0,0.0158348570628751,0,0,0,0,0.284216170177271,0.0281531704689406,0,0,0,0.062719526352052,0,0.186541994192257,0,0,0,0,0,0,0,0,0.0201737560961216,-0.0430539778243979,0,0,0,0,0,0
X601898.SH,0,0,0,0,-0.00454985959466302,0,0,0,0.178476110684291,0,0,0,0,0,0.0374549297996169,0,0,0,0,0,0.0318903677326613,0,-0.00709527844853856,0,0,0,0,0,0,0.0242816233040382,0.0205801886618164,0,0,0.070476043925042,0,0,0,0,0.0681898525261663,0,0,0,0,0,0,0.0902899348370432,0,0,0,0.0031236011515657,-0.00520559789254734,0,0,0,0,0,0
