,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600011.SH,X600309.SH,X600010.SH,X601898.SH,X600688.SH,X600660.SH,X601991.SH,X600188.SH,X600547.SH,X601600.SH,X600886.SH,X600362.SH,X600795.SH,X000898.SZ,X600027.SH,X600176.SH,X000629.SZ,X600111.SH,X601992.SH,X002466.SZ,X600516.SH,X000709.SZ,X002460.SZ,X300072.SZ,X600299.SH,X600808.SH,X600801.SH,X000825.SZ,X002110.SZ,X600339.SH,X600352.SH,X000553.SZ,X600426.SH,X600583.SH,X600489.SH,X601158.SH,X000301.SZ,X000932.SZ,X000786.SZ,X600219.SH,X000883.SZ,X601699.SH,X000408.SZ,X000792.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.217769969475748,0,0,0,0.0988888051953812,0,0,0,0,0,0.0661361745397914,0,0,0,0,0,0,0,0,0,-0.0340425349526319,0,0,0,0,0,-0.0184829871983438,0,0,0.0173551459900897,0,0,0,0.0775347432729648,0,0,0,0.194947614401377,0,0,0.0559971874856536,0,0,0,0,0,0,0.0207665385890136,0,0.00589541510312022,0,0,0,0,0,0,0
X600028.SH,0,0,0.0118194878708357,0,0.323855122336665,0,0,0,0,0,0,0,0,0,0.0799961703472222,0,0,0,0,0,0,0,0,0,0,0.0735846125301426,0,0,0,0,0,0,0,0,0,0,0,0,0.0535184642606501,0,0,0,0,0,0,0,0,0,0,0,0.00512654273370795,0,0,0,0,0,0,0
X601088.SH,0,0.0164798777924576,0,0,0,0,0.0287166820782153,0,0,0,0,0,0,0,0.0946709935332531,0,0,0,0,0,0,0,0,0,0,0.0281833799939735,0,0,0,0,0,0.0481306517964921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.440498101267613,0,0,0,-0.00167734782516486,-0.014696958608222,0,-0.0492872401783012,0,0,0,0
X600585.SH,0,0.0425807218498604,0,0,0.154235835482524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.326894249955215,0,0,0,0,0,0,0.084527804134969,0,0,0,0,0.247148639929933,0,0,0,0,0.00323521104982007,0,-0.00503627188245012,-0.00310704416372286,0,0,0,0,0,0
X600019.SH,0,0,0,0.144827411480527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.445317061640871,0,0,0,0,0,0,0,0,0,0,0,0,0.0370804202767194,0,0,0,0,0,0,0,0,0,0,0.0853385623016848,0,0,0,0,0,0,0,-0.00184404063542452,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169695981986508,0,0,0,0.743820394293894,0,-0.0689155917507084,0,0,0.0619667650223493,0,0,0,0,0,0,0,0,0,0,0.0628240900055672,0,0,0,0,0,0,0,0,0,0,0,0.0315942626866928,0,0,0.0119814526124304,0.0226636878987824,0,0,0,0,0,0
X600309.SH,0,0,0,0.068302576319465,0,0,0,-0.31857685195735,0,0,0.133145470520908,0,0,0,0,0,0,0,0,0,0,0,0,0.138568511405351,0,0.41325809441041,0,0,0,0,0,0.00230212473865793,0.0852031271876951,0,0,0,0,0.127042105543073,0,0,0,0,0,0,0,0,0,0,0,0,0.0270541247949734,0.051562522023797,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0187144216972622,0,0,0,0,0,0.0680865275442245,0,0,0.0117971791385282,0,0.0683430961512312,0.109669700407561,0,0,0,0,0,0,0,0.0695768364836332,0,0,0,0,0,0.0328802418829539,0,0,0,0.142082806066698,0.0251888029364959,0,0,0,0,0.0726024412516129,0,-0.0176914412273092,-0.0195247822131512,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223902798271013,0,0,0,0,0,0,0,0,0,0,0,0,0.110637654556942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.297836710642198,0,0.010980047458844,0,-0.00757193825012521,0.00239888945972333,0,0,0,0,0,0
X600688.SH,0,0.165298315962647,0,0,0,0,0,0,0,0,0,0,0,0,0.0178445082200007,0,0,0,0,0,0,0,0,0,0,0,0,0.0274978467991049,0,0,0.0297281807192605,0,0,0.0540201560601683,0.0207403507589848,0,0,0.0614489638648564,0.0647639475139978,0,0,0,0,0,0.0799690979863783,0,0,0,0,0,-0.00287818716349095,0,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0.112910722901688,0.0227121215423255,0,0,0,0,0,0,0.109741842826612,0,0,0,0,0,0,0,0,0,0,0.0993215009341202,0.0459865743232934,0,0,0,0,0,0,0,0,0,0,0,0.208150861134832,0,0,0,0,0,0,0,0,0,0,-0.0171184440271918,0,0,0.00851365691701571,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0.0258377974538288,0,0,0,0,0,0,0,0,0.210179217333142,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,-0.0236035678163943,0.0856383596924852,-0.0261995911607034,0,0,0,0,0,0,0,0,0.0560826555634638,0,-0.00971663240103721,0.00996792393612158,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0,0,0,0.00545899667896095,0,0,0,0,0,0.154021471884989,0,0,0,0.0360389779398199,0,0,0,0,0,0,0,0,0,0,0,0.0370396554583764,0,0,0,0,0,0.0845705042566966,0,0,0,0,0,0.170087189115326,0,0,0,0.599254763808537,0,0,0,0.00723959065733939,-0.0106832551932487,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0.0651440726353124,0,0,0,0,0,0,0,0,0,0,0,0,0.0401205058173217,0,0,0,0,0.0824026432084971,0,0,0,0,0,0,0,0,0,0,0,0,0.128540878158014,0,0.501225702860921,0,0,0,0,0,0,0,0.0161058858060247,0,0,0.0136518220299072,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0.167941343684069,0,0,0,0,0,0,0,0,0,0,0,0.046856129289857,0,0.0102027394123619,0,0,0,0,0,0,0,0,0,0,0.0933802761124425,0,0,0,0,0.387138196779369,0,0,0,0,0.0169124477009906,0.0723605738600344,0,0,0,0,0,-8.65812964090765e-05,-0.0189654688418733,0,0,0,0,0,0
X600886.SH,0,0.211698832562772,0,0,0,0.109866587428589,0.0368393052466462,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0542858422871401,0,0,0,0.00983484452941836,0,0,0.00662203777173487,0,0,0,0,0.0719555205769949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00531920209072816,0,0,0,0,0,0
X600362.SH,0,0,0.150028352429412,0,0,0,0.0255064299950525,0,0,0,0,0,0,0,0.139698800802979,0,0,0,0,0,0.0270493170829491,0.0308728148660893,0.174880487283441,0,0,0,0,0,0,0,0,0,0,0,0.031868027083054,0.0911943413655216,0,0,0,0,0,0.0521654668299496,0,0,0,0,0.101579279132671,0,0.0815870812477465,0,0,-0.0134046747858314,0,0,0,0,0,0
