,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X002460.SZ,X600585.SH,X600111.SH,X000792.SZ,X600019.SH,X002466.SZ,X600011.SH,X600010.SH,X600188.SH,X000877.SZ,X000301.SZ,X002271.SZ,X600660.SH,X601600.SH,X000708.SZ,X601898.SH,X600547.SH,X600886.SH,X600362.SH,X600176.SH,X000723.SZ,X600426.SH,X000408.SZ,X002080.SZ,X601991.SH,X600219.SH,X600795.SH,X000786.SZ,X600803.SH,X600027.SH,X002326.SZ,X300037.SZ,X600399.SH,X300073.SZ,X600141.SH,X000831.SZ,X600688.SH,X000959.SZ,X600516.SH,X000825.SZ,X600157.SH,X600486.SH,X600096.SH,X000027.SZ,X600801.SH,X600352.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.182281448908816,0,0,0,0,0,0,0,0,0,0,0.0804442795538448,0,0.0249667731595464,0,0,0,0,0,0,0,0,0,0,0.130916670418382,0,0,0,0,0,0,0,0.109827995206283,0,0,0,0,0,0.0202725278097402,0,0,0.0410962468687138,0,0,0,0.0968273269381003,0,0,0,0,-0.0137301568099793,0,0,0,0,0,0,0
X600028.SH,0.0485141925935073,0,0,0,0,0,0,0,0,0,0,0,0.0845332710659085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,0.0712364200937996,0,0,0,0,0,0,0,0,0,0,-0.0342248007488919,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0.139127115194137,0.0371668130356558,0,0.294247476313827,0,0,0,0,0,0,0.235375754319258,0,0.00327495527107763,0,0,0,0,0,0,0,0.121357830925915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058407406874528,0,0,0,0,0,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,-0.0108421183946869,0,0,0,0,0,0,0.299972467615948,0,0,0.0692212265591154,-0.0717212272826815,0,0,0,0.0263066740946188,0,0.0392490092406373,0,0.0146700589298294,0,0,0,0,-0.016759717982188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0047613529630736,0.0122320583168509,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0.0252637480437902,0,0.422560356324995,0,0,-0.0155793597288485,0,0.0320644497977056,0,0.129756154872947,0,0,0,0,0,0,0,0,0,0.120886838778252,0,0,0,0,0,0,0,0.0156637862418875,0,0,0,0.0493026715781357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0443376635002447,0.0828092979010941,0,0,0,0,0,0,0,0,0,0.156716178969004,0,0.0166052731035301,0.00433232956312823,-0.0855124314235097,0,0,0,0.0965036695197596,0,0,-0.04198422101656,0,0,0,0,-0.0868952085539293,0,0,0,0,0,0,0,0,0.475348698538483,0,0,0,0.0127720505964166,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0.0744574204445193,0,0,0,0.259594129788422,0,0.252576810985421,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0114451727558262,0,0,0,0,0,0,0,0,0,0,0.126089658594503,0.114863872040637,0,0.15350683334087,0,0,0,0,0,0,0,0,0,0,0,0.00273764033786019,0,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0.405946774025096,0,0,0,0,0.043290034165211,0,0.0707692965339482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.315687892890866,0,-0.0527508168409757,0,0,0,0,0,0,0,0,0.0177371111771078,0,0.0967747461479936,0,0,0.0736467424774269,0,0,0,0.0910369403832734,0,0,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0.108278414076118,0.0794648546037391,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0448494611196838,0,0,0.113993916161583,0,0,0,0,0,0,0,0,-0.0544661726422161,0,0,0,0,0.200159314049875,0.125523522031595,0,0,0,0.122027853866428,0,0,-0.0160645006488663,0,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0.341897246098731,0,0,0.103839613969854,0,0,0,0,-0.0486966700390664,0,0,0,0,0,0,0,0,0,0,0,0.0504088084972493,0,0.130106171767128,0,0,0,0,0,0,0,0,0,0,0,0,0.203557553566645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600011.SH,0,0,0.15760687266955,0,0,0,0,0,0,0.0239368275375159,0,0,0,0,0,0,0,0,0,0,0,0.171792891926196,0,0,0,0,0,0,0.090750523218497,0,0,-0.096855151536165,0,0.551579504860434,0,0,0.0281054870313747,0,0.0378103206169162,0,0.108277596885117,0,0,0,0,0,0,0,0,0,0,-0.00567378612748263,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0.261764526860529,0,0,0.0042368026638255,0,0,0.0320847660470878,0,0,0,0,0.148940058039229,0,0,0,0,0,0,0.0969358020279283,0,0,0,0,0,0,0,0,0,0.0204063929439463,0,0,0,0,0.0714349006040331,0,0.122963710299934,0,-6.93889390390723e-18,0,0,0.0474540159512903,0,0,0,0,0,0,0,0,0,0,0,0
