,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600019.SH,X600547.SH,X600011.SH,X000708.SZ,X601898.SH,X600660.SH,X600886.SH,X600010.SH,X601600.SH,X600362.SH,X600801.SH,X002460.SZ,X600188.SH,X002466.SZ,X600352.SH,X600795.SH,X000786.SZ,X601991.SH,X600688.SH,X002271.SZ,X600111.SH,X601992.SH,X600176.SH,X000723.SZ,X002353.SZ,X600027.SH,X600583.SH,X600426.SH,X600516.SH,X000898.SZ,X600299.SH,X600489.SH,X600219.SH,X000709.SZ,X601158.SH,X000883.SZ,X600612.SH,X000553.SZ,X000629.SZ,X000027.SZ,X000630.SZ,X000792.SZ,X600808.SH,X000825.SZ,X000878.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0.00384509638471179,0.0791070908238481,0,0,0,0,0,0,0,0,0.036862380575607,0,0,0,0,0.218090122708906,0,0,0,0.0187715088808479,0.0297418435748208,0,0,0,0,0.0167746134597794,0,0,0.180583822141926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025252416465477,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0.030202190464656,0,0,0,0,0,0,0,0,0,0.0134867757933691,0,0,0,0,0.222635335866429,0.0137304423269526,0,0.0333557191561341,0,0,0.00952899559844954,0,0,0,0,0,0,0.0647108290377157,0,0,0,0,0,0,0,0,0,0,0.0190593728100778,0,0,0,-0.0114695492298851,0.00471001847710605,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0742373360279712,0.00503500225679113,0.351654478421288,0.00529034425554527,0,0,0,0,0.0227636745265362,0,0,0,0,0,0.0114758106047748,0.0137280579625587,0,0,0.0422630276826601,0,0,0,0,0,0,0,0,0.0259340769389508,0,0,0,0,0,0,0,0,-0.0102118451181866,0.00711025602980134,0,0,0,0,0,0
X600585.SH,0,0,0,0,0.0541111262896853,0,0,0,0,0,0,0,0,0,0,0.396079441638439,0,0,0,0,0,0.0221098541758894,0,0,0.0185136697238178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00285276509674206,0,0,0,0,0.0121265428567657,-0.0116082219562455,0,0,0,0.0172562153649734,0,0
X600309.SH,0,0,0,0,0,0,0.0344834268061486,0,-0.0607179613013163,0,0,0,0,0,0,0.262597977507807,0,0,0,0,0,0,0,0,0.0244379153172474,0,0,0,-0.113609518224365,0,0,0,0,0.11539701248762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0168897811482509,-0.0306854966109695,0,0,0,-0.0301121272406712,0,0
X600019.SH,0,0,0,0,0,0,0,0,0.0507596152504501,0,0,0,0.0562243012152665,0,0,0,0,0.0195524305042132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0442792625656779,0.0844677329811674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101206047626609,0,0.0227459661175212,0.0204878954248411,0,0,0,0.0462563442955867,0,0
X600547.SH,0,0,-0.145994810640478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0148705523207931,0,-0.182844371019317,0,0,0,0,0,0,0,0,-0.0236083159407824,0,0,0,0,0,0,0,0.957224134527682,0,0,0,0,0,0,0,0,0,0,0,0,-0.0358520748654419,0,-0.0333586374430882,0.0442073961041492,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,-0.0572364828992376,0,-0.0722327999134679,0,0,0,0,0,0,0,0,0,-0.0652856722913626,0,0,0,0,0,0,0,0.109990802019448,0,0,0,0.268590319746626,0.087109359684775,0,0.0437262547038452,0,0,0,0,0,0,0,0,0.0381755513865954,0,0,0,0,0.0442814358155368,0,0,0,0.00821877614519437,-0.0155940049401032,0,0,0,0,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0,0.173352931585716,0,0,-1.38777878078145e-17,0,0,0.22611396097834,-0.013501736960213,0,0,0.235437001752963,0,0,0,0,0,0,0,0,0.137879483398501,0,0,0,0,0,0,0.195560167873955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0293679996030923,0.0310171498314154,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0.136127664552474,0,0,0.0186653303041814,0,0,0,0,0,0,0,0.0619793676632073,0.412121103640075,0,0,0,0,0,0,0,0,0,0.0334817861264554,0,0.0554193060562795,0,0,0,0,0,0,0,0,0,0,0,0,0.0825647057050882,0.0981833003034389,0,0,0,0,0,0,0,-0.02586125523451,0.0244973440158256,0,0,0,0,0,0
