,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600019.SH,X600547.SH,X000708.SZ,X600011.SH,X002460.SZ,X601898.SH,X600660.SH,X600010.SH,X601600.SH,X600886.SH,X600801.SH,X600362.SH,X600688.SH,X002271.SZ,X000786.SZ,X002466.SZ,X600188.SH,X600352.SH,X600795.SH,X601991.SH,X601992.SH,X600111.SH,X600027.SH,X000723.SZ,X600176.SH,X600299.SH,X002353.SZ,X000792.SZ,X600489.SH,X600516.SH,X000553.SZ,X000898.SZ,X600426.SH,X601158.SH,X000401.SZ,X002075.SZ,X000932.SZ,X600219.SH,X600126.SH,X000709.SZ,X000883.SZ,X600583.SH,X600808.SH,X600612.SH,X000630.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250277916458599,0,0,0,0.00148062525783846,0,0,0.033298382918456,0,0,0,0,0,0,0,0,0,0,0,0,0.159108399387686,0,0,0,0,0,0,0,0,0,0,0,0,0.0782295414640698,0,0.0380332482800606,0,0,-0.0124169776017106,0,0,0,0,0,0,0
X600028.SH,0.398260817677671,0,0,0,0,0,0,0,0,0,0,0,0,0.0311838394550547,0,0,0,0.0838606642564294,0,0,0.0274017551247701,0,0,0,0,0,0,0,0,0,0,0.017427316481325,0.0254867852727996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0134598731591044,0,0,0,0,0,0,0,0.0362014409326994,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0662868965326288,0,0,0,0,0,0.258637925752964,0,0,0,0,0,0,0.0305886237566995,0,0,0,0,0,0,0,0,0,0,0,0.0571243760347227,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00696416605638935,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,-0.0192641180169152,0,0,0,0,0,0.382613144640379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.213775886901904,0,0.052196901347817,0,0,0,0,0,0,0,0,0,-0.00613296115451309,0.0122804582449514,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106819985967635,0,0,0,0,0,0,0,0,0,0,0,0,0,0.264673014977791,0,0.140626027788935,0,0,0.030190645400002,0,0,0.0814808043669881,0,0,0,0,0,0,0,0,0.035620529489504,0,0,0,0,0,0.000973551691725714,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113047961039041,0,0,0,0.0294743239882142,0,0,0,0,0,0.0426003400843126,0,0,0,0,0,0.0477599730504954,0,0,0.112810953488972,0,0,0,0,0,8.470329472543e-22,0.133746921909333,0,0,0,0,0,0,0,0,0,0.000903057352103549,0,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,-0.0621771130972203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.917614686581662,0,0,0,0,0,-0.0343854090370772,0,0,0,-0.00012209036200064,0,0,0,0,0.10203383042637,0,0,0.00797373733916885,0,0,0,0,0,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0,-0.00659761713968836,0,0,0,0,0,0,0,0,0.0155900273982702,0,-0.0816686966473889,0,0.156383467223784,0,0,0,0,0,0,0,0.162660610574417,0.285833174713592,0.132084361319829,0,0,0,0,0.104520040290806,0,0.169698877582405,0,0,0,0.153742544921586,0,0,0,0,0,0,0,0,0.0375353991635492,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0.0492078679066043,0,0,0,0,0,0,0,0.00662776593864698,0,0,0,0,0.16347655751171,0,0,0,0,0.408535288794281,0.0274971833444943,0,0.0113956567520483,0,0,0,0.099693206339066,0,0,0,0,0,0,0,0,0.00278593169454661,0,0,0,0,0,0,0,0.00851571154212863,-0.0217401195990037,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119193921050123,0,0,0,0,0,0,0,0.102428182646971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.489564892750181,0,0,0,0,0,0.0212198680742263,0,0,0,0,0,0
