,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600011.SH,X600010.SH,X601898.SH,X600309.SH,X601600.SH,X600688.SH,X601992.SH,X600795.SH,X600188.SH,X300072.SZ,X600660.SH,X600362.SH,X601991.SH,X002466.SZ,X600547.SH,X600886.SH,X600111.SH,X000709.SZ,X600027.SH,X600157.SH,X000898.SZ,X000959.SZ,X600339.SH,X002460.SZ,X600489.SH,X601158.SH,X600808.SH,X600299.SH,X000723.SZ,X000883.SZ,X002271.SZ,X600176.SH,X600516.SH,X600219.SH,X000630.SZ,X600352.SH,X600008.SH,X000792.SZ,X600578.SH,X000983.SZ,X000408.SZ,X002092.SZ,X000786.SZ,X000539.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0.168068398158136,0,0.0188791877445579,0,0,0,0,0,0,0,-0.057682159754915,0,0,0,0.0233059288395604,0,0,0,-0.0287393451145441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0213427706561043,0.00382033712273233,-0.0424860219709539,-0.0250908364319051,0,0,-0.014678094349549,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0.100898390971578,0,0,0,0,0,0,0,0,0,-0.0699335252782734,0,0,0,0,-0.0893978489670643,0,0,0,-0.0374001330652508,0,0,0,-0.0336864068715339,0,-0.0309117073895813,0,0,0,0,0,0,-6.93889390390723e-18,0.0243797323245687,0,0,0,0,0,0,0,0,0,-0.0318502823663158,0,0,0.00209785799521429,0,-0.148072169678521,0,0,0,0,0
X601088.SH,0,0,0,0.0121536449663312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0284520853324192,0,0,0,0,0,0,0,0,0.00612024706093917,0,0,0,0,0,0,0,0,0,0,0,0,-0.0201177303389979,0,0,0.00384612632585571,0,0,0.0125357272811029,-0.0140892113603774,0,-0.0125855608091964,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0.0551116479108608,0,0,0,0.0257561945897811,0,0,0,0,0,0,0,0,0,0,0,0.436019102876719,-0.0644947323091027,0,0,0,0,0.129505859895437,0,0,0,0.0640693536572978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00763132511452744,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0648854771281628,0,0.122940786947707,0.1109389386816,-0.11322616962494,0.0095371211606036,0,0.375130890159586,0,0,0,0,0,0.0207747934986065,0,0,0,0,0,0,0,0,0,0.0603861710671587,0,0,0,0,-0.0281211882474358,0,0,0.0821265505444075,0.171738341910616,0,0,0,0,0.00763252556700957,-0.0482979709337064,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119128074068291,0.0712342235611233,0.0380053031729752,0,0,0.0358999425328964,0.276430456119247,0,0,0,0.0583473961926493,0.0507353435930207,0,0,-0.106363922327289,0,0,0,0,0,0,0,0,0,0,0,0,-0.0518083220185851,0,0,0,0,0,0.0146059608174602,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0.0346252215076357,0,0,0,-0.0587555362986827,0,0,-0.0449232840954184,0,0,0.148792591210489,0.0350789444418418,0,0,0.179623217570983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0580088946419609,0,0,0,0,0,0,0,0,0,-0.0349095168921678,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0.00787793359539383,0,0,0,0,0,0,0,0,0,0,0.0588174510219936,0,0,0.135693866671456,0,0,0.00350093005298128,0,0,0.133263130153218,0,0,0,0,0,0,0,0,0,0,0,0,0.166845202761412,0,0,0,0,0,-0.00934335788282895,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,-0.071905559969176,0,-0.0972022429541147,0,0.390099780091872,0.16407627450063,0.212727708873669,0,0,0,0,0,0,0.0713669111621326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0706954583963909,0,0,0,0,0,0,0,0,-0.0104210385949462,-0.0518186928134002,0,0,0,0,0,0
X601600.SH,0.0607134128339582,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0.0683519283712166,0,0,0,0,0,0,0.0142059716634843,-0.0279392980837323,0,0,0,0.255228558608762,0,0.194325318551998,0,0.102375248794202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.205687121150574,0,0,0,0,0,-0.00551232946679335,-0.0366470693923929,0,0,0,0,0,0
