,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X002460.SZ,X600019.SH,X000792.SZ,X600111.SH,X600188.SH,X600011.SH,X000877.SZ,X002271.SZ,X600660.SH,X000708.SZ,X002466.SZ,X600010.SH,X000301.SZ,X601600.SH,X601898.SH,X600547.SH,X600886.SH,X600362.SH,X600426.SH,X600176.SH,X000723.SZ,X000786.SZ,X600219.SH,X000408.SZ,X601991.SH,X600803.SH,X600795.SH,X002080.SZ,X000807.SZ,X600688.SH,X002353.SZ,X600801.SH,X600027.SH,X600352.SH,X000825.SZ,X000959.SZ,X000932.SZ,X000630.SZ,X600157.SH,X600489.SH,X600516.SH,X601699.SH,X000960.SZ,X300073.SZ,X000683.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0.181496751370822,0,0,0.00163085031092165,0.0986352769381616,0,0,0,0,-0.0239090840725905,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116473434468307,0,0,0.0173141579697397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00464457804224252,0,0,0,0.0337636537267699,0,0
X600028.SH,0.153042638682609,0,0,0,0,0,0,-0.0110018323308924,0,0,0.0114311251829606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0033414977266026,0,0.059274906793899,0,0.0462339306902602,0,0,0,0,0,0.0156489305699447,0,0,0,0.0654841471270827,0,-0.000793871283864468,0,0,-0.00415134113626085,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0.125428624416453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0289277445917236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.278180888035231,0.0823304606118355,0,0,0,0,0,0,0,0,0.0287200375279156,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0.0448456361135842,0,0,0.0308124551102921,0,0,0,0,0,0,0,0,0,0,0,0,0.0220293822218523,0,0,0.0414573155979961,0,0.185594565777529,0,0.0156309263436835,0,0.0324761718084756,0,0,0,0,0,0.0109337585467461,0,0.0378074594420347,0,0,0,0,0,0.000230258432926744,0,0,0,-0.00750763622434225,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,1.0842021724855e-19,0.0917088152763558,0,0,0,0,0.0742459466288351,0.00766944485128593,0,0,0,0,0,0,0.0905223788137872,0.0527605242589035,0.0570220711957578,0,0,0,0,0,0,0,0,0,0.365091416038108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0236374886809182,0,0,0,0,-0.0178437329519688,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0.120741445333054,0,0,0.0119810652752508,0.0126026192894876,0.044653052541902,0.540609449942652,0,0,0,0,0,0,0,0,0,-0.201208120207624,0,0,0.0628061272736272,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127829002673899,0,0,0,0,0,0.172593103287305,0,0,-0.0558229378915058,0,0,0,0,-0.0336221918831407,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0.013167850553865,0.0501757190786701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0561474342785327,0,0.261345189473702,0.048170105308772,0.242579468696023,0,0,0,0,0,0.0471479247651949,-0.0417262528865246,0,0,0,0.00702180953928541,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0,0,0.10675088275885,0,0,-0.0699662961399503,-0.0352082131107843,0,0,0.301040503053923,0,0,0,-0.10196959532713,0,0,0,0,0,0.154757545806588,0,0,0.133710745424733,0,0,0,0,0,0,-0.172415478725592,0,0,0,0,0,0,0,0,0,0,0,-0.0348053271354384,0,0,0,-0.00285919720115682,0,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0.109413936093006,0,0,0,0,0,0,0,0,0.187062664545772,0.218363453870573,0.232632462500466,0.0155540417709747,0,0,0,0,0,0,0,0.0825591623071626,0,0,0,0,0,0,0,0.0909377267340515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00276620616220996,0,0,0,0,0,0,0
X600188.SH,0,0,0.0188702722012549,0,0,-6.93889390390723e-18,0,0,0,0,0.144460451327923,0,0,0,0,0,-0.16309985597125,0,0,0.541998416630504,0,0.256477892582938,0,0,0,0,0,0,0,0,0,0,0.159498850957748,0.0376578554950669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0338196848457324,0,0,0.0248771362209453,0,0,0,0,0,0
