,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X002460.SZ,X600019.SH,X600585.SH,X600111.SH,X000792.SZ,X002466.SZ,X600010.SH,X000301.SZ,X601600.SH,X600188.SH,X000708.SZ,X601898.SH,X002271.SZ,X600660.SH,X600011.SH,X600362.SH,X600547.SH,X600176.SH,X600426.SH,X600886.SH,X000825.SZ,X600219.SH,X000983.SZ,X000932.SZ,X000786.SZ,X000807.SZ,X000898.SZ,X600803.SH,X000408.SZ,X002080.SZ,X000723.SZ,X600795.SH,X300037.SZ,X600295.SH,X601991.SH,X000959.SZ,X600096.SH,X601699.SH,X600808.SH,X002326.SZ,X600801.SH,X600157.SH,X600688.SH,X600027.SH,X600399.SH,X000830.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,-0.00874544361353146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0150028374125045,0,0,0,0,0,0.00926906618475513,0,0,0.02448487796452,0.0844164672324306,0,0.0248847902291663,0,0,0,0,0,0,0,-0.00799367375381241,-0.0220641827661653,0,0,0,0,0,0
X600028.SH,0.0771107903388543,0,0,0,0,0,0,0,0,-0.0703575878194378,0.00480690659778258,0.0547940569319269,0,0,0,0,0,0,0,0,0,0.00612433112927327,0,0,0,0,0.00338366659156496,0,0,0.00985141867273157,0,0,0,0,0,0,0,0.0335812166210858,0,0,0.0358661558260233,0,0,0,0.02035355865179,0,0.104543126175276,0,-0.00885174174650558,0,0,-0.0188362809363913,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,-0.013024455025126,0,0,0.0382615467104673,0.0402150518539886,0,0.167104395906419,0,0,0,0,0,0,0,0,0,0.0305237571218332,0.0695125299169851,0,0.0267655983087903,0,0,0,0,0,0,0,-0.0221691045835768,0,0,0,0,0,0,0,0,0,0,0,0,0.0651946470341024,0,-0.0161897678433685,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0.0312887927606718,0,0,0.00502481685131451,0,0,0,0,0,0.0444347965948436,0,0,0,0,0.109982364856455,0.0517850872002004,0,0,0,0,0,0.0159554064242563,0,0,0,0,0,0,0,0.120976875792735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00770697873203841,0,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0.153642417941882,0,0.312174018949088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165507274740597,0,0,0,0,0.119894968081178,0,0,0,0,0,0,0,0.0647072962920564,0,0,0,0,0,0.135802087028018,0,0,0,0,0,0.00725278855106094,0,0,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0.115186166908297,0,0,0.01935615407277,0.0473637521376568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.417551372642851,0,0,0,0,0,-0.0300038848863253,0,0,0,0,0,0.0791682112657029,-0.0151268498485197,0,0,0,0,0,0,0,-0.0450386263162614,0,0,0,0,-0.183297343094424,0,0
X600585.SH,0,0,0,0,0,0,0,0,0.00555353180105184,0,0,0,0,-0.0101160174878759,0,0,0,0,0,0,0,0,0,0,0,0.0601491615584673,0,0,0,0,0,0,0,-0.0208567208019787,0,0,0,0,0,0,0,0,0,0,0.659998945507064,0,0,0,0,0,0,0.00373382774587161,0,0,0,0,0,0,0
X600111.SH,0,0,0,0,0.178349316235468,0,0,0,0,0,0.241279077961572,0,0,0,0,0,0,-0.113384604532713,0,0,0,0,0.0361288752283541,0,0,0,0,0,0,0,0,0,0.0895218272262608,0,0,0,0.46189185680652,0,0,0,0.0513558515304418,0,0,0,0,0,0,0,0.411728071028079,0,0,0,0.0209540553270272,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0902859639237661,0,0.0635863286180553,0,0,-0.0140733000463871,0,0,0.116242247930525,0,-0.135678170897229,0,0,0.0905042981213031,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0.0246610761150141,0.105247843257246,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0.300159366393826,0,0,0.249989845764657,0,0,0.0341593688993078,0,0.141958196394566,0,-0.0345900381789528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153346137064449,0,0,0,-0.00630695067880106,0,0,0,0,0,0,0.160729637201461,0,0,0,0,0.0376829886116924,0,0,0,0,0,0,0,0,0,0
