,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X601898.SH,X601600.SH,X600688.SH,X600795.SH,X601991.SH,X600623.SH,X600027.SH,X600362.SH,X600111.SH,X600886.SH,X600157.SH,X600188.SH,X601992.SH,X002466.SZ,X600299.SH,X000792.SZ,X600660.SH,X601158.SH,X000709.SZ,X600309.SH,X000539.SZ,X000883.SZ,X000898.SZ,X600583.SH,X000027.SZ,X600547.SH,X600352.SH,X600489.SH,X000630.SZ,X002470.SZ,X300072.SZ,X000629.SZ,X000060.SZ,X600098.SH,X600160.SH,X600176.SH,X000012.SZ,X000723.SZ,X600021.SH,X600315.SH,X000959.SZ,X600022.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0.0348181969607973,0,0,0,0,0,0,0,0,0.0459257874446905,0.0460667697718336,0,0,0.0394273586473801,0,0,0,0,0,0,0.0342883241907636,0,0,0,0,0,0,0,0,0.00685131380366244,0.0838879954491904,0.0694071957023044,0,0,0,0.0800692114054717,0,0,0,0,0,0,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0.0076314144048161,0,0.0775907101669972,0,0,0,0,0,0.0175232031507698,0,0,0.0836996993596119,0,0,0,0,0,0,0,0,0,0,0,0.270922511627505,0,0,0,0,0,0,0,0,0.0156555498177318,0.00356564549490923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0.350636120441005,0,0,0,0,0,0,0,0,0,0.117605820510447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00984398531707778,0,0.00630191383934599,0,0,0.0799237859289786,0,0,0,0.0322147970499034,0,0,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0968735813853557,0,0,0,0,0,0,0.0126288633474778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000266058135801616,0,0.107796055893358,0,0,0.0599632404858089,0.0403886212777749,0.148771561072141,0,0,0,0,0,0.00511173886423186,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.309349031486739,0,0,0.101180459521421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184917076317108,0.184673811638316,0,0.0220799234654292,0,0,0,0,0,0,0,0,-0.00823346504029916,-0.0120739864954768,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0943996458484379,0,0,0,0,0,0,0,0,0,0.368517961315094,0,0,0,0.0493787984381272,0,0,0,0,0,0.0219890143211114,0,0,0,0,0.111298737550407,0,0,0.120066505985368,0.115024132254359,0,0,-0.00583815200707946,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0.234314065073048,0.0940447803808254,0,0,0,0,0,0,0,0,0.128607206460227,0,0.00696431640411721,0,0,0,0,0,0.0882915463272881,0,0,0,0,0,0.0210207287488705,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0.0601155940827795,0,0,0.0604497462762878,0,0,0,0,0,0.0767393490719857,0,0,0,0,0,0,0,0.135051103449471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0773415088070285,0.101732120596417,0,-5.42101086242752e-20,0,0.104837656834828,0.131618449411726,0.0235949031693495,0,0,0,0,0,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0106066351565512,0,0,0.160669755584754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0370958766852149,0,0,0.0752035164001934,0.0944973960750227,0,0.112347248224038,0,0,0.142750912319974,0,0,0,0,0,0,0,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0.241470330618564,0,0,0,0,0,0,0.0834374181584781,0,0,0.111905974891551,0,0,0.0304297816408164,0,0.140392019127817,0,0.126292155406874,0,0,0,0,0,0,0,0.0474134584707503,0,0,0,0,0,0,0.0169571809929535,0,0.0172852959754598,0,0.0102762070788552,0,0,0,0,0,0,0,0,0,0,0,0,0,0
