,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600309.SH,X600011.SH,X600010.SH,X600188.SH,X601898.SH,X600660.SH,X600688.SH,X601600.SH,X002466.SZ,X601991.SH,X600362.SH,X600795.SH,X600886.SH,X600547.SH,X000898.SZ,X600516.SH,X002460.SZ,X300072.SZ,X600111.SH,X600352.SH,X600027.SH,X000553.SZ,X600176.SH,X601992.SH,X000825.SZ,X000786.SZ,X000709.SZ,X600299.SH,X000792.SZ,X600808.SH,X601699.SH,X600426.SH,X600315.SH,X000883.SZ,X002110.SZ,X002271.SZ,X601158.SH,X000932.SZ,X000408.SZ,X600219.SH,X000830.SZ,X600489.SH,X000983.SZ,X000630.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0559943554218808,0,0.0594421583887378,0,0,0,0.166968795882358,0,0,0,0,0,0,0,0,0.0157835854219205,0,0.177919401700629,0,0.0163599419195735,0,0,0,0,0,0,0,0.00025320499508192,0,0,0,0,0.0132187155245685,0,0,0,0,0,0,0
X600028.SH,0,0,0.0136451664051479,0,0,0,-0.0243646496068096,0,0,0,0,0,0,-0.064687427752559,0,0,0,0,0,0,0,0,0,0,0.0051972651152607,-0.0844709810657924,-0.152576182692849,0,0,0,0,0,0,0,0,0.229733644765714,0.107613944854622,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00691475011394641,0,0,0,0,0.0423801041817372,0,0
X601088.SH,0,0.202445627567078,0,0.258835214415701,0.0879071709481095,0,0,0,0.151132670576005,0,0,0.192899020186505,0,0,0,0,0,0,0,0,0,-0.00486344416766903,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0938384718360667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00768994584508041,-0.0291569078662985,0,0,0,0,0,0
X600019.SH,0,0,0.0479409213978448,0,0,0,0,0,0.0972966159583284,0,0,0,0.145817838068793,0,0,0,0,0,0,0,-0.166368819009989,0,0,0,0,0,0,0,0,0,0,0,-0.0200199545514667,0,0.172766448722501,0.192222217354425,0,0,0,0,0,0,0.104460435519075,0,0,0,0,0,0,0,0.0234146630106205,0,0,0,0,0,0,0
X600585.SH,0,0,0.182920620199462,0,0,0,0,0,0,0,0,0,0,-0.0261590909957044,0,0,0,0,-0.0751504555898958,0,0,0,0,0,0,0,0,0,0,0,0.105300535496412,0,0,0,0,0,0.11241776733856,0,0,0,0.105109452970773,0,0.162606965320413,0,0,0.203291146365417,0,0,0,0,-0.0299373465910901,0.0320336341168653,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0334182963672031,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0.0218599373943273,0,0,0,0,0,0,0,0,0,0,0,0,0.0236180051684506,0.0518729816355247,0.0318367164046894,0,0,0.185600858733268,0,0,0.0249828530661576,0,0,0,0.00149733129764676,0,0,0,0,0.0382877834342567,0,0,0,0,0,0,0,0,0.0261642820727877,0,0,0,0.0167642052277774,-0.0170886712399432,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111261370352703,0,0,0.160451270203614,0,0,0,0.0436885468244781,0,0,0,0,0,0,0,0.312623881035476,0,0.0551485207735872,0.121886392566805,0,0.0559943004523061,0,0.0409807629887215,0.00332381808679379,0,0,0,0,0,0
X600188.SH,0,0,0.371560403160411,0,0,0,-0.143120450146255,0,0,0,0,0,0,0.00339114201469681,0,0,0,0,0,0,0,0,0,0,0,0,0,0.213694433107669,0,0,0.0849045657359466,0,0,0,0,0.10869732236506,0,0,0,0.111322562546404,0,0,0,0,0,0,-0.109358876329202,0.60553702822956,0,0,-0.0241119510970902,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0206528995647477,0,0,0.0923294238584537,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0896353777275613,0,0.239700924548799,0,0,0,-0.00520462173681179,0,0,0,0,0,0
