,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X601600.SH,X600010.SH,X600309.SH,X600011.SH,X601898.SH,X300072.SZ,X002466.SZ,X600688.SH,X601992.SH,X600795.SH,X600660.SH,X600362.SH,X002460.SZ,X600188.SH,X601991.SH,X600547.SH,X600111.SH,X600886.SH,X600516.SH,X000898.SZ,X000709.SZ,X000792.SZ,X600157.SH,X600027.SH,X000786.SZ,X600339.SH,X002271.SZ,X000959.SZ,X600489.SH,X000553.SZ,X000723.SZ,X000408.SZ,X600219.SH,X600176.SH,X600808.SH,X600352.SH,X000807.SZ,X601158.SH,X000883.SZ,X000983.SZ,X000630.SZ,X600549.SH,X002092.SZ,X600299.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0.0213364022057335,0,0,0,0,0,0,0.0309850881603013,0,0,0.0565288932501621,4.33680868994202e-19,0.00569145813575878,0,0,0,0.0366360168388097,0,-0.0200613234637139,0,0,0,0,0,-0.0275865815315617,0,0,0,0,0.056268112237981,0,0.0245092732955716,0,0,-0.00821486138306708,0,0,0,0,0,0,0,-0.0186120279255249,0,0,-0.00517881798933575,0.0108025473603072,0,0,0,0,0,0
X600028.SH,0,0,0,0,0.0519903963163207,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0.0344526287944114,0,0,0.00437930242859233,0,-0.00432298588730077,0,0,0,0,0,0,0,0,-0.036375735668005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0
X601088.SH,0,0,0,0.0545501368889647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0114491358226561,0,0.0510547004140249,0,0,-0.0341515344229526,0,0,0,0,0,0,0,0,0,0,0,0,0.0320345346378702,0,-5.42101086242752e-20,0,0,0.0824115258952173,0,0,0.0212284639331004,0,0,0.0306395553917353,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0.0397238671358036,0,0.214114339775172,0.124012333389573,0,0,0,0,0,0,0,0,0,0,0.0245689102748847,0,-0.00104622974626312,0.173897145866356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.284483101380225,0,0,0,0,0,0,0,0,0,0,0,-0.0155978353787546,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,-0.0238493811913768,0,0.0860518340661091,0,0,0,-0.0263853135270135,0,0,0,0,0,0.19487207024137,0,0,0,0,0,-0.0992549771554179,0,0,-0.114190747567009,0,0,0.0673041316761117,0,0.096821766128695,0,0,0,0,0,0,0,0,0,0.178457942497395,0,0,0,0,-0.0845215036796644,0,0,-0.00961953389776581,-0.00396167477104903,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0.153530410935722,0.0439325675291825,0,0.19296229609716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0583943066826629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130238571372449,0,0.112455461448788,0,0,0.0738131580792046,0,0.0690816806243042,0,0,0,-0.045160552452573,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0152008334653522,0,0,0,0,0.0224201684843708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167140411467062,0,0,0,0,0.164193227244714,0,0.119371180163972,0.0594323396015089,0,0,0,0.000831272286187888,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0.315180890699181,0,0,0,0,0,0,0,0,0.123405019467951,0,-0.00240329907993663,0,0,0,0,0,0.139422461551534,0,0,0,0,0,-0.307128280310508,0,-0.0558944859676319,0,0,0,0,0,0,0,-0.0223819142093575,0,0,0,0,0,0,0,0.0564647807893164,0,0,0,0.0614111804503595,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0653678169240689,0.0935441106055716,0.00839019858346883,0,0,-0.00871289602617905,0,0,0,0,0,0,0,0.0696902746102956,0,0.0144600400653909,0,0,0.0265158299529692,-0.0328772040413578,0,0,0.0802996908516267,0,0,0,0,0,0,0,0.107881427202797,0,-0.0421458557249222,0.0310835832491265,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0.0724687497153538,0,0,0,0,0,0,0,0,0,0,0.0758835579550561,0,0.172696466231333,0,0,0,0,0,0.170086403414675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0.155824054723365,0,0,0,0,0,0,0,0,0,0,0
