,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600011.SH,X600019.SH,X600188.SH,X600585.SH,X002460.SZ,X600547.SH,X601898.SH,X002466.SZ,X000792.SZ,X601600.SH,X600660.SH,X600886.SH,X600111.SH,X600010.SH,X000708.SZ,X000301.SZ,X002271.SZ,X000877.SZ,X600426.SH,X600362.SH,X600795.SH,X600803.SH,X600027.SH,X600176.SH,X601991.SH,X600489.SH,X000983.SZ,X601699.SH,X000807.SZ,X000786.SZ,X600160.SH,X000932.SZ,X000408.SZ,X000539.SZ,X000629.SZ,X600219.SH,X300037.SZ,X600995.SH,X002080.SZ,X600096.SH,X002409.SZ,X000933.SZ,X600688.SH,X000630.SZ,X600157.SH,X600378.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.454011147557738,0,0,0,0,0.0731013669474201,0,0,0,0.0255180394265953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0400418546364289,0,0,0,0,0,0,0
X600028.SH,0.779882991218047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0665655492431968,0,0.024214980665345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0854036969665333,-0.0974628754611137,0,-0.0467786483792056,-0.0713601731565962,0.0164434088789023,0,0,0,0,-0.0213656447049927,0.019243709560006,0,0,0,0,0,0,0
X601088.SH,0.0396997466466359,0,0,0,0,0,0.244149285796843,0,0,0,0,0,0,0,0,0,0.0726238414987131,0,0,0,0,0,0,0.0356266624987279,0,0.0587447361864544,0,0.0777887222755744,0,0,0,0,0.00307268245013399,0.0660232870979675,-0.024410567882948,0,-0.00109863876317083,-0.0780913085164077,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0156211691875364,0,0,0,0,0,0,0
X600309.SH,-0.00293238362508597,0,0,0,-0.218364821316318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00514343240650359,0,0.211241295990696,0,0,0,0,0,-0.0172666711962185,0,0,0,0,0,0,0,0,0,-0.042443304044402,0,0,0,0,0,0,0.00692887588994704,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,-0.333250065695908,0,0,0,0.110665915739098,0,0,0,0,0,0,0,0,0,0,0.453339082351783,0,0,0,0,0,0,-0.165189778334028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0
X600019.SH,6.93889390390723e-18,0.0128120523467072,0,0,0,0,0.0176147371850034,0.146311835684858,0,0,0,0,0,0.0347352656873911,0,0,0,0,0,0,0.0107708852121284,0,0.0495739347463978,0,0.0354274570617042,0,0,0,0.060752818128222,0,0,0.0565324562586197,0.138636250240914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0577052218207006,0,0,0,0.0626884668502722,0.0159609774553935,0,0,0,0,0,0
X600188.SH,0,0,0.605244795367036,0,-0.0306931329373999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0643186500889721,0,0,0,-0.101562631653249,0,0,-0.0995271056709319,0,0.280114188777487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0.251757541916182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00365128387086869,0,0.0440164038485896,0,0,0,-0.0140320082856153,0,0,0,0,0,0,0.0826133383334851,0,0,0.0691572313816158,0,3.46944695195361e-18,0.0680164802495245,0,0,0,0.0167229438437836,0,0.15359293775883,0,0,0,0,0,-0.0235214531707919,-0.018409335040311,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0,0,0.624150342600611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0276516098501664,0.104793385249601,0.139185344752234,0,0.0483061027147487,0,0,0,0,0,0,0,0,0,0,0,0,0.047507449766487,-0.0211045395244224,0,0,0,0,0,0
X600547.SH,0.0052365553375102,0,0,0,0,0,0.0668724319416044,0,0,0,0,0,0,0,0,0,0,0,0,-0.0656772186423475,0,0,0,0,0,0.0121093022837571,0,0,0,0.690408646383454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00505335226236767,0,0,0,0,0,0.00494423231040859,0,0,0,0,0,0,0
X601898.SH,0.0289574719891078,0,0.134739172224758,0,0,0,0.120485049573653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0879401882355703,0,0,0,0,0,0,0,0,0.356129035316777,-0.0228012001408683,0.0735236785927501,0,0,0,-0.0776851329302231,0,0,-0.15587433881478,0,0,0,0,0,0,0,0,0,0,-0.00173585126046975,0,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0.0552579958435814,0,0.467662626698382,0,0,0,0.169968951751257,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0.0374770727782416,0.14218764495255,0,0,0.128177840059726,0,0,0,0.018441672806123,0,0,0,0,0,0.047584691036478,0.100624947448319,0,0,0,0,0,0.0146880796917208,0.0115426933879688,0,0,0,0,0,0
X000792.SZ,0,-0.0176794558260571,0,0,0,0,0.0535510205883746,0,0.137009618909425,-0.0182843655956054,0.0604717641818683,0.243232955884841,0,0,0,0,0.0577903343774932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168575830366559,0,0,0,0,0.0209533087577169,0,0,0,0,0,0,0,0,0,0.0285680004942491,-0.0285267525960151,0,0,0,0,0,0
