,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600585.SH,X600019.SH,X601898.SH,X600688.SH,X600188.SH,X600547.SH,X600795.SH,X601600.SH,X601991.SH,X600027.SH,X600157.SH,X600362.SH,X300072.SZ,X600111.SH,X600886.SH,X600489.SH,X601992.SH,X600660.SH,X600309.SH,X600299.SH,X600623.SH,X002466.SZ,X000792.SZ,X002075.SZ,X000709.SZ,X601158.SH,X000723.SZ,X000898.SZ,X000408.SZ,X600583.SH,X600352.SH,X000883.SZ,X000983.SZ,X600549.SH,X000539.SZ,X000027.SZ,X600176.SH,X000959.SZ,X002470.SZ,X600021.SH,X000630.SZ,X002460.SZ,X000012.SZ,X601699.SH,X000060.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,-0.0097342474841104,0,0,0,0,0,0.0196077021523652,0.0235918518714862,0.00747486295150463,0,0,0,0,0,0,0,0,0.0133531250332871,0,0,0,0,0,0,0,0,0,0.00423829572429768,0,0,0,0,0,0.0787273379069581,0,0,0,0,0.0274180762683313,0,0,0,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0.0279268639242172,0.0445945033604376,0,0,0,0,0,0,0,0.0255244730337279,0,0,-0.0438089417644271,0,0,0,0,0,0,0,0.0123863041798886,0,0,0,0,0.0220348730135877,0,0,0,0.0482965084447224,0.0435133515157987,0,0,0,0,0,0,0,0,0,0,0,0,-0.0065237191291337,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0.0370793498437633,0.175947932695166,0.0956350599758587,-0.00320601758217692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0384899180086253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,0.0233207106748166,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0.0994409750760152,0,0,0,0,0.178911636870901,0,0,0,0,0,0,0,0,0.0803014403847652,0,0,0,0,0,0,0,0,0,0.0905711316493543,0,0.150088920103978,0,0,-8.67361737988404e-19,0,0,-0.135068346360967,0,0.0729066629840854,0,0,0.0515604410163576,0,0,0,0,-0.027806842069155,0.0348983038241334,0,0,0,0,0,0
X600010.SH,0,0,0,0.0161837617917269,0,0.0411562955661099,0,0.0291449257947791,0,0,0,0,0,0,0,0,0,0,0.22607031865525,0,0,0,0,0,0,0,0,0.0471793583809115,0,0.115166291478537,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0257857183970595,0,0,0,0.00567672932427551,0.0732560181594303,0,0,-0.00108815400512745,-0.0333909616708367,0,0,0,0,0,0
X600585.SH,0,0,0,0,0.0955608444358108,0,0,0,0,0.0955493510002706,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0.1992188397546,0,0,0.155210519799044,0,0,-0.0147351359765209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00195113949689313,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,-0.0334388087932941,0,0,0,0,0,0,0,0,0,-0.0257680383705532,0,0,0.0199180190385073,0,0.00379746834067469,0,0,0.00602198534056959,0,0,0,0,0,0,0,0,0,0.0183901170054069,0,0,0,0,0,0,0,0.0117050024963341,0,0,0,0,-0.0454380216663182,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0.0236310321603105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0636437292489185,0,0,0.0326262438676959,0,0,0,0,0.0260800450546352,0,0,0,0.0582126012519947,0,0,0,0,0,0,0,0,0,0.0088517517033824,0.374332996954263,0,0,-0.00409108102252168,0,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0.0281203720688839,0,0,0,0,0,0,0,0,0,0,0,0,-0.04751074531276,0,0,0.00124867777821511,0,0.000572400903157735,0,0,0.0382498316047763,0,0,0,0,0,0,0,0,0.100958697695323,0.0539506841957105,0,0,0,0,0.0868259511936121,0,0,0.087277105741287,0,0.100109845802786,0,0,0,0,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0.223441710280708,0,0,0,0,0,0,0,0,0,0,0,-0.0772884189814177,0,0,0,0,0,0,0,0,0,0,0.0116310197535777,0,0,0,0,0,0,0,0,0.664665915611524,0.00276334965995973,0,0,0,0,-0.111968037498881,0,0,0,0.194784201087338,0,0.08720550301923,0,0,0.0504731588499721,0,0,0,0,0,0
