,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X601898.SH,X601600.SH,X600795.SH,X600585.SH,X600688.SH,X600886.SH,X601991.SH,X600027.SH,X000709.SZ,X600583.SH,X600157.SH,X000539.SZ,X600362.SH,X600111.SH,X600188.SH,X002075.SZ,X601992.SH,X601158.SH,X600309.SH,X000898.SZ,X600352.SH,X002353.SZ,X000027.SZ,X000792.SZ,X600863.SH,X000629.SZ,X000883.SZ,X600021.SH,X600808.SH,X000878.SZ,X000825.SZ,X600307.SH,X600660.SH,X600578.SH,X000060.SZ,X000959.SZ,X601918.SH,X600098.SH,X002470.SZ,X600489.SH,X600022.SH,X600547.SH,X600008.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.233559501918992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0343846052622045,0,0,0,0.012191636577381,0,0,0,0,0,0.0818616739555835,0,0.0930452862873626,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0.0659914596334357,0,0,0,0,0,0,0,-0.00580414521150801,0,0,0,0,0,0,0
X600028.SH,0.208303861700215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0506000774692033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0756434560913423,0,0,0,0,0,0,0,-0.0132170034429633,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0.172050937678114,0.0835565132333063,0,0,0,0,0,0,0,0,0.0577343564100367,0,0,0,0.0541806738478705,0,0,0,0,0,0.145603632574484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0176366982968213,0,0,0,0,0,0,0,-0.0114526441114851,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0.123997551841004,0,0,0,0,0,0.112458084949818,0.10823616766446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050082348506535,0,0,0,0,0,0,0,0,0.404213268017783,0,0,0.0282198013926519,0,0,0,0,0,0,0,-0.00796523426857705,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0120402304490962,0,0,0,0,0,0.172159724948779,0,0,0,0,0,0,0,0.0838308257329629,0,0,0.0503595791739481,0,0.00840682655608442,0.252410043118622,0,0,0,0,0,0,0,0,0,0,0,0.226328722744499,0,0,0,-0.0109092623201518,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0.0605290578829236,0.0193168238819713,0,0,0,0,0,0,0.114208408630133,0,0,0,0,0,0,0,0,0,0,0.174093191910954,0,0,0,0,0,0,0,0.0446748696186316,0.0826341383937843,0,0,0,0,0,0.0628030856894843,0,0.114218719983458,0,0,0,0.0932761959351833,0,0,0,-0.00725682907368266,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0.0666414603712335,0,0,0,0,0.0439854072565552,0,0,0,0,0,0.183548179766848,0,0.0813596119060575,0,0,0,0,0,0,0,0,0,0,0,0,0,0.078681808175603,0,0,0,0,0,0,0,0.174111971798241,0,0,0,0.0208911906707716,0,0.0730534313393575,0,-0.0120485794904529,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0.118096607003442,0,0,0,0.0407179949685502,0,0,0.0604057525155499,0,0,0.0212604208268465,0,0,0,0,0,0,0,0,0.0752625774796487,0,0,0,0,0,0,0,0,0.201636709629275,0,0,0,0,0,0.125457679126595,0,0,0,0,0,0,0,0,0,-0.0100095289339831,0,0,0,0,0,0,0
X600795.SH,0,0,0,0.0505728285295165,0,0,8.67361737988404e-19,0.0349413873906987,0,0,0,0,0.0964358522414902,0.0897082638244592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.270295042863844,0,0,0,0,0,0,0,0,0.0113311535993276,0,0,0,0,0,0,0,0,0,0,-0.015319052795214,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0.00786965867686372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0426547819129224,0,0,0.0226701216435629,0.0451476229968598,0,0,0,0,0,0,0,0.0557479120893474,0,0,0,0,0.141884576541073,0.0868429278762199,0,0,0,0,0,0,0,0,0,-0.028776982422854,-0.0172713161061359,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0.018295985058282,0,0,0,0,0,0,0,0.284077875577286,0,0,0,0,0,0,0,0,0,0,-0.0437638078641114,0,0.0266514319680435,0,0,0,-0.108680620285636,-0.110312203205816,0,0,0,0,0,0,0.051060454555057,0,0.421589428484236,0,0,0,0,0,0,0,-0.0198266849388376,0,0,0,0,0,0,0
X600886.SH,0,0,0,0,0,0.22787794723524,0,0.0101862991631195,0,0,0,0,0,0,0,0,0,0.212649071350648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00697621562242809,0,0,0,0,0,0.200337983779677,0,0,0.0334446119505752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601991.SH,0,0,0,0.271898880760498,0,0,0.275831863893759,0,0,0,0,0,0,0.158782153207968,0,0,0,0,0,0,0,0,0,0.00959843193995791,0,0,0,0,0,0,0,0.0636194262384229,0,0.0987681449755647,0,0,0,0,0,0.0335836341278852,0,0,0,0,0,0,0,0,0.0475651031652198,0,-0.00278506541118058,0,0,0,0,0,0,0
X600027.SH,0,0,0,0.0708627378179948,0,0,0,0,0,0,0,0,0,0,0.0189743441828681,0.0353536646877682,0,0,0,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,0,0.565149795566747,0,0,0.00896013392825985,0,0,0,0,0,0,0,0,0.086964592317006,0,0,0,0,0,0,0,-0.010462192015801,-0.0035498279846303,0,0,0,0,0,0
X000709.SZ,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0.0904785069004646,0,0,0.0524826253839894,0,0.135865714204713,0,0,0,0,0,0,0,0,0,0.23324936269708,0,0,0,0,0.212078389232592,0.0407059737907067,0,0,0.126912722595276,0,0,0.0502450458602366,0,0,0,0,0.0881875692003252,0.0357480807027565,0,0,0,0,0,0,0.00396179835994566,-0.00624516375920875,0,0,0,0,0,0
X600583.SH,0,0,0.0929748522966492,0,0,0,0,0,0,0,0,0,0,0.259007350653455,0.0788728886613047,0,0.205429551476102,0,0,0,0,0,0,0,0,0,0,0,0.0707237580980243,0,0,0.0204482583164758,0,0,0,0.0247332497503353,0,0,0,0,0.0467574406180657,0,0,0,0,0,0,0,0,0,-0.0108364213406256,-0.0167780761833507,0,0,0,0,0,0
X600157.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200520441196389,0,0.137996051968975,0,0,0.0988438761465719,0,0,0,0,0,0,0.074529603022092,0,0,0.116263928965122,0,0,0.0420330640976752,0,0,0,0,0,0,0,0,0,0,0
X000539.SZ,0,0,0,0,0,0.0403872511143698,0,0,0,0,0.112252297963528,0.0384331412432807,0.172143638723858,0,0,0,0,0,0,0,0,0.140520592915494,0,0,0,0,0.0901033247275679,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0.0268771552820464,0,0,0.0648808234222469,0,0,0,0,0,0,0,0,0,0,-0.00209220419711431,-0.0173167158143121,0,0,0,0,0,0
