,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600019.SH,X600585.SH,X600011.SH,X600188.SH,X002460.SZ,X601898.SH,X600547.SH,X601600.SH,X000792.SZ,X002466.SZ,X600886.SH,X600660.SH,X600111.SH,X600010.SH,X000301.SZ,X000708.SZ,X002271.SZ,X000877.SZ,X600426.SH,X600362.SH,X600795.SH,X600027.SH,X600176.SH,X601991.SH,X600803.SH,X600489.SH,X000807.SZ,X000983.SZ,X601699.SH,X000786.SZ,X000932.SZ,X600160.SH,X002080.SZ,X600219.SH,X000629.SZ,X000539.SZ,X300037.SZ,X000408.SZ,X600995.SH,X600688.SH,X000933.SZ,X000630.SZ,X000723.SZ,X600157.SH,X002409.SZ,X600096.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.623745001581581,0,0,0,0,0,-6.93889390390723e-18,0,0.00308467420347482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0104655448620416,0,0,0,0,0,0.105318660468489,0,0,0,-0.0284645183007203,0,0,0,0,0.0621498585090726,0,0.087530274008396,0,-0.0299712218840254,0,0,0.0228245355916893,-0.0264709112974532,0,0,0,0,0,0
X600028.SH,0.686912207817672,0,0,0,0,0.14849737171583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.11256539855373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0500415948075721,0,0,0,0,-0.0790839812268978,0,0,0,0,0,0,0,0,0,-0.0478615077552384,0.0177139913498523,0.0312248334613027,0,0,0,0,0,0
X601088.SH,0.0957537033023562,0,0,0,0,0,0,0.219725795197059,0,0.0981780523953969,0,0,0,0,0,0,0.112785052107516,0,0,0,0,0,0.0113271537795059,0,0,0,0.116387442664737,0,0.0150827563958055,0,0,0,0,0.0486422403390957,0,0,0,0,0,-0.0159709617032326,-0.0141186962219142,-0.0621346363030762,0,0,0,0,0,0,0.0206046816059082,0,0,0.0186889610653976,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0.0316482485025278,-0.0360481658277778,0,0,0,0,0,0,0,0,0,-0.0423038120058628,0,0,0,0.0148279489558344,0,0.0882996367808635,0,0,0,0,0,0,0,0,0,0,0.0740653919614591,0,0,0.156783433995829,0,0,0,0,0,0,0,0,0,0,0,0,0.0939503695632439,0,0.00819996945822511,-0.010091095835339,0,0,0,0,0,0
X600019.SH,0,0.0904645096240354,0,0,0,0.0277584769268102,0,0.00178272559183776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0506763379170135,0,0,0,0,0,0,0,0.0709135445449008,0,0.119274796189028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0845130897700348,0.00825886876981227,0,0,0,0,0,0
X600585.SH,-0.0291783574400001,0,0,0,0.297379087304784,0,0.0703492053236161,0,0.0219132961031841,0.011613556462183,0,0,0,0,0,0,0,0,-0.0627363628379088,0,0,0.0811152621937542,0,0,0,-0.217460018797466,0,0,0,0,0,0,0,0.0784534767837997,0,0,0,0,0,0.0939872799070361,0,0.136350185372915,0,0,0.1132016166977,0,0,0,-0.0621984251887842,0,0,-0.0220813596651335,-0.0247810890505671,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.242549762772411,0.32546159973434,0,0,0,0,0,0,0,0,0,0,0.400516668606999,0,0.292858705133198,0,0,0,0,0,-0.174129199851427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0213020167253051,0,0,0,0,0,0,0
X600188.SH,0,0,0.537487371085112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0576488943656721,0,0,-0.0839645603968364,0,0,0,-0.227183117721138,0,0.0928103476862761,0.236437266820458,0,-0.0160143621443491,0.0513021139177519,0,0,0,0,0,0,0,0,0,0,0.23732345195305,0,0,0.104205157336654,0,0.0253207686440371,0,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0613061764155911,0,0.515123274998001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0135025847392855,0,0.033958830373458,0.0850293850266993,0,0,0,0,0,0,0.183041681825897,0.0400345920789258,0,0,0,0,0,0,0.0343987076470621,0.0616772855858912,0.00559616390992685,0,0,0,0,0,0,0
X601898.SH,0.0352074673840018,0,0.146139958734269,0,0,0,0,0.157372661340011,0,0,-0.0209555645542481,0,0,0,0,0,0,0,0.09260225072771,0,0,0,-0.138232220341341,0,0,0,0,0,0,0,0,0,0.334213740205426,0.0806070446694832,0,0,0,0,0,-0.065824159346152,-0.179855327269591,0,0,0,0,0,0.0250942368502766,0,0,0,0,-0.00224434836640247,0,0,0,0,0,0,0
