,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X600019.SH,X601898.SH,X600011.SH,X600547.SH,X601600.SH,X600585.SH,X600660.SH,X600886.SH,X000792.SZ,X600362.SH,X600795.SH,X000708.SZ,X002466.SZ,X600010.SH,X002460.SZ,X600111.SH,X600027.SH,X000301.SZ,X601699.SH,X600489.SH,X600426.SH,X000983.SZ,X600160.SH,X600803.SH,X000877.SZ,X601991.SH,X000786.SZ,X000933.SZ,X000630.SZ,X600985.SH,X600176.SH,X000807.SZ,X601168.SH,X000408.SZ,X002128.SZ,X600612.SH,X600219.SH,X000932.SZ,X600096.SH,X000883.SZ,X600348.SH,X600295.SH,X002353.SZ,X002271.SZ,X000027.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.264264530323049,0,0,0,0,0,0.0976996401156513,0,0.163961599167682,0,-0.0349473314666334,0,0,0,0,0,0.038120273161588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0800336155067079,0,0,-0.099433459745625,0,0,0,0,0,0,0,0,0,0,0.0343821393229293,0,0,0,0,0,0,0.134795825410309,0,0,0,0,0
X601088.SH,0.0266873123405981,0,0,0,0.221938851517708,0,0.0151980436361627,0.114703965742855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00523328471253381,0,0,0.202889823477283,0,0,0,0,0,0,0,0.0612792180805247,-0.0208401781796572,0,0.015286228605911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0244425176186651,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0.181423566539878,0,0.0113948591109734,0.0302419509184445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0342154559687875,0,0,0,0,0,0,0,0.0293596967876625,0,0,0,0,0,0,0.096740806512538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.097527629129316,0,0,0.0764469428191253,0,0,0,0,0.146594557278074,0,0,0,0,0,0,0,0,0,0.305757713761183,0,0,0,0,-0.0105269489454707,0,0,0,0,0,0,0,0,0,0,-0.0419933216056121,-0.00978364638778649,0,0,0,0,0,0
X600188.SH,0,0.00934204105190191,0,0,0,0,0.197959183309138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.303481702421224,0.017203304340715,0,0.122718522614632,0,0,0,0,0,0,0,0,0,0,0,0,0.179223936242861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0.100545352847727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0209037914508752,0,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0.0379888618385338,0,0,0,0,0.0594325759445512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0.0107981364820801,0,0,0.38070054504648,0,0,0.173424488769742,0,0,0,0,0,0,-0.0170593494330767,0,0,0,0.0392860972005757,0,0.38442185891123,0,0,0,0,0,0,0,0,0,0,0.163925593346553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.202283882945771,0,-0.0396720156146966,0.109377386999717,0,0,0,0,0
X600011.SH,0.0732588483235575,0,0,0,0,0,0.0307635453125309,0,0,0,0,0,0,0,0,0.343087612051887,0,0,0,0,0,0.17296539987005,0,0,0,0,0,0,0,0,0.137850613111173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,-0.0117875471815179,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,-0.0879257658105758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.738932252314765,0,0,0,0,0,0,0,0.0461993518273589,0,0,0,0.0136134121475638,0,0.0386602083310457,0,0,0,0,0,0,0,0,0,0,0,-0.0623611818859253,0.0177732991652837,0,0,0,0,0,0,0
X601600.SH,0.0880120919825524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.199551111846574,0,0,0,0,0,0.0277548605152411,0,0,0,0,0.117208988371736,0,0,0.0368826043745443,0.198964722327843,0.163654668844542,0,0,0,0,0.0758312660004605,0,0,0,0,0,0,0,0,0,0,0.229956437187216,0,0,0,0,0
