,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X002460.SZ,X600585.SH,X600111.SH,X600019.SH,X000792.SZ,X002466.SZ,X000301.SZ,X600660.SH,X600010.SH,X600011.SH,X000877.SZ,X600188.SH,X002271.SZ,X601600.SH,X000708.SZ,X601898.SH,X600547.SH,X600362.SH,X600176.SH,X600886.SH,X600426.SH,X002080.SZ,X002326.SZ,X300037.SZ,X000408.SZ,X600141.SH,X600803.SH,X600219.SH,X600096.SH,X601991.SH,X600795.SH,X000723.SZ,X000786.SZ,X002407.SZ,X000825.SZ,X600027.SH,X600295.SH,X600688.SH,X600399.SH,X600160.SH,X600516.SH,X002353.SZ,X600352.SH,X600489.SH,X300073.SZ,X000898.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0617735560482238,0,0,0,0,0,0,0,0,0,0,0.0574597721874182,0,0,0,0,0,0.108539437428673,0,0,0,0,0.0289250421521239,0.0078102845961993,0,0.120510097200095,0.0895053127095888,0,0,0,0.0858042401780469,0,0,0,0,0,-0.00817619977213435,0,0,0,0,-0.0177414055954251,0,0
X600028.SH,0.161423154568749,0,0,0,0,0,0,0,0,0,0.0243308102287758,0,0,0,0,0.0375950344468966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0119641373446704,0,0,0.0169583370072844,0,0,0.0389130224567087,0.0326224316192731,0.115708681161515,0.0165940192661165,0,0,0,0.0488070574185008,0,0,0,0.10754669630897,0,0,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.034929417958917,0.0427681067299258,0,0.191179006837876,0,0,0,0.203923350921402,0,0,0,0.0410524014679768,0,0,0,0,0,0,0,0.0125808039776172,0,0,0,0.100017632276042,0,-0.0288184804986438,0,-6.93889390390723e-18,0.0713663874946144,0,0,0,0,0,0,0,0,0,0,0,0.0205817897053626,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,-0.0437608351609267,0,0,0,0.0145849098567213,0,0,0,0,0,0.105920043724481,0,0.227736884289636,0,0,0,0,0,0,0,0,0,0,-0.025455974934691,0.0748682777246401,0,0,-0.0451029023561394,0,0,0,0,0,0,0.0880740117098416,0,0,0,0,0.0188036939120714,0,0,0,0,0.0563336538054659,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0.475694707935144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0854428206756888,0,0,0,0,0,0,0,0,0,0,0,0.348080847440276,0,0,0,0,0.169405436807105,0,0,0,0,0,0,0.0317645511339167,0,0,-0.0425594027731853,0,0,0,0,0,0
X600585.SH,0,0,0,0,-0.0128193845147407,0,-0.0713254337427667,0,0,0,0,0,0,0,0.462023392995866,0,0.0820088701955541,0,0,0,0,0,0.0309982187587433,0,0,-0.104675280030354,-3.46944695195361e-18,0,0,0,0,0,0.038070040517995,0,0,0,0.122923931121941,0,0,0,0,0,0,0,0,0,0,0,0,0.0565581289153096,0,0,0,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0,0,0,0,0.105878273121651,0,0,0.370033526589981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124715668320796,0,0,0,0,0,0,0,0,0.00717447518364208,0,0,0,0,0.255653400275073,0,0,0,-0.0414411733139486,0,0.151636845738515,0,0,0.0158177566075071,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0.0211413834682286,0,0,0,0.0766280357345434,0,0.073146702611356,0.0273287652770149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0552860965847726,0,4.33680868994202e-19,0,0,0.0141664076100228,0.00969533837805206,0,0,0,-0.0115490498368368,0.531982477408737,0,-4.33680868994202e-19,0,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0,0,0,0,0.131423716928355,0,0,0,0,0,0,0,0,-0.112555348002219,0,0,0,0,0,0,0,0,0.240869555686312,0,0,0,0,0,0,-0.180681869755494,0,0,0,0.112097413667074,0.164950240465365,0,0,0,0.00644059798666057,0,0,0,0,-0.0510332444763537,0,0,0.117241483617024,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0.483564163283667,0,0.118985154594741,0,0,0,0.00332660323837894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0352536970758311,0,0.119540311280225,0,0,0,0,0,0,0,0,0,0,0,0.0267087683035897,0,0,0.0313947659953453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
