,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X002466.SZ,X002460.SZ,X600585.SH,X000792.SZ,X000301.SZ,X600019.SH,X601898.SH,X600111.SH,X600660.SH,X600011.SH,X000708.SZ,X002271.SZ,X600010.SH,X000877.SZ,X600547.SH,X601600.SH,X600886.SH,X600795.SH,X600426.SH,X000629.SZ,X600176.SH,X600362.SH,X600348.SH,X000408.SZ,X300073.SZ,X601991.SH,X600096.SH,X000983.SZ,X600803.SH,X000723.SZ,X000786.SZ,X600160.SH,X002080.SZ,X600219.SH,X600027.SH,X600378.SH,X601699.SH,X600141.SH,X600549.SH,X600157.SH,X600801.SH,X002353.SZ,X002407.SZ,X600489.SH,X600486.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0.00107266707734836,0,0,0,0,0,0,0,0.0557391977243933,0,-0.025486977788712,0,0,0,0,0,0.0990555466279441,0,0,0,0,0,0,0.0914560223574437,0,0,0,0,0.145898155971739,0,0,-0.0752302085815438,0,0,0,0,0.0264187795077745,0.0501711637641072,0,0,0.0118876679926762,0,0,0,0,0,-0.034136889405169,0,0,0,0,0,0,0,0
X601088.SH,0,0,0,0.150580972972899,0.248262464260575,0.142877813321826,0,0,0,0,0,0.0267439702457239,0,0,0.0914105078495022,0,0,0,0,0,0,0,0,0,-0.0102872961026722,0,0,0,0,0,0,0,0.153818413563935,0,0,0,0,0,0,0,0,0.106420347420515,0,0,0,0,0,0.0562575857937156,0,0,0,0,0,0,0,0,0,0,0
X600028.SH,0.18961158362945,0,0,0.026501799338284,0,0,0,0,0,-0.001388759661858,0,0,0,0,0.00716806844255358,0,0.0115125408350045,0,0,0,0.000940862737185119,0,0,0,0.0399846059289875,0,0,0,0,0,0,0,0.000159444081588016,0,0,0,0,0,0.0124589008301095,0,0,0,0,0,0.0509643322504115,0,0.0170116201544827,0,0,0.0149786982123941,0,0,0,0,0,0,-0.00131065958074795,0,0
X600309.SH,0,0.0930106784580016,0,0,0,0,0,0,0,-0.0353906442159253,0,0,0,0,0,0,0,0,0.153317347235162,0,0,0,0,0,0,0,0,0.0148549889968623,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0804071548709513,0,0,0,0,0.037821571091228,0,0,0,0,0,0,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0,0,0,0,0,0,0.368268107758169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0097661183994306,0,0,0,0,0.172227168770613,0,0,0,0,-0.00734969605865338,0,0,0,0.250753188121108,0,0,0,0,0.0682344263822984,0,0,0,0,0,0,0,0,0,-0.0193899083224612,0,0
X002466.SZ,0,0,0,0,0,0,0.646123969641879,0,0.00860873681685979,0,0,0,0,0,0.0363158009018147,0,0,0,0,0,0,0,0.00482662073096378,0,-0.211034360376712,0,0,-0.00186791154119031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114410140096499,0,0,0,0,0.125782356316905,0,0,0,0,0,0,0,0,0.0510347215984228,0,0
X002460.SZ,0,0,0,0,0,0.103382029774363,0,0,0,0,0,0,0.0449846811219429,0,0,0,0,0.134059779587301,0,0,0.138107647513416,0,0,0,0,0,0,0,0,0.0581733145836922,0,0,0,0,0,0,0,0.0461049192073679,0,0,0,0.0441720443473976,0.0706284421700955,0,0,0,0,0.0745213167540014,0,0,0,0.056676213633384,0,0,0,0,0.0879093352756507,0,0
X600585.SH,0,0,0,0.0562835273311645,0.0428968955343437,0,0,0,0,-6.7762635780344e-21,0,0,0,0,0,0,0.0966701968689484,0,0,0,0,0,0,-0.0313126599617072,0.00766677110917833,0,0,0.00920551089360889,0,0,0,0,0,0,0.105723096012163,0.0575696898591619,0,0,0,0,0,0,0,0.00268528346066421,0.01543103762897,0.332450986436414,0,0,0,0,0,0,0,0,0,0,-0.0146752642026802,0,0
X000792.SZ,0,0,0,0,0,0.249049949242885,0,0,0,0,0,0,0,0,0.0540236519808065,0,0,0,0,0,0.162367091758559,0,0,0,0,0,0,0.117903792515683,0,0,0,0,0,0,0,0,0,0.062033842189731,0.152664617811723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0380274072024857,0,0
X000301.SZ,0,0,0,-0.206778424165255,0,0.0477929903554118,0.255049762087771,0,0,0,0,0,0,0,0,0,0,0.0857793168335965,0,0,0,0,0,0,0,0,0,0.0127338341197867,0.219491131291009,0,0,0,0,0,0,-0.0500154182605848,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0313254449959221,0,-0.13486222749548,0,0,0,0,0.0177111741022075,0,0
