,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X002460.SZ,X600585.SH,X000792.SZ,X600111.SH,X600019.SH,X600188.SH,X002466.SZ,X600011.SH,X000877.SZ,X600010.SH,X600660.SH,X002271.SZ,X000708.SZ,X000301.SZ,X601600.SH,X600547.SH,X601898.SH,X600886.SH,X600362.SH,X600426.SH,X600176.SH,X000723.SZ,X000408.SZ,X600219.SH,X601991.SH,X000786.SZ,X600803.SH,X002080.SZ,X600795.SH,X000807.SZ,X600096.SH,X600141.SH,X600688.SH,X600801.SH,X600027.SH,X300073.SZ,X600489.SH,X002353.SZ,X000983.SZ,X000825.SZ,X002497.SZ,X000960.SZ,X000630.SZ,X600352.SH,X000959.SZ,X000932.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,-0.0236729768926623,0.00190892941001895,0,0,0,0,0,0,0,0,0.13990553784769,0,0,0,0,0,0,0,0,0,0,0,0,0.128093508018879,0,0,0,0.125967752809605,0.0219055095233914,0,0,0,0.0153779875266255,0,0,0,0,0,0,0,0,-0.00999307541170885,4.33680868994202e-19,0,0,0,0.0360303559462588,0,0
X600028.SH,0.241869841756534,0,0,0,0,0,0,0,0,0.0088961381228565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00801042077627582,0,-0.00950429155915169,0,0.048781987655707,0,0,0,0,0.0834520234193962,0,0,0,0,0,0.0295946599254048,0,0,-0.00526419305157261,8.67361737988404e-19,0,0,0,0.00904878121068311,0,0
X601088.SH,0.251701190510856,0,0,0,0,0,0,0,0,0.0180969482725689,0,0,0,0,0,0,0,-0.0970315704769727,0,0,0,0,0,0,0,0.0555755775503735,0,0,0,0,0,0,0,0,0,0,0,0,-0.0499795248229398,0,0,0,0.30935666946225,0,0,0,0,0,0,0,0,-0.00210563385315063,0,0,0,0,0,0,0
X600309.SH,0.0245320074179309,0,0,0,0,0,0,0,0,0.0166306570641397,0,0,0,0,0,0.0501807812848643,0,0.0106958916845331,0,0,0,0,0,0,0,0.00862452721999983,0.0199265708513169,0,0,0,0.210116756374503,0.0313771481282508,0.0257234797905668,0,0,0,0,0,0,0,0,0,0.0220773884357723,0,0.00548681450809861,0,0,0,0,0,0,0,-0.00841482341329647,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0.141312973824418,0,0,0.289458129785356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0812492429030559,0.0722086019666062,0.0292816737158885,0,0,0,0.102655610338671,0,0,0.00922359359557206,0.06317334866962,0,0,0,0.0382404058547895,0,0,0,0,0.121454255192917,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.076889546233659,0.0264020489867402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11947096252643,0,0,0,0,0,0,0,0.386044765148582,0,0,0,0,0,0.0484834491167806,0,0,0,0,0,0,0,-0.00761978659750394,0,0,0,0,0,0,0
X000792.SZ,0,0,3.46944695195361e-18,0,0,0,0,0.0708334880223019,0,0,0.410376770797731,0,0,0,0,0,0,0,0,0,-0.226852727801283,0,0,0,0,0.129478726193739,0,0,0,-0.0148530174077378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.229561622795987,0,0,0,0,-0.0874129642208552,0,0.0032580684501657,0,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0,0.0522687621558923,0,0,0,0.0785812537366407,0,0,0.1875947271386,0,0,0.0553753126349211,0.0453484704615108,0,0,0,0,0,0,0,0.00225885657489697,0,0,0,0.00400553277438871,0,0,0,0.144050363815523,0.00743856943928396,0.0351232322183693,0,0,0,0,0,0,0,0,0.138335385929321,0,0,0,0,0,0,0.0180038062090314,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00445201780178759,0,0,0,0,0,0,0,0,0.0928827365966602,0,0,0,0,0.21743464138516,0,0.0273740589243377,0,0,0.0690970971124044,0.267814356147066,0,-0.00304283815024197,0,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0,0,0,0,0,0,0.0316132553757965,0,-0.00392127101290715,0,0,0,0,0,0,0.175221991803928,0.156992221336386,0,0,0,0,0,0,0,0,0,0.0120205668296938,0,0,0,0,0,0,0,0,0,0,0.447518932769614,0,0,0,0,0,0,0,0,-0.0657793647291409,0.113235114266145,0,0,0,0,0,0
