,X601857.SH,X600028.SH,X601088.SH,X600010.SH,X600011.SH,X600019.SH,X600585.SH,X601898.SH,X600795.SH,X600688.SH,X601600.SH,X601991.SH,X600027.SH,X600886.SH,X600157.SH,X600111.SH,X600362.SH,X600188.SH,X601158.SH,X600583.SH,X000027.SZ,X601992.SH,X000539.SZ,X600309.SH,X000898.SZ,X000709.SZ,X600021.SH,X600352.SH,X000883.SZ,X600660.SH,X002470.SZ,X601918.SH,X000792.SZ,X600098.SH,X600623.SH,X600489.SH,X600022.SH,X600307.SH,X600547.SH,X600863.SH,X000629.SZ,X600808.SH,X002353.SZ,X000060.SZ,X300072.SZ,X600578.SH,X600008.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601600.SH,0,0,0,0,0,0,0,0.235146166867096,0,0,0,0,0,0,0,0,0,0,0.129922143950182,0,0,0,0,0,0,0,0.0159337566441865,0,0,0,0,0.0106177770734296,0,0,0.141351194288351,0,0,0,0,0,0.0228755421944472,0,0,0,0,0.249122715289217,0,0,0,0,0,0,0,0,0,0
X601991.SH,0,0,0,0,0.374047754391237,0,0,0,0,4.33680868994202e-19,0,0,0.0443044665282006,0,0,0,0,0.206682394276432,0,0,0,0.102619104936266,0,0,0,0,0,0,0,0,0,0,0,0,0.0460016432063149,0.0322868885632484,0,0,0,0,0,0,0,0,0.0234063487736634,0.0386929726648233,0,0,-0.0073074828713418,0,0,0,0,0,0,0
X600027.SH,0,0,0,0,0,0,0,0,0,0,0,0.424668683772108,0,0,0,0,0.00566347555890461,0,0,0,0,0.0979864768764787,0,0,0,0,0,0,0.120584399465073,0,0.052799430585673,0,0,0,0,0,0,0,0,0.114266028232293,0,0,0,0,0,0,0,0,-0.0270907847565816,0,0,0,0,0,0,0
X600886.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166084473589981,-0.0627653883980586,0,0,0,0,0,0
X600157.SH,0,0,0,0,0,0,0,0,0,0,0.542391428109954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155395340860687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0,0,0.0229337848791364,0,0,0,0,0,0,0,0,0,0.195451670270945,0,0.112176321848819,0,0,0,0,0,0,0,0.0833644206276458,0.0103338992348519,0,0,0,0,0,0.159324067980829,0,0,0,0,0,0,0,0,0.207484446295365,0,0,0.0313800358608423,0,0,0,0,0,0,0,0,0
X600362.SH,0,0,0,0,0,0,0,0.0999274550621398,0,0,0.066333283539021,0,0.0577835005718572,0,0,0,0,0.0225448480889832,0.127647582209113,0,0,0.107117571084003,0,0,0,0,0.162395524743192,0,0,0,0,0,0,0,0,0.0111338977917191,0,0,0,0.083606074861177,0,0.0837751799614952,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600188.SH,0,0,0,0.142339381461304,0.0558629711544173,0,0,0.00815606438447541,0,0.273764894276753,0,0.0232695971634593,0,0,0,0,0,0,0,0,0,0,0,0,0.101250056485774,0,4.33680868994202e-19,0,0,0,0,0,0,0,0.181921600378731,0,0,0,0,0,0,0,0,0,0,0.107134365127368,0,0,-0.0302604592052675,0,0,0,0,0,0,0
X601158.SH,0,0,0,0,0,0,0,0,0,0,0.181929063053902,0,0,0,0,0,0,0,0,0,0.163842710062541,0,0,0,0,0,0.0817025024682627,0,0,0,0,0,0,0.00538272254248622,0,0.0175178532525866,0,0,0,0,0,0,0,0,0,0.313320069384668,0,0,0,0,0,0,0,0,0,0
X600583.SH,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0.108888848980526,0,0,0,0,0.0891152356174438,0.173348952164698,0.24373865011179,0.0747187531512856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0395798369169301,0,0,0,0,-0.0675355894134575,0,0,0,0,0,0,0
