,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600019.SH,X600585.SH,X601600.SH,X600795.SH,X600010.SH,X601898.SH,X601991.SH,X600188.SH,X600688.SH,X600886.SH,X600362.SH,X600111.SH,X600027.SH,X600157.SH,X600583.SH,X601992.SH,X000709.SZ,X600309.SH,X000898.SZ,X601158.SH,X000629.SZ,X000792.SZ,X000825.SZ,X600808.SH,X600352.SH,X600021.SH,X600547.SH,X000060.SZ,X000539.SZ,X600489.SH,X000027.SZ,X600660.SH,X600008.SH,X002353.SZ,X000831.SZ,X600307.SH,X600578.SH,X600219.SH,X600863.SH,X600549.SH,X002470.SZ,X600022.SH,X601699.SH,X600315.SH,X000959.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.543162580751683,0,0,0.0197777909684893,0,0,0,0,0,0,0.0687925815021553,0.00253354655651747,0.0230963614098329,0,0,0,0,0,0,0,0.162903645227045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.060391922480575,0,0,0,0,0,0,0,0,0.0140756567366373,0.00477320389506696,0,0,0,0,0,0
X600028.SH,0.566195245418124,0,0,0,0.0337155698508729,0,0,0,0,0,0,0.0564433823136377,0,0,0,0,-1.73472347597681e-18,0.0312818617609761,0.0177590741079682,0,0,0,0,0,0,0,0,0,0,0,0.031308443933666,0,0,0,0,0,0,0,-0.0102380037758146,0,0,0,0,0,0,0,0,0,0,0,0.00748304297121698,-0.0349118060910555,0,0.00809960759354112,0,0,0,0
X601088.SH,0,0,0,0,0,0.0451488373062665,0,0,0,0.196495536488928,0,0,0,0,0,0,0,0,0,0.0147360406130079,0,0,0,0,0,0,0,0,0,0.00680000772547512,0.0164689880213675,0,0,0,0,0,0,0,0.0668223365322547,0,0,0,0,0,0,0,0.398390612384034,0,0,0,0,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0.057408601333434,0.097943711401904,0,0.0858422599285626,0,0,0.0126894350629287,0,0,0.369491592785819,0,0.0158160090991818,0,0,0,0.092416213728174,0.0255090862791397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0435760819879016,0,0,0,0,0,0,0,0,0,0,-0.0262401052713641,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00822306587560396,0.0298623089534334,0.122098603435475,0,0.325680621572908,0,0,0,0,0,0,0.0386881088463516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.180389367022618,0.114069112184525,0,0,0,0,0,0,0,0,0,0,0
X600585.SH,0,0,0.252114358198345,0,0,0,0,0,0,0,0,0,0,0.0388158255803633,0,0,0,0,0.214337737914419,0.111429157488363,0,0.0325335585215458,0.0391998935760599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0351432288396075,-0.0236945998227442,0,0,0,0,0,0
X601600.SH,0.0412831619647392,0,0,0,0.0257942892401645,0,0,0,0,0,0.0135970662320071,0,0,0,0,0.3281984132498,0,0,0,0,0,0,0,0,0.016697964324791,0,0.00266753035092407,0.0640503796057656,0,0.0532899409629804,0,0,0,0,0,0,0,0,0,0,0,0.0256233942298044,0,0,0,0,0.124713984636599,0,0,0,0,0.0481572136321576,0,0,0,0,0,0
X600795.SH,0,0,0,0.131107560436923,0,0,0.029091607259421,0,0.0413538782116387,0,0.169738897257043,0,0,0.00299383040728449,0,0,0.113454645048346,0,0,0,0,0,0,0,0,0,0,0,0,0.0532791746775166,0.0748548441159783,0,0,0,0,0,0,0,0,0,0,0.0530628006650228,0.133110868198883,0,0,0.0382660254555441,0,0,0,0,0.00828544545006181,0,0,0,0,0,0,0
X600010.SH,0,0,0,0.219851550525401,0,0,0,0,0,0,0,0.19252569500784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10438748547035,0.0928880397874869,0,0,0.150155073519829,0,0,0,0,0,0,0,0,0,0.0441169477410603,0,0,0.0755991996766276,0,0,0,0,0,0
X601898.SH,0,0,0.115815431571284,0,0.106423357663019,0,0.122204537454173,0.0243341506868224,0.0342429071284347,0,0.0448524581581001,0.102967804690378,0,0.0230122034940346,0,0,0,0,0,0,0.00971871521824071,0,0.0177416282668043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029851701636943,0,0,0,0,0,0
