,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X601898.SH,X600019.SH,X600011.SH,X601600.SH,X600585.SH,X600547.SH,X600660.SH,X600886.SH,X600795.SH,X000792.SZ,X002466.SZ,X600362.SH,X000708.SZ,X002460.SZ,X600010.SH,X600027.SH,X600111.SH,X000301.SZ,X000877.SZ,X600160.SH,X600803.SH,X601699.SH,X600489.SH,X000983.SZ,X600426.SH,X601991.SH,X000786.SZ,X000630.SZ,X000408.SZ,X000807.SZ,X601168.SH,X600985.SH,X000933.SZ,X600176.SH,X600612.SH,X002271.SZ,X600219.SH,X000932.SZ,X002128.SZ,X600096.SH,X600348.SH,X000883.SZ,X000027.SZ,X600378.SH,X002353.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.140998210908843,0.0520007159107737,0,0.0630389000362719,0.119819240862187,0,0.0458867673466615,0.173393512866097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0401396792044226,0,0,0,0,0,0,0,0,0,0,0,0,0.0552604398611362,0,0,0,0,0
X601088.SH,0.0341714193823239,0,0,0,0.15438744396145,0,0,0.147404972816861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0773232666253564,0,0,0,0,0,0,0.0277617324710289,0.263126895210606,0,-0.0730064737924069,0,0,0,0,0,0,0,0,0,0,0.00725966105265793,0,-0.0110992504485457,0,0,0,0,0,0,0
X600028.SH,0,0.0725042141018058,0,0,0,0.0771824291844615,0,0.0506676858972406,0.019946206365552,0,0,0,0,0,0,-0.048251534209638,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0.185220299052562,0,0,0,0,-0.0250013374162545,0,0.0568717969319228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0206081805820339,0.0765512516876591,0,0,0,0,0.143197972674518,0,0,0,0,0.140981097738784,0,0.0565936803586008,0,0,0,0,0,0,0.200086216636374,0,0,0,0,0,0,0,0,0,0.0419455366950989,0.0268229146842201,0,0,-0.0687755624490566,0,0,0,0,0,0
X600188.SH,0,0.0412806331274065,0,0,0,0.179071522307955,0,0,0,0,0,0,0,9.44220152910777e-07,0,0,0,0,0,0,0,0,0,0,0,0,0.372824821625578,0.0574393247016146,0.114759596309264,0,0,0,0,0,0,0.0114252584516584,0,0,0,0,0,0,0,0.128015494382122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0.218723582327009,0,0,0.503329565027754,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.344447026423065,0,0,0,0,0,0,0,0,0,0,0,-0.0154193037648785,0,0,-0.00591238651358878,0,0.128290895754488,0,0,0,0,0
X600019.SH,0,0,0,0,0.144218989134661,0,0,0,0,0,0,0,0,0.113072134539766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11695830023444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00240916643905338,0,0,0,0,0,0
X600011.SH,0,0,0,0,0.028746421607663,0.156787864087218,0,0,0,0,0,0,0,0.129410018941013,0,0,0,0,0,0,0.224453851060887,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0.193187260089941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0060698502847584,0,0,0,-0.0148107858492686,0,0,0,0,0,0
X601600.SH,0.276684969080991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0909296308987566,0,0.162666838396097,0,0.2964757421953,0,0,0,0.0114747249797029,0,0,0,0,0,0.0416591333449277,0,0.0212436542005199,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0.021159961948497,0,0,0,0,0,0,0,0,0,0,0,0,0.0075411436125204,0.0991582895153976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.237013854731535,0,0.0549296618010831,0,0,0,6.93889390390723e-18,0,0,0,4.33680868994202e-19,0,0,-0.063144087989359,0.0525519404742264,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,-0.0424126609951028,0,0,0,0,0,0,0,0,0,-0.0440266016522698,0,0,0,0,0,0,0,0.0252294302020625,0,0,0,0.773075729058308,0,0,3.46944695195361e-18,0,0,0,0.00789597029956472,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00330767736160429,0,-0.0202506977964188,0.0286232539268431,0,-0.000961644366274061,0,0,0,0,0
X600660.SH,0.0872803292449461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0489467986602605,0,0,0,0,0.0579211192424752,0,0,0,0,0,0,0,0,0,-0.060941945866632,0,0,0,0,0,-0.0299152902152043,0,0,0,0,0,0,0,0,0,0,-0.0118739533131873,0.0819830029523426,0,0,0,0,0,0
X600886.SH,0,0,0,0,0.0978982343843949,0,0,0,0,0,0,0,0,0.272623486115833,0,0,0,0,0,0,0,0,0,0,0.0111878766892694,0,0,0,0,0,0,0,0,0,0,0.130368062865265,0,0,0,0,-0.0145918015859804,0,0,0,0,0.0102907351421029,0,0,0,0,0.0257759622458522,-0.00235736747536558,-0.022689627347962,0,0,0,0,0,0
