,X601857.SH,X600028.SH,X601088.SH,X600010.SH,X600011.SH,X600019.SH,X601898.SH,X600795.SH,X600585.SH,X600886.SH,X601600.SH,X601991.SH,X600688.SH,X600027.SH,X000709.SZ,X600157.SH,X600111.SH,X600362.SH,X600188.SH,X600583.SH,X000539.SZ,X002075.SZ,X601158.SH,X600352.SH,X600309.SH,X600021.SH,X000898.SZ,X601992.SH,X000027.SZ,X000883.SZ,X002353.SZ,X002470.SZ,X000629.SZ,X600863.SH,X600808.SH,X600660.SH,X000792.SZ,X000878.SZ,X600098.SH,X000060.SZ,X600307.SH,X601918.SH,X600578.SH,X000825.SZ,X600489.SH,X300072.SZ,X600008.SH,X600022.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.655449333073437,0.08466075792397,0,0.0303761701972717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0521767473938991,0,0,0,0,0,0,0.0681245400664786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00703571984253015,0,0,0,0,0,0,0
X600028.SH,0.366646864127653,0,0,0,0,0.172640271450341,0.0621028511423197,0,0,0,0,0,0,0,0,0,0,0,0,0.0817509783880656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00600636893249718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601088.SH,0,0,0,0.144342147052686,0,0.0692104520353363,0.185359174264891,0,0,0,0,0,0,0,0,0,0,0,0.016699675806749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022494813052972,0,0,0,0,0,0,0,0,0,-0.0172150515933793,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0.0299223546138123,0,0,0,0,0,0,0,0,0,0,0,0,0.039842685786391,0,0,0,0,0,0,0.138273716397428,0,0,0,0,0,0,0.101550508298678,0,0.223916608796429,0,0,0,0,0.224577752831093,0,0,0,0,0,0,0,0,0,0.00935217996957241,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0.128280633381897,0.109846948005036,0,0,0,0,0.104489565727577,0,0.162449756341681,0,0,0,0,0.0284998839024387,0,0,0,0,0,0.0440219106090849,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.317819153442922,0,0,0,0,0,0,-0.00312228351456706,0.00287460703267312,0,0,0,0,0,0
X600019.SH,0,0,0,0,0.106009155621643,0,0,0,0,0,0,0,0.0131279181531478,0,0,0.00533768348950787,0,0,0,0.0181844979376454,0,0,0,0,0,0.0977832006573785,0.324380319449394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0959275278066077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0.19970591145631,0.312610342273773,0.0222139875906418,0,0,0,0,0,0.145633781703519,0.0395894324498093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267771884683593,0,0,0,0,0,0,0,-5.42101086242752e-20,0,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0.00717086226111041,0,0,0,0.0764986851336881,0,0.0153113880142563,0.0868599086026627,0,0,0,0,0,0.0287070672729059,0,0,0,0,0,0.17418701893187,0,0,0,0,0,0,0,0.285791577141307,0,0,0,0,0,0,0,0,0.0869861699648117,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600585.SH,0,0,0.110523347737943,0,0.0601420672661092,0.0676007089670137,0,0,0,0,0.127160173129213,0,0,0,0,0,0.0145966472024627,0,0,0,0,0,0,0,0.0090815185301858,0,0.0340657503790751,0,0,0,0,0,0,0,0,0.232341481489716,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00970578376150068,-0.013601197806522,0,0,0,0,0,0
X600886.SH,0,0,0,0,0,0.134131580586048,0,0,0,0,0,0,0,0,0.169738346182529,0,0,0,0,0,0.197044435074089,0,0,0,0,0.142530594987571,0,0,0,-0.0743980800857492,0,0,0,0,0,0,0,0,0,0,0,0,0.0044157770550694,0,0,0,0,0,0,0,-0.024329217967678,0,0,0,0,0,0
