,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600547.SH,X600019.SH,X002271.SZ,X000708.SZ,X600011.SH,X600660.SH,X002460.SZ,X600886.SH,X600801.SH,X601898.SH,X000786.SZ,X600010.SH,X600176.SH,X601600.SH,X600362.SH,X600489.SH,X600188.SH,X600352.SH,X601991.SH,X600426.SH,X600795.SH,X600111.SH,X600688.SH,X600027.SH,X600299.SH,X002080.SZ,X601992.SH,X000932.SZ,X002466.SZ,X000301.SZ,X002353.SZ,X600803.SH,X600486.SH,X600219.SH,X600529.SH,X002075.SZ,X000027.SZ,X000723.SZ,X002409.SZ,X600315.SH,X601158.SH,X600612.SH,X000898.SZ,X000883.SZ,X000630.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.0681378012570761,0,0,0,0,0,0,0,0,0.0505679905666383,0,0,0,0,0,0.04741142786515,0.1185047714631,0,0,0.00558401423577773,0,0,0,0,-0.00986272033009182,0,0,0,0,0,0,0,0,0.015692906381518,0,0,0.0679700040116842,-0.0523910393617991,0,0,0,0,0,0,0,0,0,0,0,-0.00280508103150039,0.00876322088450837,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0,0,0.0425274525677191,0,0,0,0,0,0.0385891349888544,0,0.0097968095796129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0654260913969252,0,0,0,0,0,0,0,0,-0.0212122398428702,0.017230989725768,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0.0512198626621496,0,0.0112300808744938,0.0581366543503121,0,0,0,0,0,0,0,0,0,0.307269986210534,0.049890713804316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0421457668587732,0,0,0,0,0,0,0,0,0,0,0,-0.00222070925901801,0.0140778669903961,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0.0183193620007071,0,0,0.041642232127546,0,0,0,0,0,0,0,0.157741142849398,0,0,0,0,0,0,0,0,0,0,0,0.0881719954314301,0,0.0714230199695571,0,0,0,0,0,0.00416322637186113,0,0,0,0,0,0,0,0.0289921041776125,0,0,0,0,-0.00742465909366454,8.67361737988404e-19,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0.091835535946699,0,0,0.16920733740956,0,0,0,0,0,-0.088409216949879,0,0,0,0.155059194298031,0,0,0,0.184414513083614,0,0.0429759416687593,0,0,0,0,0,0,0.106133304537498,0,0.0532393649499811,0,0,0,-0.0627430233833823,0,0,0,0,0,0,0,0,0,0,0,0.0003932482258894,-0.0372675960807828,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0.0836566704619802,0,0,0,0.00391618937506694,0,0,0,0,0,0,0,0,0.492720256859365,0,0,0,0.000228709685488512,0,0.0261918658608378,0,0,0.0199602457863615,0.027539122593474,0,0,0,0,0,0,0,0.0818147183219166,0,0,0,0,0,0,0,0.227477772067782,0,0,0,0,0,-0.0203287602752834,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0.0658433033863359,0,0.0457477998776323,0,0,0,0,0,0,0.0880110497663652,0,0,0.0662234412795228,0,0,0,0,0,0,0,0,0,0,0.0993978808475301,0,0,0,0,0,0.0315664209107023,0,0,0,0.0984575043357205,0.0376449258750974,0,0,0,0,0,0,0,-0.017186399005845,0.00598737657718483,0,0,0,0,0,0
X002271.SZ,0,0,0,0,0.0873699086240676,0,0,0,0,0,0.0769656656113121,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100121911746775,0,0.159790405197822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13520748324853,0.049631641176333,0,0.0297202856958131,0,0,0,0,0.0215889349029537,-0.0303941359355579,0,0,0,0,0,0
X000708.SZ,0,0,0,0,-0.072373693731335,0.0246201923631356,0,0,0,0.102760309679357,0,0,0,0,0,0,0,0,0.00586967345846614,0,0.13700462155506,0,0,0,-0.0693975669829785,0,0.129165429852418,0,0,0,0,0.115554504532345,0.0734297685878377,0,0,0.0835360016124185,0,0,0,0.00638985971524643,0,0,0.161853992341581,0,0.10281270501037,0,0,0,0,0,0,8.67361737988404e-19,0.0214812130503391,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,-0.125622595412887,0,0,0,0.146045954169179,0,0,0,0,0,0,0,0,0,0,0.0469724710474936,0,0.387244397086756,0,0.0521622815607588,0,0,0.0126800730127848,-0.0135113235881999,0,0,0,0,-0.0365946518611856,0,0,0.000490361553579465,0,0,0,0,0,0,0,0,0.0532249214105386,0.0142290714011843,0,0,0,0,0,0
