,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X002466.SZ,X002460.SZ,X600585.SH,X000792.SZ,X000301.SZ,X601898.SH,X600111.SH,X600019.SH,X600011.SH,X000708.SZ,X600660.SH,X600010.SH,X000877.SZ,X002271.SZ,X600547.SH,X601600.SH,X600886.SH,X600795.SH,X600426.SH,X600176.SH,X600362.SH,X000408.SZ,X601991.SH,X000629.SZ,X600803.SH,X600096.SH,X600348.SH,X000983.SZ,X600027.SH,X000723.SZ,X300073.SZ,X600160.SH,X002080.SZ,X000786.SZ,X600141.SH,X600219.SH,X601699.SH,X600549.SH,X002353.SZ,X600157.SH,X600378.SH,X000933.SZ,X300037.SZ,X600801.SH,X600295.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0380400141871605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0552040757417649,0.309891659869169,0,0,0,0,-0.0102906304453926,-0.0386476923717669,0,0,0.00565518007123453,0,0,0,0,0,0,0,0,-0.0493613690897543,0.00958934430147433,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0.274778298473351,0.216418921378405,0,0,0,0,0,0,0,0.0676225154590587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.112514824494516,0,0,0,0.0595250994544421,0,0,0,0,0,0,0,0,0,0,0,0,0,0.213561847879261,0,0,0,0,0,0,0,0,0,0,0,0
X600028.SH,0.0513376249301681,0,0,0.0270419881269668,0,0,0,0,0,-0.00951087395281806,0,0,0,0.0279316311345802,0.00379208085597133,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00280581435662502,0,0,0,0.0858211129047139,0.00652101264697729,0,0,0,0,0,0,0,0,0,0,0,0,0.0216988720920799,0,0,0,0,0.0225512186579912,0,0,0,0,0,0,0
X600309.SH,0,0.148476658699109,0,0,0,0,0,0,0,-0.0496394317975671,0.0705403799469673,0,0,0,0,0,0,0.142546332983981,0,0,0,0,0,0,0,0,0,0,-0.00408355020635377,0,0,0,0,0,0,0,0,-0.0134306233842122,0,0,-0.00590392903363016,0,0,0,0.0227891402308749,0,0,0,0,0.053760035673001,0,0.00612645584512262,-0.0140448523132154,0,0,0,0,0,0
X600188.SH,0,0.0236907137912005,0,0,0,0,0,0,0,0,0.474428977142491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0309409367436386,0.185221426978588,0,0,0,0,0,0,0,0,0.129929883896938,0,0,0,0,0,0,0,0,0,0,-0.0483668135435205,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0.630459575818148,0,0.0624328174093005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.208911971472279,0,0,-0.0267108696814362,0,0,0,0,0,0.0576352097300284,0,0.29519867211684,0,0,0,0,0,0,0,0,0,0,0,0,0.0233881836018297,0,0,0,0.00421765796000735,0,0
X002460.SZ,0,0,0,0,0,0.241510837724438,0,0,0.0276903555018908,0,0,0,0,0,0,0,0.0376320618688747,0,0.0974662549934545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0158614192727337,0,0.0377740286026624,0,0,0,0.123786926878862,0,0,0,0,0,0,0.164109563679577,0.186837959016179,0,0,0,0,-0.0573832050279802,0,0,0,0.0459593550174985,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,-0.00419113045831879,0,0,0,0,0,0,0,0,0.122211706397785,0,0,0,0,0,0,0,0,0,0,0,0.0332384058222716,0,0,0,0.07854807381152,0,0,0,0.01478747032157,0,0,0,0,0,0,0,0,0,0.354428990271455,0,0,0,-0.0276466227718632,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0.245692532858302,0.0259447253315492,0,0,0,0,0,0,0.0560345752464501,0,0,0.0551208030363659,0,0,0,0.146478134760441,0,0,0,0,0,0.0100386661784562,0,0,0,0,0.117888724946382,0,0,0,0,0,0.0236856893324851,0,0,0.120488191170529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.051386978638164,0,0
X000301.SZ,0,0,0,-0.154667698229973,-0.164369143250336,0.303847009436074,0,0,0,0,0,0,0,0,0.195142142735309,0,0.194387816011735,0,-0.0844911551363848,0,0,0,0,0,0,0,0.238871517329577,-0.140437336227029,0,0,0,0.127787193441628,-0.00920058222229102,0,0,0,0,0.122642094272024,3.46944695195361e-18,0,0,0,0,0,0,0.0621160801249489,0,0,0,0,0,-0.131674700082106,-0.119284681799928,0,0,0,0.0643165553349394,0,0
