,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600010.SH,X601600.SH,X601898.SH,X600547.SH,X601991.SH,X600660.SH,X600352.SH,X600688.SH,X600362.SH,X600886.SH,X600188.SH,X600795.SH,X601992.SH,X600027.SH,X000898.SZ,X600516.SH,X002466.SZ,X600111.SH,X000723.SZ,X600176.SH,X002460.SZ,X000709.SZ,X600801.SH,X000786.SZ,X600299.SH,X000990.SZ,X600219.SH,X002271.SZ,X000629.SZ,X600808.SH,X000825.SZ,X600489.SH,X601158.SH,X600583.SH,X002110.SZ,X000553.SZ,X000630.SZ,X600157.SH,X000883.SZ,X600985.SH,X600339.SH,X000027.SZ,X600426.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0399510999070414,0,0,0,0,0,0,0.0895156119752031,0,0.033611171587187,0,0.0125720998357707,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0288520307279895,0.04321632759524,0,0,0.013612795438018,0,0.114908958669365,-2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0.0163982622102555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0846038811645945,0,0,0.00227941714672064,0,0,0,0.269509918916735,0,0,0,0,0,0,0,0.0843473760127238,0,0,0,0.0417772700679931,0,0,0,0,0.0198015166316139,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0940648324540211,0,0,0,0,0,0.0653630618669484,0,0.0329843863875839,0,0,0.00489358410928676,0,0,0,0,0,0,0.0691192649879549,0,0,0,0,0.198579677033703,0,0,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00317924628567113,0,0,0,0,0,0,0,0,0,0,0,0,0.0365539119549416,0,0,0.534232525922327,0,-0.0139437980742914,0,0,0,0,0,0,0,0,0,0.0775095806184568,0,0,0,0,0,0,0,0,0,-0.0128269649105505,0.00460431584542363,0,0,0,0,0,0
X600019.SH,0,0,0.0419042067596221,0,0,0,0,0,0.0510778012606532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137660709486115,0,0.137421339285146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.219067296302773,0,0,0.0449358904379192,0,0,0,0,1.73472347597681e-18,0,0.00157971966793033,0.00497434290344716,0,0,0,0,0,0
X600309.SH,0,0,0,0.301227296076183,0,0,0,0,0,0,0,0,0,0.0662947612981394,0,0,0,0,0,0,0,0,0,0,0,0.0675566021867653,0,0,0,0.0580795389459209,0.123220240515012,0,0.00866585294816422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14529708414795,0,-0.0171148920646549,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.456606562693737,0,0.482986831087712,0,-0.104156294910717,0,0,0.0771551217830193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00170292871299378,0.0262767987063398,0,0,0,-0.00660946081094342,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128186997893075,0,0,0,0.033996272168504,0.0830738682129318,0,0.0469513838418644,0,0.298914480480336,0,0,0,0,0,0,0,-0.0577271280023274,0.283448790286418,0,0.145221663876122,0,0,0,0,0,0,0,0.0232325409563011,0,0,0,0,0.000188952960452404,0,0,0.00621194808626529,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0.0734694769026639,0,0,0,0,0,0,0,0.140228552255151,0,0,0,0,0,0,0,0.046625004907616,0.0171650206690111,0,0,0.067237259208963,0,0,0,0,0,0.354852621939285,0,0,0,0,0,0,0,0,0,0,0.00122811896876209,0,0.0138084025981436,0.0215023342997137,0,0.183129153452136,0,-0.00738333595286962,-0.0180815686791127,0,0,0,0,0,0
X601898.SH,0,0,0.0727282018759949,0,0,0,0,0.103509797367218,0.212686061686691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0635587858909823,0,0,0,0,0,0,0.0282217140869456,0,0,0,0,0,0,0.0161997435073663,0,0.0136316184162034,0,0.140941719715471,0.031728624672164,0,0,0.0242555601728382,0,0,0,0,0,0
