,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X600795.SH,X600886.SH,X601898.SH,X601600.SH,X600688.SH,X601991.SH,X000709.SZ,X600027.SH,X000539.SZ,X600362.SH,X600157.SH,X600111.SH,X600583.SH,X002075.SZ,X600188.SH,X600352.SH,X600309.SH,X601158.SH,X601992.SH,X002353.SZ,X000898.SZ,X600021.SH,X000878.SZ,X600660.SH,X000629.SZ,X000027.SZ,X600808.SH,X000883.SZ,X000959.SZ,X002470.SZ,X600863.SH,X000792.SZ,X000825.SZ,X600489.SH,X600578.SH,X600307.SH,X600547.SH,X600315.SH,X000060.SZ,X000786.SZ,X600022.SH,X601918.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.541614228039736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0971591436097483,0,0,0,0,0.0255068231340244,0.0140389644358094,0,0,0,0,0,0,0,0,0,0,0,0,0.0582782621548805,0,0,0,0,0,0,0,0,0,0,0,0.0259513091634704,0,0.00433727315470476,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0776592354606432,0,0,0,0,0.115388626445524,0,0,0,0.057059369209365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0317268305746458,0,-0.00385767486063021,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0.208840701624457,0,0,0,0,0,0,0,0.0283817217722592,0,0,0,0.0175425770111214,0.0440255788058227,0,0,0,0,0.115482279986232,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016127208013466,0,0,0,0.0506258970537755,0,0,0,0,-0.0203775661622569,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0.130379205290569,0.0059436844499138,0,0.117454549769997,0,0.0786962221841741,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0.0625531579046808,0,0,0,0.400289553636106,0,0,0,0,0,0,0.024302557374838,0,-0.00870799274381217,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00398872343714161,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00952469506263963,0.220452640403388,0.270752523811792,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0903784024900443,0,0,-0.0066042921266961,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0.00798743204433398,0.0536937265654809,0,0,0,0.0405516500171579,0,0,0,0,0.0208499241734216,0,0,0,0,0,0,0,0.229458151680369,0.0568450098365355,0,0,0,0,0.091262827039038,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0828361010149821,0.129991690746839,0,-0.00602510844121496,0,0,0,0,0,0,0
X600585.SH,0,0,0.0824501499338047,0,0.00190460591220826,0,0,0,0.0651699350177966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0372524614616597,0,0.069297131089233,0,0,0,0,0,0.0685059761365356,0,0,0,0,0,0,0,0.141545586020032,0,0,0,0,0,0,0,0,-0.0317476784472855,-0.0357927260219158,0,0,0,0,0,0
X600795.SH,0,0,0,0.103663531153364,0,0,0,0,0,0,0.123410199654229,0,0.0878138516205345,0,0.106526988183598,0,0,0.129480891289492,0,0.0404394915735631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146952589588961,0,0,0,0,0,0,0,0,0,0,0,0,-0.010345687019286,0.00641528505571611,0,0,0,0,0,0
X600886.SH,0,0,0,0,0,0.24289653183652,0,0,0,0,0.0041028197281671,0,0,0,0,0.249062968327577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0250006751327607,0,0,0.00169530745459681,0,0,0,0.1767840571309,0,0,0,0,0,0,0.0366432943776372,0,0.00207553992868557,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0.136404483064267,0,0,0,0,0,0.0751819880366658,0,0,0,0,0,0,0,0,0.0250387678194874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0214980215346722,0.169205877710876,0,0,0.188950028180032,0,0,0.175081172516407,0,0,0.012366278227003,0,0,0,0,0,0
