,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600585.SH,X600019.SH,X601898.SH,X600688.SH,X600188.SH,X600547.SH,X600795.SH,X601600.SH,X601991.SH,X600027.SH,X600362.SH,X600157.SH,X600886.SH,X600111.SH,X600489.SH,X601992.SH,X300072.SZ,X600660.SH,X600309.SH,X600623.SH,X600299.SH,X002466.SZ,X000792.SZ,X601158.SH,X002075.SZ,X000709.SZ,X600583.SH,X000898.SZ,X000408.SZ,X600352.SH,X000983.SZ,X000883.SZ,X000723.SZ,X600549.SH,X000539.SZ,X000027.SZ,X600176.SH,X002470.SZ,X000959.SZ,X000012.SZ,X000630.SZ,X601699.SH,X002460.SZ,X000060.SZ,X002407.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0.0202097887472082,0,0,0.0200192081106643,0.00649446613495197,0,0,0,0,0,0.0197681116261426,0,0,0.0264185779987503,0,0,0.0234248773138298,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0.0743123088541122,0,0,0,0.0177001635145862,0,0,0,0,-0.00324191204019456,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0.0556078252488464,0.0436232296836649,-0.0369304286738847,0,0,0,0,0,0,0,0,0,0,0.00124496363250127,0,0,0,0,0,0,0,0.0381528564994586,0,0,0,0.0811375400445014,0,0.0183897729947561,0,0,0.0260314218682652,0,0,0,0,0,0,0,0.0214372262093599,0,0,0,0,-0.00733445393173348,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0.176951413923279,0.0836465548690527,-0.00426045122024321,0,0,0,0,0,0,0,0,0,0.0226132812362244,0,0,0,0,0,0.0313277556195802,0,0,0,0,0,0,0,0,0.0217706511430846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00142893510478454,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0.135704237447897,0,0,0,0,0.109277248933212,0,0,0,0,0.0659393112527729,0,0,0,0,0,0,0,0,0.0446473955226078,0,0,0,0.0329273105953318,0,0,0,0,0,0.0813445198324339,0.109651572909852,0,0,0,0,0,0,-0.0976364887744906,0.0692490379121118,0,0,0,0,0.0291834618194527,0,0,0,-0.00203812532686013,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0.0576370205050516,0,0,0,0,0,0,0,0,0,0,0,0,0.20721250097537,0,0,0,0,0,0.0253859599564773,0,0,0,0,0,0,0,0,0,0,0.12775432507987,0,0,0,0,0,-0.0165044587147468,0,0,0.0790778232796527,0,0.00378335671026944,0,0,0,0,-0.00494244966713152,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0.0762933797102511,0,0,0,0,0.0986289532404436,0,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,0,0.158747362564636,0,0.148579924870313,0,0,0,0,-0.0181548313652988,0,0,0,0,0.0374890242828073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00776126044684706,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,-0.0730501412298688,0,0,0,0,0,0,0,0,0,0,0,0,0.024038621912446,0.0260551786664196,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0225452934314392,0,0,0,0.0206934743231351,0,0,0,0,0.0136718938983754,0,0,0,-0.0420605238144322,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0.0211014571947159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0564930389422635,0,0,0,0,0.0392969169558471,0,0,0,0.0397757020340908,0,0.0471852572861896,0,0,0.0346550821611215,0,0,0,0,0,0,0,0.375027376435719,0,0,0,0,-0.0133062545006384,0,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0.0209366737466455,0,0,-0.0163295694727596,0,0,0,0,0,0,0,0,-0.0207034219297462,0,0,0,0,0.0762158022680734,0,0,0,0,0.0499763310120725,0,0,0,0,0,0.127184812006329,0,0,0.0399356229572082,0,0,0,0.124615943344238,0,0,0,0.0849563190858399,0.0548194308569899,0,0,0,0,0,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0.0460348562046496,0,0,0,0,0,0.564422146565355,0,0,0,0,0,0,-0.0815275061083745,0,0.220021151405393,0,0,0,0.18078844921287,0,0,0.0202992918133829,0.00904758365674151,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0417925774237593,0.743835785016219,0,-0.0255971489266512,0,0,0.190191973745088,0,0,0,0,-0.0202004601130195,0,0,0,0,0,-0.167185849595605,0,0,0,0,0,-0.0224504896759449,0,0,0.196217847756805,0,0,-0.183860851060061,0,0.149342505135287,0,0.0922985120609938,0,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0.0132361392085561,0,0.0254543729296241,-0.000895883666013199,0,0,0,0,0,0,0,0,0,0,0.0198972523377123,0,0,0.00152413493345988,0,0,0,0,0,0,0,0,0,0.0773075969180096,0.0780527604949131,0,0,0,0,0,0,0.0470045215601713,0,0,0,0,0,0,0,0,-0.00425037901325521,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0.134621307158411,0,0,0,0,0,0,0,0.163757909163141,0,0,0,0,0,0.0101778308857292,0,0.0541531628769981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0645448987983122,0,0,0,0,0,0.138489726525327,0,0.0120692922452751,0,0.0211450706134727,0,0,-0.0396288044663844,0,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0,0,0,-0.0193274914791148,0,0,0,0,0,0,0,0,0,0,0.0467555779090907,0,0,0,0,0,0,0,0,0,0.0451746815580128,0,0,0,0.0657324755172544,0,0,0.0337175222778515,0,0,0.0201964425805362,0.11062136849467,0,0.0215393018021536,0,0,0.00576156848396117,0,0,0,-0.0149419143878642,0,0,0,0,0,0,0
X600027.SH,0,0,0,0,0,0.0683067458553216,0,0,0,0.0489819839795591,-0.0202330684121313,0,0,0,0,0,0,0.243484160202277,0,0,0,0,0.0215550005451401,0.0108928967059592,0,0,0,0,0,0,0,0,0,0,0.0383673518781278,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0.0201670725171844,0,0,0,0.018454626239257,0,0,0,0,0,0,0
