,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600011.SH,X600010.SH,X600309.SH,X601600.SH,X601898.SH,X600188.SH,X002466.SZ,X600660.SH,X600688.SH,X600362.SH,X600795.SH,X300072.SZ,X601992.SH,X601991.SH,X002460.SZ,X600547.SH,X600886.SH,X600111.SH,X000898.SZ,X600516.SH,X600176.SH,X000786.SZ,X600352.SH,X000709.SZ,X600027.SH,X000825.SZ,X002271.SZ,X000553.SZ,X000792.SZ,X601699.SH,X600299.SH,X000408.SZ,X601158.SH,X600808.SH,X600219.SH,X600489.SH,X000959.SZ,X000883.SZ,X000932.SZ,X002110.SZ,X000630.SZ,X000983.SZ,X000830.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.124804919655841,0,0,0,0,0,0,0,0,0,0,0,0,0.0119371871892589,0,0.163761557516245,0.00763872170427182,0,0,0,0,0,0,0,0.0010793268021468,0,0,0,0,0.0595988441832355,0,0,0,0,0,0,0,0.120510051084019,0,0,0,0,0,0,0,0,0,0,-0.0105580576450315,0,0,0,0,0,0,0
X600028.SH,0.0411853528330007,0,0.160736523169285,0,0,0,0,0,0,0,0.0518561191328768,0,0,0,0.0415737885975539,0,0,0,0,0,0.178197201477435,0,0,0.00439582641767055,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,-0.00513616952803143,0,-0.0234747102127617,0,0,0,0,0,0,0
X601088.SH,0,0,0,0.268531141866063,0.0239061448361844,0,0,0,0,0,0,-0.0162653217313202,0,0,0.0592358890562808,0,0,0,0,0,0.0335441239958541,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187400344993084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00448571136328705,0,0,0,0,0,0
X600019.SH,0,0,0.066721218552529,0,0.391080883847067,-0.0904884914116874,0,0,-0.038609289096431,0,0.0659690967585862,0,0,0,0.0823546590236095,0,0,0,0,0,0,0,0,0.151920183190757,-0.0210954130792665,0,0,0,0,0,0.128096217473288,0,0,-0.0910453356760969,0,0,0,0,0,0,0,0,0,0.0833595422943934,0,0,0,0,0,0.00666969988619184,0,0,0,0,0,0,0
X600585.SH,0,0,0,0.293390327083262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144069296501265,0.139453641892531,0,0,0,0,0,0,-0.125569086603892,0.221841912288679,0,0,0,0,0,0,0,0,0.103904578946571,0,0,0,0,0,-0.0100597956821906,0,0,0,0,0,0,0
X600011.SH,0,0,0,-0.0894958810075158,0,0,0,0,0,0.137475078145454,0,0,0,0,0,0,0.0379870736220668,0,0,0,0,0,0,0,0.0655337423724311,0,0,0.0271741457180138,0,0,0,0,0.138871305828379,0.0439589531363856,0,0,0,0,0,0,0,0.0606159165225678,0,0,0,0,0,0,0,0.00243609339520919,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0.0276443002398222,0,0,0,0.0267512979983463,0,0,0,0,0,0,0,0.0328381063525704,0,0,0,0,0.0186671543301843,0,0,0,0,0.0693891439783846,1.73472347597681e-18,0,0,0,0,0.125613398905498,0,0,0.0191810088496543,0,-1.73472347597681e-18,0,0,0.0273426803077617,0.0474635964503983,0,0,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000681727309529711,3.09504351015051e-05,0.000645856457307361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000804899546452594,0,0,-0.000654086958806245,0,0,-0.000117117608429475,5.23353079242557e-05,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,-0.0627462164858614,0,0,0,0,-0.403819734286923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.421021344901665,0,-0.139969449831629,0.192145220307752,0,0,0,0,0,0,0,0,-0.119493334462279,-0.0187024709081463,0,0,0.000290440514165889,0,0.312220836024112,-0.432542899968641,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0.102547859172881,0,0,0,0.22170460309607,0,0,0.0574933793543691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10911755076622,0.181926535944795,0,0,0,0,0,0,0,0,0,0,0,0.0738800174940976,-1.0842021724855e-19,0,0.0034594893600774,0,0,0,0,0,0,0
X600188.SH,0,0,0.270712058670402,0,0.041895306174044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0890594107041886,0,0,0,0,0,0,0.0785181870020862,0,0,0,0,0,0,0,0.442454337797944,0,0,0,0,0,0,0,0,0,0,0,0,0.0983164080965224,0,0.00599224436432178,0,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,-0.0557467436225324,0,0,0,0,0,0,0,0,0,0,0,0,0,0.399960797099418,-0.0910011061048117,0,0,0,0.212373739015141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00463412706974102,0,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0184144659867147,0,0,0,0,0.0787426586814349,0,0.00537116034318709,0.0465471837285429,0,0,0,0,-0.133475539777898,0.165075997722772,0.158553179861946,0,0,0.183591193237602,0,0,0,0,0,0,0,0,0.149749400128306,0,0,0,0,-0.00255142323303809,0,0,0,0,0,0,0
X600688.SH,0,0.378970016518026,0,0,0,0.0602096862017664,0,0,0,0,0,-0.0369850643207691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0142954281824643,0,0,0,0,0,0,0.0657479093709216,0,-0.0470756656930836,0,0,0,0,0.0471747666963151,0,0,0,0,0,0,0,-0.0168316853714502,0,0,0.00887234267707284,0,0,0,0
X600362.SH,0,0,0,0,0,0,0,0,0,0,0.20218090086606,0,0,0,0,0,0,0,0,0,0.114055368922537,0,0,0,0,0,0,0,0,0,0.277805626987592,0,0,0.025060372183231,0,0,0,0,0,0,0.130028064069689,0,0,0,0,0.246511328671702,0,0.0324481822445867,0,-0.0312532159721821,0,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0505971927933756,0,0,0,0.00919880996168505,0,0,0.0134376874903279,0,0.0381322151859938,0.0903092099722285,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0.100399972961548,0,0,0,0,0,0,0,0.0670616747656814,0,0.0682575984545083,0,0,0,0,0,0.01056681452477,0,0,0,0,0,0,0
