,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600010.SH,X601600.SH,X600547.SH,X601898.SH,X601991.SH,X600660.SH,X600688.SH,X600886.SH,X600362.SH,X600795.SH,X600188.SH,X600027.SH,X601992.SH,X002466.SZ,X000898.SZ,X600516.SH,X600111.SH,X600176.SH,X000709.SZ,X002460.SZ,X600352.SH,X000786.SZ,X000629.SZ,X600219.SH,X600299.SH,X600808.SH,X600489.SH,X000825.SZ,X600801.SH,X002271.SZ,X601158.SH,X600157.SH,X000553.SZ,X002110.SZ,X300072.SZ,X000883.SZ,X000630.SZ,X600985.SH,X600583.SH,X002470.SZ,X000408.SZ,X000027.SZ,X600339.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0.0236239855113266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0558656333606346,0,0,0,0.0384729623920091,0,0,0,0,0,0,0,0,0,0,0.0421823225444039,0.0355446066394799,0,0,0,0,0,0,0,0,0,0,0,0.0288998449629153,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,-0.0762084994586367,0,0,0,0,0,0.270868827393257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0499182549228366,0,0,0,0,0,0,0.160530476523672,0.245557390912695,0,-0.0220737531708457,0,0,0,0,0,0,0,0,0,0,0,0.0764984379019045,0.039949695854954,0.0645392571676809,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130717654567533,0,0,0,0.0710907067479341,0,0,0,0,0,0,0,0,0,0.0244552453046677,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0314273478438691,0,0,0,0,0,0
X600585.SH,0,0.109597425901344,0,0,0,0,-0.020637607749328,0,0,0,0,0,0,0,0,0,0,0,-0.00398759749346943,0,0,0,0,0,0,0,0,0,0.195401054179416,0,0,0,0,0,0,0.38829608925013,0,0,0.0281309362317807,0,0,0,0,0,0,0,0,0,0,0,0,0.00559465592510059,0.0031239529056459,0,0,0,0.0280655091590482,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0675471666051995,0.102053384359202,0,0,0,0,0,0,0,0.193261520503804,0,0,0,0,0,0.0142410951817599,0,0.212791953378554,0,0,0,0,0,0,0,0,0,0,0.00898916473776129,0.0118965422205383,0,0,0,0.00771720482467043,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.287584089886896,0,0,0,0,0,0,0,0,0,0,0,0.26486022797569,0,0,0.236028022621238,0.0173495332559589,0,0.00130448876598432,0,0.118560744589622,0,0,0,0.00825145171838346,0.0690390972034052,0.275911624713734,0,0,0,0,-0.00724894720329601,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,-0.0362825934053598,0,0,0,0,0,0,0,0,0.483866371918704,0,0.643777836260293,0,0,0,-0.201842365104292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0515389931592451,0,-0.0240398348322114,0,0,0,0,0,0.0762692349155566,0,0,-0.117618869922269,0,0.00737115995469742,0.0030802007026356,0,0,0,0,0,0
X600010.SH,0,0.00522364857154296,0,0,0,0,0,0,0,0,0,0,0.0726770198675815,0,0,0,0,0,0,0,-0.0434794294927036,0,0,0.298581993427359,0,0,0,0,0,0,0,0,0,0,0,0,0.130498360090353,0,0,0,0,0,0,0,0,0,0,0,0,0.0131236859144746,0,0.0146805220895792,0.0100814033166181,0,0,0,0.0102205000489258,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0161851700879294,0,0.0478735888319339,0,0,0,0,0.0955116228786981,0,0.181886415614586,0,0.00174074126668493,0,0,0,0,0,0,0,0,0,0,0,0.063051692004517,0.0497346389799229,0,0,0,0,0,0,0,0,0,-0.0148139678375872,-0.00605987640704117,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00899206929759931,0,0,0,0,0.99996073499119,0,0,0,0,0.00538546085285522,0,0,0,0,0,0,0,-0.106472750520527,0,0,0,0,-0.0144974052745076,0.0262147947237076,0,0,0,-0.019071578779552,0,0
