,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X002466.SZ,X002460.SZ,X600585.SH,X600011.SH,X000792.SZ,X601898.SH,X600019.SH,X000301.SZ,X600111.SH,X600660.SH,X000708.SZ,X600010.SH,X600886.SH,X600795.SH,X000877.SZ,X600547.SH,X601600.SH,X601991.SH,X600027.SH,X002271.SZ,X600426.SH,X600803.SH,X000983.SZ,X600362.SH,X600176.SH,X601699.SH,X000408.SZ,X600348.SH,X000629.SZ,X600096.SH,X000723.SZ,X000786.SZ,X600985.SH,X600219.SH,X600160.SH,X600995.SH,X600378.SH,X600688.SH,X600157.SH,X600141.SH,X002080.SZ,X600489.SH,X002353.SZ,X000933.SZ,X600549.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0.128866190536942,0,-0.0350582895623809,0,0,0,0,0,0,0,0,0.0829384857227034,0,0,0,0,0,0.0346617045067732,0,0,0.0396600023798548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.185674145022915,0,0,0,-0.0434145972122307,0.0114218163631156,0,0,0,0,0,0
X601088.SH,0,0,0,0.120410802393908,0.316687450466251,0.0140139436428431,0,0,0,0,0.253086390030994,0,-0.0105306866615487,-0.0614787865257098,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106184305255057,0,0,0.0949984572481609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0745822932867446,0,0,-0.0158484063887865,0,0,0,0,0,0
X600028.SH,0.0660339798545271,0,0,0,0,0,0,0,0,0,0.0437902019595402,0,0,0,0,0.0310446537445973,0,0,0,0,0,0.101426847634888,0,0,0,0,0.0633378094042742,0.0403878891774289,0,0,0,0,-0.000689496428739707,0,0,0,0,1.0842021724855e-19,0,0,0,0,0,0,0,0,0.0433429455055314,0,0,0,0,0.00540326604410672,-2.71050543121376e-20,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0.0708376401819657,0,0.0386377075945503,0,0,0,0.0480237811969899,0,0,-0.0638755828822755,-0.0166828291239484,0.00444750094872497,0,0.177735128226243,0.0738371386049714,0,0.0795762361937301,0.021496560088564,0,0,0,0,0,0,0,0,0,0,0,0.00136113908267999,0,0,0,0,0,0
X600188.SH,0,0.802180013461652,0,0,0,0,0,0,0,0,0.0626670971021085,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00510827232692239,0,0,0.0749259467741463,0,-0.0423459741922844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105644624191171,0,-8.67361737988404e-19,-0.0112656257387773,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0.514066667459732,0,0,0,0,0,0.0786019055232434,0,0,0,0,0,0,0,0,0,0,-0.0205644799662779,0,0,0,0,0,0,0,0.324019698885951,0,0,0,0,0,0.130699669634031,0,0,0,0,-0.0192132283833941,0,0.189748615991191,0,0,0,-0.147380539550906,0,0,0.0865628169451357,-0.0145544268784047,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0.387486363273573,0,0,0,0,0,0,0,0,0,0,0,0,0.0482780033552882,0,0,0,0,0,0,0,-0.064498834591576,0,0,0,0,0,0.062221923943377,0.0284083849086317,0,0,0,0,0,0,0.0579180951571533,0,0,0,0,0,0,0,0,0,0,0.0690770882158111,-0.0303172609612381,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,-0.0199019841675959,0,0,0.0962658885969347,0,0,0,0,0,0,0,0,0,0.0562450968805052,0,0,0,0.00142899693240292,0,0,0,0,0,0,0,0,0,0,0.0443886765835459,0,0,0.306664324562893,0,0,0,-0.005649607171852,0,0,0,0,0,0,0,0.00807190296984486,0,0,0.00346862405377728,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.194301670531553,0,0,0,0.0131244660306197,0.362729436486534,0,0,0,0,0,0.0216530172928427,0,0.0127348701524078,-0.00584311784612412,0,0,0,0,0,0,0,0,0,0,0.407791964995393,0,0,0,0,0,-0.131084724218651,0,0.00353300864920137,-0.00702689294291453,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0.168532273384458,0.195028391506452,0,0.129416549686897,0,0,0,-8.67361737988404e-19,0.0187951068596143,0,0,0,0,0,0,0,0.139249745080054,0,0.0142589948466111,0,0,0,0,0,0,0.0108545818649211,0.143588197340379,0,4.33680868994202e-19,0,0,0.192183476777622,0,0,0,0,0,0,0,0,0,0,0,0.0128906284937995,0,0,0,0.0287894528620476,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141825910702503,0.372673549475229,0,0,0.0122481141059897,0,0,0,0,0,0,0.123375077193185,0,0,0,0,0,0,0,0,0,0,0.177893841009035,0,0,0,-0.0133338441117393,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0.0658496014176173,0,0,0,0,0,0,0,0,0,0,0,0,0.148136716224914,0,0,0,0,0,0.0232757592171468,0,0.164804271024954,0.0100061783416625,0,0,0,0,0,0.160991808394564,0,0.0493996639246047,0,0,0,0.0957290455051607,0,0.0311129622399317,0,0,3.46944695195361e-18,0,-0.0134120710289202,0,0,-0.00390695869056107,0,0,0,0,0,0
X000301.SZ,0,0,0,0,0,0,0.0960577795174751,0,0,0,0,0,0,-0.364289139630158,0,0.563278676869275,0,0,0,0,0,-0.0511051557888437,0,0.354454451981136,0,0,0,0,0,0,0,0,0,-0.0445129008091533,0,0,-0.00859048026393595,0.126971205085827,0,0,0.173459420110053,0,0,-0.180164728198306,0,0,0,0,0,0,0,0,0.0806557059036908,0,0.278195062068549,0,0,0,0
