,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X600019.SH,X000708.SZ,X002460.SZ,X600660.SH,X002271.SZ,X600547.SH,X600010.SH,X600362.SH,X600111.SH,X000786.SZ,X600176.SH,X601600.SH,X601898.SH,X600011.SH,X000301.SZ,X600426.SH,X600188.SH,X600886.SH,X002466.SZ,X600352.SH,X600801.SH,X600219.SH,X601991.SH,X600489.SH,X600795.SH,X000932.SZ,X600803.SH,X002353.SZ,X600688.SH,X600486.SH,X002080.SZ,X000898.SZ,X601168.SH,X600299.SH,X600516.SH,X600295.SH,X000807.SZ,X600027.SH,X000723.SZ,X300037.SZ,X600157.SH,X600315.SH,X601992.SH,X000630.SZ,X000027.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0575785182078362,0,0,0,0.0445119098806909,0,0,0,0.0476883610788917,0,0,0,0,0,0,0,0,0,0,0,0.0393092925359151,0,0,0,0,0,0,0,0,0.0219890835631102,0,0,0,0,0,0,0,0,0,-0.00307835705181056,-0.00394780492855518,0,0,0,0,0,0
X600028.SH,0,0,0,0.0122322002417941,0,0,0.0749671205695687,0,0,0,0,0,0,0,0,0,0.116562773283565,0,0,0,0.0312854899902185,0,0,0.0227018651096976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0240845978905355,0,0,0,0.0323119846218298,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218068268591807,0,0,0,0.165313288177109,0,0.00843404222098554,0,0,0.10039327792185,0,0,0,0.0881871726083068,-0.0184515158526261,0,0,0,0,0,0.0560222678719341,0,0,0,0.0364659348605223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00278909331492799,0,0
X600309.SH,0,0,0,0,0,0,0,0.265934567288605,0,0,0,0,0,0,0,0,0,0,0,0.12707879666712,0.203193870562289,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0869602812709324,0,0,0.107091372693492,0,0,0,0,0,0,0,0,0.2133147773938,0,0,0,0,-4.33680868994202e-19,-0.0284206598338726,0,0,0,0.0701236996557059,0,0
X600585.SH,0,0,0,0,0,0,0.0218952650715114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0454756611435038,0,0,0,0,-0.0505565635272138,0,-0.0395340707485882,0,0,0,0,0,0,0,0,0.122315502873818,0,0,-0.00762294519555136,0,0,0,-0.024485523202879,0,0,0,0,0,0,-0.0118240123465734,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0.00724923540262222,0,0.177394942863285,0,0,0.0354836970241087,0,0,0,0,0,0,0,0,0,0,0,0,0,0.477761763694505,0.00170677747864507,0,0,0,0.0341163902386982,0.0743275398869376,0,0,0,0.135533378231085,0,0,0,0,0,0,0,0,0,0,-0.0111673431926242,0,0,0,0,0,0,0
X000708.SZ,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,-0.0609597582231604,0,0.0879455702649058,0,0,0,0,0,0,0.0853562036248427,0.132509792482624,0,-0.0485824650112455,0,0,0,0,0,0,0,0,0.264141502192096,0,0,0,0,0.0541427573991173,0,0,0,-0.082589324581573,0,0,0,0,0,0,0,0,0,0,-0.086509364563758,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.306887064410762,0,0,0,0,0,0.0799664197336695,0,0,0,0.254964908000091,0,0,0,0,0,0,0,0,0,0,0,0,0,0.309720573984927,0,0,0,0,0,0,0.00370812473419889,0,0,0,0,0,0,-0.0271926364530062,0,0,0,0,-0.0788460041526801,0,0
X600660.SH,0,0,0,0,0,0,0,0.109479872752993,0,0.200707253210547,0,0,0,0,0,0,0,0,0,0.0502049686183727,0,0,0,0,0,0,0.0776043485243601,0,-0.161673019390998,0,0,0.128648084898487,0,0,0,0.0505723974840464,0,0,0,0,0,0,0,0,0.104437266105385,0,0,0,0,0,0,-0.0209512852399444,0,0,0,0,0,0,0
X002271.SZ,0,0,0,0.0399938721346315,0,-0.128750055935509,0,0,0.172963570696261,0,0,0,0,0,0,0.156832852483141,0,0,0,0,0,0,0,0,0.0753561496579147,0,0.122107998703976,0,0,0,0,0,0,0,0.0320978042721676,0,0,0,0,0,0,0.0111212690026376,0,0,0,0,0,0,0,0,0,0,-0.0510001851502269,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114305681380799,0.00638103001680004,0,0,0,0,0,0,0,0,0.0506304425884646,0,0,0,0,0.338703138529502,0,0,0,0,0,0,0,0,0.00370075444909186,0,0,-0.00569358471336311,0,0,0,0,0,0.0443591549313644,0,0.0741740466702347,0,0,-0.0033620653764295,0,0,0,0,-0.0370368300584343,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,-0.0542176420946877,0,0,0,0.129470208048054,0.0505269944273534,0,0,0,0,0,0,0,0,0.0036038667546231,0,0,0.044964000520707,0,0,0,0.054470459185069,0.0613409139318661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0156530061908366,0.0228449575979671,0,0,0,0,0,0
X600362.SH,0,0,0,0,0,0,0,0,0.143476030908748,0,0,0,0,0,0,0.0387691536492641,0,0.0833197796958475,0,0,0,0,0,0,0,0,0.0996897635188942,0,0,0,0,0,0,0,0,0.0490063856367213,0,0.283949259358587,0,0,0.00175668691725548,0,0,0,0,0,0,0,0.423774922477731,0,0,0,0.00145460395614339,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0.123208908290012,0,0.264901563681218,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0.16563777134606,0,0,0,0.0724568926337649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.226897398921504,0,0,0,0,0,0,0,0,0,0,-0.0110067832197259,0.035629952820298,0,0,0,-0.0857254592267403,0,0
X000786.SZ,0,0,0,0,0,0,0,0.0374208150339826,-3.46944695195361e-18,0.00503426759494792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17493589248751,0.0799385869166234,0,0,0.126126163955602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0284899102717529,-0.0537913028374564,0,0,0,0.0107082952779613,0,0
X600176.SH,0,0,0,0.00813225600116782,0,0,0.185164423051494,0.373838699021873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0644260916581576,0,0,0,0,0,0,0,0,0,0,-0.0931444749059656,0,0,0.0848189792605443,0,0,0,0,0,0,0,0,0,0,-0.0289169375910769,0,0,0,0,0,0,0
