,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600011.SH,X600585.SH,X600019.SH,X002460.SZ,X002466.SZ,X601898.SH,X000792.SZ,X600547.SH,X601600.SH,X600886.SH,X600111.SH,X600660.SH,X600010.SH,X000708.SZ,X000301.SZ,X000877.SZ,X600795.SH,X002271.SZ,X600362.SH,X600027.SH,X600426.SH,X601699.SH,X600803.SH,X000983.SZ,X601991.SH,X600176.SH,X600489.SH,X000807.SZ,X600995.SH,X000786.SZ,X000408.SZ,X600160.SH,X600219.SH,X000539.SZ,X300037.SZ,X000629.SZ,X600688.SH,X600096.SH,X000932.SZ,X600985.SH,X002080.SZ,X000933.SZ,X600348.SH,X600612.SH,X000723.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.487814901110536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0310598826404312,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145633945519955,0,0,0,0,0.0920650501785272,0,0,0,0,0,0,0
X600028.SH,0.643009403168983,0,0,0,-0.0992204769669659,0,0,0,0,-0.0685242108448256,0.0910932275756778,0,0.087766411362872,0,0,0,0,0,0,-0.0028552839969057,0,0,0,0,0,0,0,0,0,0.0528209054300088,-0.0347458714252513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0175537910874015,-0.0236747322316382,0,0,0,0,0,0
X601088.SH,0.0381922805258164,0,0,0,0,0,0,0,0,0,0.121309130839541,0,0,0.04588785020911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00867577574189523,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1834297347999,0,0,0.142516241548464,0,0,0,0,-0.012089304744397,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0.0356737060294031,-0.0738706997783196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0159448998784125,0,0,0.199378238805849,0,0,0,0,0,0,0.075040586271521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600188.SH,0.136944681006276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0176758239489163,0,0,0,0,0,0.151054991541555,0,0.246803272628746,-0.0264186474686271,0,0.00263177306133166,0,0,0,0,0,0,-0.0781111766729136,0.0230110605742264,0,0,0,0,0.151616981614813,0,0.105599557372394,0.0241076452937491,0,0,0,-0.0613576865750064,0,0,0,0,0,0,0
X600011.SH,0,-0.148167387867683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0287764106010106,0,0.717942161340776,-0.0306024995294855,0,0,-0.00290201620750517,0.134730747087646,0,0,0,0,0,-0.284045814502007,0,0,-0.239824636678328,0,0,0,0,0,0,0.139318990909384,0,0,-0.00116550453006297,0,0,-0.0302514748412099,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,-0.0226942348854253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.269366173218879,0,0.143239626421828,0,0,0,0,0,0,0,0.149825264711758,0,0,0,0,0,-0.0031844751939781,0,0.0403862923960791,0.018527476889766,0,0,0,0,0,-0.0552425872874593,0.115765392670506,0,0,0,0,0.000457370398961774,0,0,0,0,0,0,0
X600019.SH,0,0.123589489489803,0,0,0.0340802421729812,0,0,0,0,0,0,0,0.0360175599682734,0,0,0,0,0,0,0,0,0,0.0544980670710298,0.0225088703057418,0,0,0,0,0,0,0.0847697240953068,0,0,0,0,0,0.0399685067661503,0,0,-0.0840797191846618,0,0,0,0.0716664516859028,0,0,0,0,0,0,0,0.14647465856252,-0.029661361299809,0,0,0,0,0,0
X002460.SZ,-0.0697679785710467,0,0,0,0,0,0,0,0,0.71685957764829,0,0,0,0,0,0,0,0,0,0,0.124530080828816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000516140427034764,0,0,0,-0.0117896052792228,0,0,0,0,0,0
X002466.SZ,0,0,0,-0.020997550559917,0,0,0,0,0.485157974753121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0295585977516639,0,0.000803698163159253,0,0.00601569431926543,0,0,0,0,0.0987084667821033,0.00224348248014125,0,0,0.335716776987257,0,0,0,0,0,0,0,0,0
