,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X601600.SH,X600010.SH,X600309.SH,X600011.SH,X600188.SH,X601898.SH,X002466.SZ,X600660.SH,X600362.SH,X600688.SH,X300072.SZ,X600795.SH,X601992.SH,X600516.SH,X000898.SZ,X002460.SZ,X601991.SH,X600547.SH,X600176.SH,X600111.SH,X600886.SH,X000786.SZ,X000709.SZ,X600352.SH,X000825.SZ,X601699.SH,X002271.SZ,X000792.SZ,X000830.SZ,X000553.SZ,X600027.SH,X600808.SH,X600299.SH,X000408.SZ,X002110.SZ,X600219.SH,X000932.SZ,X601158.SH,X000959.SZ,X600426.SH,X600489.SH,X000983.SZ,X000883.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.398794832464515,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167470645243712,0,0,0,0.0103278474108462,0,0,0,0.0231272360136235,0,0,0,0,0.0174281279960775,0.0655437244655976,0,0,0,0,0,0,0,0,0,-1.0842021724855e-19,0,0,0,0,0,0,0,0,0,-0.00421715290494617,0,0,0,0,0,0,0
X600028.SH,0.417727377992853,0,0.0203150451269317,0,0,0,0,0,0,0,0,0,0,0.0571222304572801,0,0,0,0,0,0,0,0,0.148756349760099,-0.00926246072669785,0,0,0,0,0,0,0.0549840927454039,0,0,-0.0220745645099896,0,0,0,0,0,0,0,-0.0240800133532445,0,0,0,0,0,0,0,0,-0.0202302339221323,0,0,0,0,0,0
X601088.SH,0,0,0,0.33173714301887,0.119843091358524,0,0,0,0,0,0,0,0,0.00500743348884038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0416083314681015,0,-0.0351986869989289,0.120912811485653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0101988943068594,0.00662893273255439,0,0,0,0,0,0
X600019.SH,0,0,0.142513822050666,0,0.171630574375751,0,0,0,0,0.28511444648644,0,0,0,0.0383345222323054,0,0,0,0,0,0.115010243757848,-0.0338128303255055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038296258825382,0,0,0,0,0,0,0,0.00466730526965032,0.0108983811144744,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0.156660845809159,0,0.00964291876349969,0,0.0652219125615938,0,0,0,0,0,0,0,0,0,0.181391354275139,0,0,0.246106953427101,0,0,0,0.149543134897641,0,-0.217814225034816,-0.0740064113339491,0,0,0,0,0,0,0,0.113426867334698,0,0,0,0,0,0,0,0,0.00297130963548708,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0.0721439828189232,0,0,0,0.0468715686105002,0,0,0,0,0,0,0,0,0,0,0.118630092726473,0,0,0,0.0413259453599743,0,0,0,0,0.0299018011426178,0.115850550149147,0,0.0672218334749424,0,0,0,0,0,0,0.0461747144315964,0,0,0,0,0,0.00139335270242202,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.42101086242752e-20,0,0,0,0,0,0,0,0,0.0127635060748058,0,0,0,-0.0123359562977378,0,-0.00640701313542152,0,-0.0222196636850828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0529456067229989,0.0726555505806727,0,0,0,0,0,0
X600011.SH,0,0,0,-0.0184605600024953,0,0,0,0,0,0,0,0,0,0,0,0.0540997047054588,0,0.200723404240823,0.0281089205123035,0,0,0,0,0,0,0,0,0,0.0348468967242157,0,0,0,0.00835832897047356,0,0.0135367126621078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0127005159603214,0,0,0,0,0,0,0
X600188.SH,0,0,0,0,0.0888434325551353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13103707774184,0,0,0,0,0,0.0451865401188737,0,0,0,0.447303306401799,0,0,0.0667487389629896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00295667544365219,0,0,0,0,0,0
