,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600019.SH,X600585.SH,X600011.SH,X601898.SH,X600547.SH,X601600.SH,X600660.SH,X000792.SZ,X600886.SH,X002466.SZ,X002460.SZ,X600111.SH,X600010.SH,X000708.SZ,X000301.SZ,X600426.SH,X000877.SZ,X600795.SH,X600362.SH,X002271.SZ,X000983.SZ,X601699.SH,X600803.SH,X600176.SH,X600489.SH,X000807.SZ,X600027.SH,X000786.SZ,X601991.SH,X600160.SH,X000932.SZ,X000630.SZ,X000933.SZ,X600219.SH,X000408.SZ,X600985.SH,X002080.SZ,X000629.SZ,X600688.SH,X300037.SZ,X600612.SH,X000539.SZ,X002353.SZ,X600096.SH,X002409.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.837079995024949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0145154157214616,0.00462081881190494,0,0,0,0,0,0.0749611111264313,0,0,0,0,0,0,0,0,0.142464206311594,0,0,0,0,0,0,0,0,0,0,0.0802803191375638,-0.0231973407614536,0,0,0,0,8.470329472543e-22,0,0,0,0,0,0,0
X600028.SH,0.5433104926339,0,0,0,0,0,0,0,0,0,0.0335678508081399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0366750629330749,0,0.0179291078514318,0,0,0,0.114383743370404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.150138721708718,0,0,-0.0038774391796593,0.0258571467136455,0,-0.0547423246309742,0,0,0,0
X601088.SH,0,0,0,0,0.193872148456721,0.000702220177024903,0,0,0.173461198353771,0,0.00458189374223785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0472765879078276,0,0,0,0,0,0,0,0,0,0.0270795803302709,0,0,0,0,0,0,0.107665428031645,0,0,0,0,0,0,0,0,-0.00367094463442404,0,0,0,0,0,0,0
X600309.SH,0.0596962154079197,0,0,0,0,0,0,0,0,0,0.063876781509332,0,0,0,0,0.0582541403404282,0,0,0,0,0,3.46944695195361e-18,0,0,0.0469908166734262,0,0,0,0,0,0,0,0.0516133182295241,0,0,0.163153933324202,0,0,0,0,0,0.0436327315241412,0,0,0,0,0,0,0.148409820149821,0.0505644632734286,-0.0225726855126092,0.0390602800482881,-0.0248754994813499,0,0,0,0,0,0
X600188.SH,0,0,0.211046934393142,0,0,0,0,0,0,0,0.0738997052048344,0,0,0,0,0,0,0,0,0,0.160874169888056,0,0,0,-0.055976017412365,0.302466350625433,0,0,0,0,0,0,0,0,0,0,0,0.153641666354111,0,0,0,0,0,0,0,-0.170207416332344,0,0,0,-0.0636680649344799,0,1.0842021724855e-19,-0.00675816978083571,0,0,0,0,0,0
X600019.SH,0.0178286200186595,0,0,0,0.00860817195640524,0,0,0,0.101121609021982,0,0,0,0,0,0,0,0,0,0.14714348559466,0,0,0.0859614565638759,0,0,0,0.0303514794547975,0,0.0855328075200233,0,0,0,0,0,0,0,0.319772452223092,0,0,0,0,0,0,0,0,-0.140013100465648,0,0,0,0,-0.0511580317213668,-0.0172466682292706,0,0.0197440871017961,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,-0.00417295766866631,0,0,0.0479166399976156,0,0,0,0,0,0,0,0,0,0,0.123809130993493,0,0,0.00503168084928763,0,0,0,0,0,0,-0.153783668217353,0,0,-0.0215223197128012,0,0,0,0,0,0,0.0584571890894891,0,0,0,0,0,0.182058961291221,0,0,0,-0.00245173204507292,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,-0.0824789457051679,0,0,0,0,0,0,0,0,0.279045410144521,0,0,0,0,0,0,0,0,0,0,-0.233401689751374,0,0,0,0,0,-0.0413770068878459,0.387706488701952,0,0,0.0639422085818029,0,0,0,0,0,0,-0.104029657374372,0,0,0.0302262155945229,0,0.282553906990326,0,0,0.0209891840846524,0,0,0.0108984168552961,0,0,0,0,0,0
X601898.SH,0.0585047853742468,0,0,0,0,0,0,0,0,0.0831313674503957,0,0,0,0,0,0,0,0,0,0,0,0.0275777616788709,0,0,0,0.114878171367263,0.189341926653344,0.167147439724147,0,0,0,0,0,0,0,0,0,0,0,0,0.141298422075197,0.0827206848891133,0.0107710936708577,0,-0.214016876949649,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,-0.192676315906084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0770845016388041,0,0,-0.0118879980771199,0,0.00631265732976918,0,0.525289458202385,0,0,0,0,0,0,0,0,0,0,0,-0.0103910594245784,0,0,0,0.0682904914516091,0,0.0276172747378281,0,0,0.0130424658278757,-0.00906895674860248,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0.0139026279308713,0,0,0,0,0,0,0,0,0,0,0.0938008688519124,0,0.0399302995125327,0,0,0,0,0,0,0,0,0,0,0,0.443600738522035,0,0.0717436212831637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0386133335726609,0,0,0,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126697896103863,0,0,0,0,0,0,0.0482943919674681,0,0,0,0.095714795430146,0,0,0,0,0.148896510598347,0.00448304094806302,-0.132462853453299,0,0,0,-0.145490437994186,-0.00175186438401675,0,0,0,0,0,0,0
