,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600547.SH,X600019.SH,X000708.SZ,X600011.SH,X002460.SZ,X002271.SZ,X600660.SH,X600886.SH,X600801.SH,X601898.SH,X600010.SH,X601600.SH,X600362.SH,X600188.SH,X600489.SH,X600352.SH,X601991.SH,X600688.SH,X000786.SZ,X600795.SH,X600111.SH,X002466.SZ,X600027.SH,X601992.SH,X600126.SH,X600299.SH,X600176.SH,X600426.SH,X002075.SZ,X002353.SZ,X600486.SH,X000723.SZ,X600315.SH,X600529.SH,X601158.SH,X600516.SH,X600219.SH,X600612.SH,X000401.SZ,X000898.SZ,X000932.SZ,X002409.SZ,X000883.SZ,X000553.SZ,X000301.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0.0452688711931164,0,0.0179485774678012,0,0,0,0,0,0.0921360394189685,0,0,0.0788972010795928,0,0,0,0,0,0,0,0,0.0481969948254909,0,0,0,0,0.0394179218732556,0,0,0,0.0177163098377078,0,0,0.0480061002525731,0,0,6.58942133135069e-05,0,-1.0842021724855e-19,0,0,0.00306246945747172,-0.0134863840228843,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0.0176684284259197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0328540886365194,0,0,0.0316749044578143,0.0717644493512418,0,-0.0141194387121857,0.0383539986940033,0,0,0,0,0,0.0788417718416889,0,0,0,0,0,0,0,0.00375543822544552,0,0,0.00670076700108757,0,0,0,0,0,0,0
X601088.SH,0,0,0,0.104278526308982,0.103227861217458,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0.0259011565154687,0,0,0,0.0511184948964265,0,0,0,0,0,0,0,0,0,0,0.0201066173769348,0,0,0,0,0,0,0,0,0,0,0,-0.0414114938563134,0,0,0,0,0.0169220655335105,4.33680868994202e-19,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0.00235455698020202,0.1092698124851,0.0565793978455021,0,0.475552298306811,0,0,0,0,0,0,0,0,0,0,0,0,0.0519159185165508,0,0,0.00965464284801554,0,0,0,0,0,0,0,0,0.00159692123331288,0,0,0,0,0.0580310616842174,0,0,0,0,0,0,0,-5.42101086242752e-20,0.0124089144556004,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0.00270428646632178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.238490373030245,0,0,0,0,0.0798576550013562,0.0955186787781434,0,0.0728354300146441,0,0,0,0.0435121687054213,0,0,0,0,0,0,0,0,0,0,0,0,0.00765749115826246,0.012989320037917,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0.0570626895511199,0,0,0,0,0,0,0,0,0,0.442079952677355,0,0,0,0,0,0,0.156308398801441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0127033300260886,0,0,0,-0.169791815125872,0,0,0,0,0.00117217969346594,0.0133046723089847,0,0,0,0,0,0
X600019.SH,0,0,0,0,0.0992573047731305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0520423112763915,0.1076363987169,0,0,0,0,0,0,0,0,0.132895187862756,-0.00687703967297483,0,0,0,0,0.0169394763714508,0,0,0,0,0,0,0,0,0,0,0,0,0.003839647053261,-0.0168462351182813,0,0,0,0,0,0
X000708.SZ,0,0,0,0,0,0.0015881140579524,0,0,0,-0.0605485497643366,0,0,0,0.182457464332946,0,0,0,0,0,0,0,0,0,0.0123847000560568,0,0,0.170973785457785,-0.0825904100954083,0,0,0,0.0289715580552624,0,0.0233957961518186,0.061561984396118,0.162116977685191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0314970634944765,-0.00817677512189851,-0.0018516067290363,0,0,0,0,0,0
X600011.SH,0,0,0.349148011842905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00468233017524503,0.120980907175314,0,-0.0262221722025374,0.157106009981495,0,0,0,0,0,0,0.0555085851057381,0,0,0,0,0,0,0,0,0,0,0.00554092914590145,0,0,0.00531224224935846,-0.00314138691057217,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0,0,0.130874371962995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.294578836522576,0,0,0.0173593337024002,0,0,0,0.0556984527538692,0.106486074947632,0,0,0.0659432250332101,0.0257625841925668,0,0,0,0,0,0,0,0.147183893491385,0,0,0,0,-0.00370997397471015,0,0,0,0,0,0,0
