,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600585.SH,X002460.SZ,X000792.SZ,X600188.SH,X600019.SH,X600111.SH,X600011.SH,X002466.SZ,X000877.SZ,X600010.SH,X002271.SZ,X601600.SH,X000708.SZ,X601898.SH,X600660.SH,X000301.SZ,X600547.SH,X600886.SH,X600362.SH,X600426.SH,X600176.SH,X000723.SZ,X000408.SZ,X600219.SH,X601991.SH,X601699.SH,X600795.SH,X000807.SZ,X000786.SZ,X600096.SH,X000983.SZ,X002353.SZ,X600803.SH,X002080.SZ,X600801.SH,X600489.SH,X000825.SZ,X600141.SH,X600688.SH,X000630.SZ,X000932.SZ,X300073.SZ,X600157.SH,X600486.SH,X600027.SH,X000960.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.0451492388608229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175849742076155,0,0,0,0,0,0,0,0,-0.0489729525841456,0,0,0,0,0.0856738529255909,0,0,0,0,0,0,0.20385821165549,0,0,0,0.0285999630945879,0,0,0,0,0,0,9.4351835233143e-06,0,0,-0.0218403970797536,0,0,0,0.0141301513343719,0,0
X601088.SH,0.00169631026215165,0,0,0,0,0,0,0.152413940221522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0773938682285085,0.205601206781015,0,0,0,0,0.142842371319367,0,0,0,0,0,0,0,0,-0.0463077084683522,0,-1.73472347597681e-18,0,0,-0.0108876508425222,0,0,0,0,0,0,0,0.0145638682413186,0,0
X600028.SH,0.11153638101506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0.0596605850216746,0,0,0,0.0839900991141618,0,0,0,0.0483499767658875,0.0310303774727418,0,0,0,0,0,0,0,-0.0308735002503472,0.0209678075275854,0,0,0,0.00946010385903357,0,0
X600309.SH,0,0,0,0,0,0,0,0.0135250882401369,0,0,0,0,0,0,0,0,0.0546416798372248,0,0,0.160184223194787,0,0,0,0,0,0.0681567103131443,0.0571427984969618,0,0,2.16840434497101e-19,0,0,0,0,0,0.0692946072104568,0,0.0324671325469371,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0130448749237781,0,0,0,0,0.00542025313403849,0,0
X600585.SH,0,0,0,0,0,0,0.000316584069328346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118088702244172,0,0,0,0,0,0.444013526635474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00719910854953513,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0,0,0.46375582315541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0528525904899252,0,0,0,0.134469567124012,0,0,0,0.193829649573187,0,0,0,0,0.0564530000387087,0,0,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0,0,0,0.150960286394282,-0.0438717667014712,0.372885252796094,0,0,-0.0675825299330029,0,0,-0.202467246836501,0,0,0,0,0,0,0,0.395019442946694,0,0.0605646162584971,0,0,0,0,0,0,0,0,0,0,0,0,-0.102011829625949,0.125027307542819,0,0,0,0,0,0,0,0,0,0,0.011073154841254,0,0,0,-0.0135672940766644,0,0
X600188.SH,0,0.0231522457227812,0,0,0,0.0798026538901506,0,0,0,0,0,0,0,0,0,0,0.0579759276583336,0.0787617118933102,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0621614433299942,0,0,0.499687572917501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0273203966555677,0.0814342225968474,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0.127794130502107,0,0,0,0,0,0,0,0,0,0,0.000398795342360004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.231846715612232,0,0.0324835170113141,0,0,0,0.229876382190143,0,0,0,0,0,0,-0.00366680084513113,0,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0.324829829517477,-2.16840434497101e-19,0,0,0,0,0,0,0.120846519202198,0,0.0535657509851575,0,0,0,0.039927683722175,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0471642989180988,0,0,0,0,0,0,0,0.0712230040265056,0,0,0,0,0,0,0,0,0,0.0117789597356236,0,0,0,0,0,0,0
