,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X601898.SH,X600011.SH,X600019.SH,X600547.SH,X601600.SH,X600585.SH,X600660.SH,X600886.SH,X600795.SH,X000792.SZ,X600362.SH,X002466.SZ,X002460.SZ,X000708.SZ,X600010.SH,X600111.SH,X600027.SH,X000301.SZ,X600489.SH,X601699.SH,X600803.SH,X600160.SH,X000877.SZ,X000983.SZ,X601991.SH,X600426.SH,X000408.SZ,X000630.SZ,X000807.SZ,X000786.SZ,X000933.SZ,X601168.SH,X600985.SH,X600612.SH,X600176.SH,X600219.SH,X002128.SZ,X002271.SZ,X000932.SZ,X000883.SZ,X600096.SH,X000027.SZ,X600348.SH,X002353.SZ,X600295.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.225763748753733,0,0.174895474083659,0.0979259609090329,0.0142662482080581,0,0,0.046974315416003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0370436562120385,0,0,0,0,0,0,0.0153801526424768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0258781401507943,0,0.0596195776636309,0,0,0,0,0
X600028.SH,0,0,0,0,0,0.140091210637512,0,0,0,0,0,0,0,0,0,0,-0.00970967654187798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127501161792573,0.006223466355432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601088.SH,0.0288416554624681,0,0,0,0.15592560878017,0,0.0882461086078521,0,0,0,0,0,0,0.071477755508159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0365830296147554,0,0,0,0,0,0,0,0,0.281410555992262,0,0,0,0,-0.0162759492711372,0,0,0,0,0,0,0,0,-0.00704171503029789,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0680502722833886,0,0,0,0.0855294558072611,0,0,0.111636285986895,0,-0.0148979841931386,0,0.136406443759068,0,0,0,0.203935103789453,0,0,0.0676751617501591,0,0,0,0,-0.135611989707053,0.0995199252549004,0,0,0,0,0,0,0,0,0.103449018309698,0,0,0.00223284826113828,-0.0608534040468521,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0.164433651476078,0,0,0,0,0,0,0,0.0160550022961342,0,0,0,0,0,0,0,0,0,0.0662665722819897,0.361181975550677,0,0,0,0.101587009163476,0,0,0,0,0,0,0,0.00141791957329679,0,0,0,0,0.190914725500209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0.177325814644037,0,0.110009932384569,0,-0.0379034512077036,0,0,0,0,0,0,0,0,0,0,0,0,0.243969397152711,0,0,0.21463556118669,0,0,0,0,0,0,0,0,0,0,0,0,0.22444691465966,0,0,0,0,0,0,0,0,0,0,0,0,0.205558742353752,-0.00474676618333607,0,0.189669597237622,0,0,0,0,0
X600011.SH,0.0453061655981201,0,0,0,0.00851731064188753,0.104036267171625,0,0,0,0,0,0,0,0.144343496855962,0,0,0,0,0,0,0,0.226532871017293,0,0,0,0,0,0,0,0.135265625899663,0,0,0,0,0,0,0.00890985356191478,0,0,0,0,0,5.42101086242752e-20,0,0,0,0,0,0,0,0,0,-0.00598114703290947,0,0,0,0,0,0
X600019.SH,0,0.0517681905607814,0,0,0.0689379126962254,0,0,0,0,0,0,0,0,0.0341590399151005,0,0,0,0,0,0,0,0,0,0.0188854588200754,0,0,0,0,0,0,0,0,0,0,0,0,0.0808104931243156,0,0,0,0,0,0,0.0958484826863127,0,0,0,0,-0.0993446096406443,0.0863439865456363,0,0,0.00324288723667332,-0.000369161066990885,0,0,0,0,0
X600547.SH,0,0,0,0,0,-0.0410195512084913,0,0,0,0,0,0,0,0,0,0,-0.04725473283711,0,0,0,0,0,0,0.779078554410168,0,0,0,0,0,0,0,0,0,0.00914992037963178,0,0.00984749559836862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00344804454256584,0.0278910469368171,0,0,0,0,0,0,0
X601600.SH,0.274692660278297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0174145886632148,0,0,0,0,0,0,0,0,0.0363776765147188,0,0,0.139788060562159,0,0,0.123673684696854,0,0.138169381874241,0.0347980676514515,0,0,0,0.11096474967024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
