,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X601898.SH,X600688.SH,X600547.SH,X600188.SH,X600795.SH,X601600.SH,X601991.SH,X600362.SH,X600111.SH,X600157.SH,X600027.SH,X600886.SH,X002466.SZ,X601992.SH,X600623.SH,X600489.SH,X000792.SZ,X600309.SH,X600299.SH,X600660.SH,X300072.SZ,X600549.SH,X002075.SZ,X601158.SH,X600583.SH,X000883.SZ,X000709.SZ,X600352.SH,X000723.SZ,X000898.SZ,X000983.SZ,X000539.SZ,X002407.SZ,X002470.SZ,X000060.SZ,X002460.SZ,X000027.SZ,X000630.SZ,X000761.SZ,X000012.SZ,X600176.SH,X600021.SH,X600219.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0.0111821560740279,0,0,0,0.00178328181157765,0.0752840015223999,0,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0.185504298115741,0,0,0,0,0,0,0,0,0,0.00834478020609454,-0.030297997390255,0,0,0,0,0,0,0,0,-0.0322399731336384,0.0371825939785342,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0.17266307820882,-0.0386940078339018,0.0482088432779474,0,0,0,0,0,-0.0153543118832226,0,0,0,0,0.00370699296897051,0,0,0,0,0,0,0.030117283362238,0,0,0,0,0,0,-0.0336834259168496,0,0,0,-0.00377797794023249,0.021804312336083,0,0,0,0,0.0232076662900963,0,0,0,0,0,0,0.00853794278625718,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0.209406030278815,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044592619224925,-0.0263557240908996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103889708732291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0557718975812304,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0.0855018421317101,0,0.110559541587543,-0.0191552359234618,0.0165046091873522,0,0,0,0,0.0409064712562379,0,0,0,0.0242986233398808,0,0,0,0,0,0,0,0,0.00334488616026418,0,0,0,0,0,0,-0.00135795517060094,0,0,0,0,0,0,0,0.173835889184351,0,0,0,0.0775187671196026,0,0,0,-0.0347174276662501,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0.00880417989719777,0,0,0.0441286984463754,0,0,0.305395348791081,0,0,0,0,0,0,0,0.0063943089386043,0,0,0,0,0.113014090150522,0,0,0,0,0.0258876427772247,0,0.0654611479127126,0,0.00341262598380355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03573917073364,0,0,0,0,0,0.0233359389976913,0,0,0,0,0,0,0.0684726892062931,0,0.0381402305866752,0,0,0.0102799621921462,0,4.33680868994202e-19,0.187325367323614,0,0,-0.0796592495981974,0,0,0,0,0,0,0,0,0,0.0221671411524847,0,0.0274345858799553,0.0817677510479698,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0.0118525605590931,0.113466322689448,0,0,0,0,0.12000632799769,0.0108139891961884,0,0,0,0,0,0,0,0.0859888279571771,0.0287939628721189,0,0,0.0208781690306455,-0.0449224756815887,0,0,0,0.0967346894033658,0,0,0,0,0,0,0,0,0.0987460281887624,0,0,0,0,0,0,0,0,-0.00265854802323958,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0.0154854200226575,0,0.0225162348784571,0,0.00385993460158834,0,0,0,0,0,0,0.0062006028022842,0,0,0,0.12313231129746,0,0,0,0.120650694701586,0.0179191850798595,0.0100620196860458,0,0,0,0,0,0,0,0.239807833741635,0,0,0,0.0515099806861769,0,0,0,0.174527217064162,0,0,0,0,0,0,0,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,0,0,0.042432502377761,0,0,0,0,0,0,0,0,0.0880355136395818,0,0.0208280442915806,0,0.0419662324158147,0,0.200041294656211,0,0.0994496471886796,0.0177209360321582,0.134648574604519,0.135970438682462,0.0194165383370882,0,0,0,-0.0130841133678419,0,0,0,0,0.0149777363727642,0,0,0,0,0,0.0559535289896572,0.119415025600338,0,0,0,-0.0326380944819918,0.0472072551815844,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58359710866655,0,0,0,0,0,0.100300675225912,2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105325192982371,0,0,0.0227246363645972,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126979405769961,0,0,0,0.214423474298626,0,0,0,0.089336694563351,0,0,0,0,0,0,0,0.478157791950163,0,0,0,0.0671621148924202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0.171197536766614,0,4.33680868994202e-19,0,0.00943725786572934,0,0,0,0,0.0505767424697522,0,0,0,0,0,0,0,0,0,0.0636700911239296,0,0.0220699103747308,0,0,0,0,0,0,0.00650490681951074,0,0,0,0,0,0,0.00764898985509835,0,0,0,0,0,0.0940504139600401,0,0,0,0,0.00587790580121255,0,0,0,0,0,0
