,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600309.SH,X600011.SH,X600010.SH,X600188.SH,X601898.SH,X600660.SH,X002466.SZ,X600688.SH,X601600.SH,X601991.SH,X600362.SH,X600795.SH,X600886.SH,X600547.SH,X600516.SH,X000898.SZ,X300072.SZ,X600111.SH,X002460.SZ,X600176.SH,X600352.SH,X000553.SZ,X600027.SH,X601992.SH,X000786.SZ,X600299.SH,X000825.SZ,X000792.SZ,X000709.SZ,X002271.SZ,X600426.SH,X601699.SH,X600808.SH,X000408.SZ,X600315.SH,X600489.SH,X000830.SZ,X000932.SZ,X601158.SH,X000883.SZ,X600219.SH,X000630.SZ,X000983.SZ,X600583.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.0947845779700415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0639356783086052,0,0,0,0,0,0,0,0,0,0,0.0894879583390375,0,0,0,0,0.0763219401678536,0,0,0,0,0,0,0.0601880186333779,0,0,2.16840434497101e-19,0,0,0,0,0,0
X600028.SH,0.45770009282027,0,0.210960963856903,0,0,0,0,0,0,0,-0.0763347548931641,-0.0311279922257016,0,0,0,0,0,0,0,0,0,0,0,0,-0.0211339984870284,0,-0.0577204770455736,0,0,0,0,0,0,0,0,0.0445606739490093,0.182016403545302,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00216792461699298,0.00228087261063656,0,-0.138811339673466,0,0,0,0
X601088.SH,0,0.0681176816792075,0,0.240571650759082,0.0977723719127654,0,0,0,0.102065740545852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.314316467401774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0279036982231395,0,0,0,0,0,0
X600019.SH,0,0,0.241143374511558,0,0,0,0,0,0.11389600092697,0,0,0,0,0.298179730792279,0,0,0,0,0,-0.0509379744048144,0,0,0,0,0,0,0,0,0,0,0,0.0109775881014891,0,0,0,0,0,0,0,0,0,0,0.122411863541583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600585.SH,0,0,0.087271649522327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0422053467254038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.306788550026713,0,0,0,0,0,0.0560261888117503,0.204513172952044,0,0,0,0,0,0,0,-0.0244343018507652,0.0314938108636519,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00900589837795786,0,0.0382901647010524,0.0999073315783605,0,0,0,0,0.220470080804021,0.109212157704294,0,0,0,-0.229896455723613,0,0,0,0.0983695875065695,0,0,0,0.0626244634906413,0,0,0,0,0,0,0,0,0,0.000529206214680078,-0.0030251135806592,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123559590683057,0,0,0,0,0.116851480063237,0,0.0973054638921359,0.0207086448174611,0,0,0.0901974508529966,0,0,0,0,0.099608111903277,0.0565856104319577,0,0,0,0,0,0,0,0,0.183906734181993,0,0.00609803355365577,0.0185037116921355,0,0,0,0,0,0
X600188.SH,0,0,0.619949024143445,0,0,0,-0.0654205181327125,0,0,0,0,0.0540188171342852,0,0.02865553048493,0,0,0,0,0,0,0,0,0,0,0.181898000094048,0,0,0,0,0,0,0,0,0,0,0,0.186516300676083,0,0.138564062603839,0.192295030433149,0,0.125263252093364,0.0914707335686308,0,0,0,0,0.21383855593228,0,0,-0.0190351973680964,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0143078115129496,0,0,0,0,0,0.0162061298091788,0,0,0,0,0,0,0.0256804464209631,0,0,0,0,0.0761188248481354,0,0,0,0,0,0.222977917907574,0,0,0.01151824269167,0.00553189269173188,0,0,0,0,0,0
