,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600019.SH,X600585.SH,X601898.SH,X600010.SH,X601991.SH,X600795.SH,X601600.SH,X600886.SH,X600188.SH,X600362.SH,X600111.SH,X600027.SH,X600688.SH,X600309.SH,X601992.SH,X601158.SH,X600583.SH,X000792.SZ,X600157.SH,X000898.SZ,X600352.SH,X000709.SZ,X600547.SH,X600489.SH,X000831.SZ,X002353.SZ,X000539.SZ,X600008.SH,X000630.SZ,X600660.SH,X000027.SZ,X000825.SZ,X600021.SH,X600808.SH,X000629.SZ,X002470.SZ,X600549.SH,X600578.SH,X600315.SH,X600307.SH,X600098.SH,X000983.SZ,X601699.SH,X600863.SH,X000960.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.52181242751191,0,0,0,0,0,0,0,0,8.67361737988404e-19,0.207132205247722,0.149608330999444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0388088216179293,0,0,-1.73472347597681e-18,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00412118502969,0,0,0,0,0,0
X600028.SH,0.47069912953191,0,0,0,0,0,0,0,0,0,0,0,0.0205612047785605,0,0,0,0.421370772747354,0,0,-1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0,0,0.0156195707989363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0350190880037324,-0.00528988911558342,0,0,0,0,0,0
X601088.SH,0.0604445799560201,0,0,0,0.0459532063204152,0,0.127085680972845,0,0,0,0,0,0.0891383210177001,0,0,0,0,0.0927304661820966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0962250250021842,0,0,0,0.386598932507598,0,0,0,0,0,6.68210188051873e-05,0,0,0,0,0,0
X600011.SH,0.113790595330285,0.00294525203335742,0,0,0.0118511152214453,0,0,0.0265564598034912,0.0695032960277836,0.163568059414691,0.019073191488867,0.0256823974200502,0,0,0,0.0743075963691106,0.0218936299807522,0,0,0,0,0,0,0.00865041964715377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.371059985033616,0,0,0,0,0,0,0,0,0,-0.000413785443392455,0,0,0,0,0,0
X600019.SH,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0,0.0644415822120676,0,0,0.149622332743784,0,0.0602434567552819,0,0,0,0,0.359998640218323,0,0.157251522347984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118521666952284,0,0,0,-0.0229193862226176,-0.014131561513784,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0194873450613635,0,0,0.0852830662143707,0,0.0569308864353449,0,0.124826233281856,0,0,0,0,0,0,0,0.0591518292517798,0,0,0,0,0.118634747290021,0,0,0,0,0,0,0,0,0,0,0.0563121615932489,0.00223654904058236,0.109726403331634,0,0,0,0,0.00199512270693862,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0.11708274865953,0,0.0619120866948343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0115288275426527,0,0,4.33680868994202e-19,0.171470578512478,0,0,0.0292525997470909,0,1.73472347597681e-18,0,0.283814426071749,0.237424337391762,0,0,0,0,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00961141441158971,0,0,0,0,0,0,0,0,0.505235654925866,0,0,0,0,0.0711820119045631,0,0,0,0,0,0,0.0992624830115925,0,0,0,0,0,0,0.182679066960275,0,0,0,0,0,0,0,0.0191327984111227,-0.00632787786322829,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0.44334526647674,0,0,0,0,0.112581667279108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157368767549262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0176621992324357,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0.257513979724802,0,0.237907724459923,0.137230882965358,0,0,0,0.155247600172066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0472954199480098,0,0,0,1.73472347597681e-18,0,0.0524776602935992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00671886980987724,0,0,0,0,0,0
