,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600019.SH,X601898.SH,X600011.SH,X600585.SH,X600547.SH,X600660.SH,X600886.SH,X601600.SH,X002466.SZ,X000792.SZ,X002460.SZ,X600795.SH,X601699.SH,X000708.SZ,X600111.SH,X600010.SH,X600362.SH,X000301.SZ,X000877.SZ,X000983.SZ,X600426.SH,X600027.SH,X600803.SH,X002271.SZ,X600489.SH,X601991.SH,X600160.SH,X600985.SH,X000807.SZ,X000786.SZ,X600176.SH,X000408.SZ,X000630.SZ,X600612.SH,X000933.SZ,X000932.SZ,X300037.SZ,X600348.SH,X600219.SH,X600995.SH,X002128.SZ,X601168.SH,X600688.SH,X600157.SH,X000629.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.589874422448654,0.174595812135723,0,0,0,0,0,0,0,0,0.0158159801537418,0,0,0,0,0,0,0.0805769456556833,0,0,0,0,0,0,0,0,0,-0.142156676056006,0,0,0,0,0,0,0.0234262222164789,0,0,0.129865453946641,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0213391393480208,0,0,0,0.0255239293811465,0,0
X600028.SH,0.595694980135317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0261052312181776,0,0,0,0,0,0,0,0,0.0246780645109098,0.0159259230343548,0,0,0,0,0,0,0,0,0,0,0,0,-0.0802879364610262,0,0.103538088460729,0,0,0,0,0,0,-0.0149531687444297,0.00926325493189275,0,0,0,0,0,0
X601088.SH,0.156953572961837,0,0,0,0.106889700667897,0,0.231238682023925,0,0,0,0,0,0,-0.0143571856429051,0,0,0,0,0,-0.0946901567586206,0,0,0,0,0,0,0,-0.00219044816458945,0,0,0,0,0,0,0,0.0952334957878812,0,0,0,0,0,-0.174570082723936,0,0,0,0,0,0,0,0,0,0.00491105180658465,0.000104576610460564,0,0,0,0,0,0
X600309.SH,0,0,0,0,0.315847058330351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.410572759230429,0,0,0,0.346360961587401,0,0,0,0,0,0.0623877078547226,0,0,0,0,-0.100095776426121,0,0,0,0.125862195435442,0.176862847386423,0,0,0,0,0,0,0.127131447281986,0.0666503443690517,0,-0.0250361584085438,0.0373264472327696,0,-0.0363365904172953,0,0,0,0
X600188.SH,0,0,0,0,0,0.0140057524223585,0.26828284297273,0,0,0,0,0,0,0,0,0,0,0.266658104050132,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0498167083470751,0.0952681191742284,0,0,0,0,0,0,0.200259056342341,0,0,0,0,0,0,0,0,0,0,0,-0.00673152206523085,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0158973485968964,0,0,0,0,0.0181196222646189,0,0,0,0,0,0,0,0,0,-0.0277076614901599,0,0,0,0,0,0,0,0.364337392128507,0,0,0,0.295551577928574,0,0,0,0,0,0.159307199348646,0,0,0,0,0.0103577089696748,4.33680868994202e-19,0,0,0,0,0,0
X601898.SH,0.103813612096087,0,0,0,0.258461178093083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0222435784081614,0,0,0,0,0,0,0,0,0,0.0215408074755443,0,0,0,0,0.0140198015029903,0,0,0,0,0,0,0,0,0,0,0,5.42101086242752e-20,0,0,0,0,0.0249996280320363,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0.108864227888355,0,-0.0204811467183645,0,0,0,0,0,0,0,0,0,0,0,0,0.396809268128436,0,0,0,0,0,-0.00307392775841867,0,0,0.0648293710336176,0,0,0,0,-0.0414609775551015,0,0,0,0.111498871888424,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600585.SH,0,0,0,0.12164175335995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.314448642172022,0.0324732103375749,0,0,0,0.159310977631517,0,0,0,0,0,0.114399161568157,0.0398050682025625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00666481632364508,0.00825247369203128,0,0,0,0,0,0
X600547.SH,0,0.0616605617231007,0,0,0.0900796234662075,0,0,-0.016934400697633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00794702493549843,0,0,0,0.0210370867291569,0.558435459723817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010795676931939,0,0,0,0,0,0
