,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X601898.SH,X600795.SH,X601600.SH,X601991.SH,X600027.SH,X600688.SH,X600886.SH,X600362.SH,X600157.SH,X600111.SH,X601992.SH,X600299.SH,X600188.SH,X000792.SZ,X601158.SH,X600160.SH,X600623.SH,X000883.SZ,X600583.SH,X000539.SZ,X600309.SH,X600660.SH,X000709.SZ,X000027.SZ,X000898.SZ,X600352.SH,X600098.SH,X000630.SZ,X002466.SZ,X000629.SZ,X600547.SH,X002470.SZ,X600489.SH,X600021.SH,X600578.SH,X000060.SZ,X300072.SZ,X600022.SH,X000723.SZ,X600315.SH,X002004.SZ,X000012.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.0975298297182094,0,0,0,0,0,0,0,0,0,0,0.126419298843844,0,0.035580438398844,0,0,0.0012816626615404,0,0.112720220608739,0.0132762319523033,0,0,0,0,0.026590266082152,0,0,0,0,0.00936089215368912,0,0,0,0.00871489465460354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600028.SH,0.037850986138538,0,0,0,0,0,0.166160439266397,0,0,0,0,0,0,0,0.0195914225685497,0,0,0,0,0.0270973494949233,0,0,0,0,0,0.140471178948006,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0.00188188167437375,0,0,0,0,0,0,0,0,0.00575625234018077,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0.314140594637045,0,0,0,0,0,0,0,0,0,0,0,0.134680651257725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0.0454674931949819,0,0,0,0,0,0.0117772846487194,0,0,0,0,0,0.00876054139478853,0,-0.000574696190228626,-0.00480873970431238,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162226401356164,0.00462408454576912,0,0.0445869693541701,0,0,0,0,0,0,0,0,0,0,0.0954868248118033,0,0,0,0,0,0,0.10221455978888,0,0.0111498906322587,0,0,0,0,0,0.0305525924604201,0,0,0.0102274723363886,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.270291896141896,0,0,0.114682172283527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116011489645589,0,0,0,0,0,0.109603571054985,0,0,0,0,0.0209877348286916,0,0,0,-0.00421047877399366,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0267600929543569,0,0,0,0,0.126093719717327,0,0.0397663766687327,0,0,0,0,0,0,0,0,0,0.230171214369068,0,0,0.0648189815375813,0,0,0,0,0,0.0465553784137949,0,0,0,0.0210869586743035,0,0,0,0,0.0176223007150877,0,0,0.0137557082653328,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.100412153750557,0,0,0,0,0.0228504985213351,0,0,0,0,0.00204135302296551,0,0,0.134381619315932,0,0,0,0,0.0820523722013577,0,0,0,0,0.0384213806643751,0,0,0,0,0,0,0.0805995990183287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.14732358881653,0,0,0.0867527334435345,0,0,0,0.157372821329307,0,0.0223114778529453,0,0,0,0,0,0,0,0,0.0333996610612515,0,0,0.0391281181182404,0,0,0,0,0,0,0,0,0,0,0,0.0936514140381083,0,0,0.0579628568795984,0,0,0,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0280002110975478,0,0.0443801053633871,0,0,0.0170245676343876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0700998278586388,0.104910559287877,0,0.00179669761076777,0.0440803274654247,0,0,0,0.135085794860043,0,0,0.0177190845149553,0,0,0,0.0640640923876063,0,0,0,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0248552861310639,0,0.0973576417354078,0.0779739702295023,0,0,0,0.245958531452593,0,0,0.0207257797463292,0,0,0,0,0,0,0.0190244599038849,0,0,0,0,0,0,0,0,0,0,0,0,0.147381584901302,0,0,0.0227197604767127,0,0,0,0,0,0,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0404031437841265,0.135560285864933,0.0382197141856086,0,0.000986695198308148,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0262084872157788,0,0,0,0.192175999109345,0,0.0674599701802026,0,0,0,0,0.0200818294586826,0.0121457203970809,0,0,0.00939090623239161,0,0,0,0,0,0
X600027.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130591654189012,0,-6.93889390390723e-18,0.0575555660631284,0,0.0228307156684112,0,0,0,0,0,0,0,0.00504604704360578,0,0,0.0789935301851577,0,0,0,0,0,0,0.0950358780937144,0,0,0,0,0,0,0,0.0553209292019869,0,0,0,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.230225462148164,0,0,0,-1.73472347597681e-18,0,0.0593734372667177,0,0,0,0,0,0,0,0,0.113474446155495,0,0,0.139302700015511,0,0,0,0,0,0,0,0,0.172507282266102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600886.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.108117478476521,0,0,0,0,0.0135619386729174,0,0.0294524570045437,0.00939202789290692,0,0,0,0,0,0,0,0,0,0.0279606364835039,0,0.134070883489507,0.0461207447847844,0,0.0219996573308791,0,0,0,0,0.0310271252391432,0,0,0,0,0,0,0.00883731276445404,0.0334891346120482,0,0,0,0,0,0,0,0,0
X600362.SH,0,0,0,0,0,0,0,0,0,0.196106283358154,0,0,0.114742815683067,0,0,0,0.161915828515083,0,0,0.107270331211809,0,0.0427390207352685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0389277215496361,0.0414295597817312,0,0,0,0,0.133614068090895,0,0,0.022727223066661,0,0,0,0,0,0,0,0,0,0,0,0
