,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X600688.SH,X601898.SH,X601600.SH,X600795.SH,X600111.SH,X601991.SH,X600027.SH,X600157.SH,X600362.SH,X600188.SH,X002466.SZ,X600886.SH,X600623.SH,X601992.SH,X600547.SH,X600660.SH,X600299.SH,X000792.SZ,X600309.SH,X600489.SH,X601158.SH,X300072.SZ,X600583.SH,X600549.SH,X000883.SZ,X000709.SZ,X002075.SZ,X600352.SH,X000898.SZ,X000539.SZ,X000723.SZ,X000027.SZ,X000630.SZ,X002460.SZ,X002407.SZ,X000983.SZ,X002470.SZ,X000012.SZ,X600176.SH,X600021.SH,X600098.SH,X000060.SZ,X000761.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0.0207620813916524,0,0,0,0.0289170292111787,0,0,0,0.0886461642679276,0,0,0,0,0,0,0,-0.0152647972737415,0,0,0,0,0,0.0432830807350021,0,0,0,0.133504963857593,0,0,0,0,0,0,0,-0.0417552299275294,0,0,-0.0282380739718599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0.122670712272373,0,0,0,0,0,0,-0.0114492188483007,0.162244555096465,0,0,0,0,0,-0.0102892193518893,0,0,0,0.0617283602893354,0,0,0,0.0579620956930158,0,0,0,0,0,0,0,-0.0314867023307244,0,0,0,-0.0316229665345426,0,0,0,0,0,0,0,0,0,0.003574564482026,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0.105375663090742,0,0.121643331331581,0,0,0,0,0,0,0,0,0,0,0.024731110968451,0.00618021118865639,0,0,0,0.0399797843422022,0.0408444989351412,0,0,0,0,0.0326372639918367,0,0,0,0,0,0,0.124256585971407,0,0,0,0,0.00939078148202146,0,0,0,0,0,0,0,0,0.00141580373773657,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0.0390334553188438,0,0,0,0,0,0,0,0,0,0,0,0.106225893792318,0,0.0223794311380211,0,0,0,0.0149583799792706,0.0428896656667323,0,0.066499068010903,0,0,0.0189942403554029,0,0,0,0,0,0,0,0,0,0,0.00158363106219694,0.0181592625643831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0.203310178012114,0,0.294837311343736,0,0,0,0.0240435098596548,0,0,0,0,0,0.0340886825986255,0,0,0,0,0.0210597243426987,0,0,0,0.078226886373148,0,0,0,0,0,0,0,0,0,0,0.000583693648143556,0.0124525255087026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0.160742176570256,0,0,0,0,0,0,0,0,0,0.0160023642351544,0.0580136910960887,0,0,0,0,0,0,0,0,0,0.0219021208127131,0,0.0240025096329828,0,0.015711122124224,0.312404484132708,0,0,0,0,0,0,0.0429584518509399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600585.SH,0,0,0.613341501302385,0,0,0,0,0,0,0,0,0.0869174472596317,0,0,0,0,0,0,0,0.0814285957435335,0,0,0,0,-0.0972538732096147,0,0,0,0,0,0.149838557530774,0,0,0,0,0,0,0,0,-0.106750993581073,0.0761925525277799,0,0,0,0,0,0,0,0,0,0,0,0,0.100496325180889,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,0,0.0594765261355088,0,0,0,0,0.00616238980136415,0,0.198535064599493,0,0,0,0,0,0,0,0,0,0,0.0167595964293489,0.271431583286008,0,0.004670969340036,0,0,0.161411800043594,0,0,0,0,0,0,0,0,0,0,0,0.115362739485985,0,0,0,0.0679307208648616,0,-0.0417857127614714,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0.0517171816749213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100733580130376,0,0,0,0,0,0.0349549546632361,0,0,0.0309916187998675,0,0,0,0.0927262114743499,0,0,0.00579332022219274,0,0.210951467652298,0,0,0.105753740203569,0,0,0,0.00857559804063459,0,0,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0.0896094012195754,0,0.0585138102898194,0,0,0,0.163450867695746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014346815746157,0,0,0,0.106949916878867,0,0,0.00174442121047284,0,0,0,0.0761874369050034,0,0,0,0,0,0,0,0,0,0,0.21902369716554,0,0,8.67361737988404e-19,0,0,0,0,0,0,0
