,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X002466.SZ,X002460.SZ,X600585.SH,X601898.SH,X000792.SZ,X600011.SH,X600019.SH,X000301.SZ,X600111.SH,X600660.SH,X000708.SZ,X600010.SH,X600886.SH,X600547.SH,X000877.SZ,X601600.SH,X600795.SH,X002271.SZ,X601991.SH,X600027.SH,X600426.SH,X000983.SZ,X600803.SH,X600362.SH,X600176.SH,X601699.SH,X000408.SZ,X600096.SH,X600348.SH,X000629.SZ,X000723.SZ,X600995.SH,X000786.SZ,X600141.SH,X000933.SZ,X600219.SH,X600160.SH,X600985.SH,X600157.SH,X600489.SH,X002353.SZ,X300073.SZ,X002080.SZ,X600378.SH,X600801.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0.124463950206949,0,0,0,0,0,0,0,0,0,0,0,0.0633794395046406,0,0,0,0,0,0,0,0,0,0.208813468893732,0,0,0,-0.00503840926305468,0,0,0,0,0.00275058806671395,0,0,0,0,0,0,0,0,0,0,0,-0.010321731295092,0.0075107708001785,0,0,0,0,0,0
X601088.SH,0,0,0,0.172424072181475,0.410406767935261,0.156981322915898,0,0,0.0245526051553525,0,0.0482196793528057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0403276832430736,0,0,0,0,0,0,0,-0.147119029500048,0,-0.0417184402367529,0,0,0.0288340485187772,0,0.0140461291063311,0,0,0,0,0,0,0,0,0,0,-1.0842021724855e-19,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0.0275346713604929,0,0.0165637513370108,0.0013832627277885,0,0,0,0,0,0,0,0,0,0,0,0.0882699689805695,0,0,0,0,0,0.0451056856326477,0.027397702939247,0,0.048431928816253,0,0,0,-0.01671106066238,0.0138788433228299,0,-0.00887951526114836,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0.00693835602606447,0,0,0,0,0,0,0,0,0
X600309.SH,0,0.0834616100784174,0,0,0,0,-0.0649466921237546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0364265089602171,0,0,0,0,3.46944695195361e-18,0,0,0.00600400823271722,-0.0343050760375828,-0.0339294455188686,0,0.0161675145097197,0.136660949042103,0,0,0,0.124993054245779,0.087932816137255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600188.SH,0,0.501799395508064,0,0,0,0,0,0,0.107821250838428,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0247039413874905,0,0,0,0.0533850907615284,0,0,0,0.0506056400970238,0,0,0.0798528965520268,0.00249562303458261,0,0,0,0,0.19945092759037,0,0,0,0,0,0,0,0,0,0,0.0825727635099367,0,0,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0.717527913836964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.259916535924655,0.0678836463410781,0,-0.137084828915022,0,0,0,0.184825207623048,-0.0531223406898201,0,0,0,0,0,0,0,0,0,0,0,0.0114294126844657,0,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0.33146594835574,0,-0.0651092207053355,0,0,0,0,0.0842133300350437,0,0,0,0,0,0,0.100614396684633,0,0,0.0350572463324728,0,0,0,0,-0.203014805256271,0,0,0,0,0,0,0.0517904341787148,0,0,0,0.192556222451637,0.0987583905195256,0,0,0,0,0,0,0,0,0,0,0,0.0601786094422649,-0.0692345602968702,0,0,0,-0.0291880910821283,0,0
X600585.SH,0,0,0,0,0,0,-0.0310217871393261,0,0,0,0.0971550216908827,0,0,0,0,0,0,0,0,0,0,0.0512484656623558,0.0353755368939385,0,0,0,0,0,0,0,0,0,0.0713033674541701,0,0,0,0,0.0461734485090437,0,0,0,0,0,0,0,0,0,0,0,0.410649253881402,0,0.0217807837944698,0.0186273803013567,0,0,0,0,0,0
X601898.SH,0,0.113042253692578,0,0,0.0141555275356501,0,0,0,0,0,0.0240689139362609,0,0,0,0,0,0,0,0,0,0,0.0175022806763784,-0.00883874345716523,0,0,0,0.341452266056726,0,0,0,0,0,0.162438382891392,0,0,0,0,0,0,0,0.100783482546354,0,0,0,0,0.208873179853496,0,0,0,0,0,0,-0.0292844900346804,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0.148488190242421,0.156732870609491,0,0,0,0.156050610078647,0,0,0,0,0,0,0,0,0,0.0981383074728063,0,0,0,0,0,0,0,0,0,0,0.235617389074247,0,0,0,0,0,0.0271951263514919,0,0.0256936532089177,0.00646790646504089,0,0,0,0,0,0,0,0,0,0,0,0.018725577814855,0,0,0,0,0,0
