,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X002460.SZ,X600585.SH,X002466.SZ,X000792.SZ,X600019.SH,X600011.SH,X601898.SH,X600111.SH,X000301.SZ,X600660.SH,X000708.SZ,X600010.SH,X601600.SH,X002271.SZ,X600547.SH,X600886.SH,X000877.SZ,X600426.SH,X600795.SH,X600362.SH,X601699.SH,X000983.SZ,X600176.SH,X600027.SH,X600803.SH,X601991.SH,X000786.SZ,X600995.SH,X000629.SZ,X000807.SZ,X000408.SZ,X600160.SH,X600219.SH,X000723.SZ,X000831.SZ,X600489.SH,X600096.SH,X600378.SH,X002080.SZ,X000933.SZ,X600348.SH,X000630.SZ,X300037.SZ,X600688.SH,X000932.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600886.SH,0,0,0,0,0,0,0,0,0,0,0.288229705658719,0,0,0,-0.107536566231229,0,0,0,0,0,0,0,0,0.0135705321977314,0,0,0,0,0.00383422474864497,0,0,0,0.00424779096956285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0673080349214351,0,0,0,0,0,0,0,0,0,0
X000877.SZ,0,0,0,0.0373968715621617,0,0,0.173985437662389,-0.0239492120373225,0,0,0,0,0,0,0,0,0.0255549010408436,0,0.00938947090217875,0.0781967814987129,0,0,0,0,0,0,0,0,0.0611813256936437,0,0,0.24751507813848,0,0.0759228201410735,0,0,0,0,0,0,0,0,0,0.145605135540945,0,0,0,0,0,0.211508900867154,0,0.00825112783921208,0,0,0,0,0,0,0
X600426.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0108328093642717,0,0,0,0,0,0,0,0,0,0,0,0,0.259966009714895,0,0,0,0.0406871341921918,0,0,-0.00747560849230286,0,0.107637137927469,0,0,0,0,0,0,-0.186132324645685,0,0,0,0,0,0,0,0,0,-0.00665991416902452,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0,0.135072374173109,0,0,0,0,0,0,0,0.026845506499446,0,0,0.0350772291962511,0,0,0,-3.46944695195361e-18,0,0,0.0631208135078598,0,0.339632582350432,0,0,0,1.73472347597681e-18,0,0,0,0,-0.0804065005676978,0,-0.201632133066995,0.0739643208676834,0,0.0721705463922272,0,0,0,0,0,0,-0.0976720416486221,0.0551302567071303,0,0,0,0,0,0
X600362.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0431829736867031,0.178977722789209,0,0.136459774694217,0,0,0,0,0,0,0,0,0,0.143387875360699,0,0,0,0.0268208905338047,0.12442969360924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00751446001137469,0,0,0,0,0,0
X601699.SH,0,0,0,0,0.661804316886993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0806938909948329,0,0,0,0,0,0,0,0,0,0,0,0.0172235828909539,-0.0117909548409672,0,0,0,0,0,0
X000983.SZ,0,0,0,0,0,0,0,0.0616288161626941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.351747344435304,0,0,0,0.0127130747998701,0,0,0,0,0.0655772387429377,0,0,0,0,0,0,0,0,0,0.398632402433204,0,0,0,0,0,0,0.014585816037347,-0.0216004024263682,0,0,0,0,0,0
X600176.SH,0,0,0,0,0,0,0,0,0,0,0,0.144338671885962,0,0,0,0,0,0.0172824233720107,0,0.000152310555463404,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0.0349070312439304,0,0,0,0,0,0,0,0.0400857267255835,0,0,0,0.259892863531551,0.150193887735006,0,0.0817238575465275,0.0217583348219134,0,0,0,0.0287968676812197,-0.0159445105191817,0,0,0,0,0,0
X600027.SH,0,0,0,0,0,0,0,0,0,0,0.637283499807279,0,0,0,0,0,0,-0.0848692231621259,0,0,0,0,0,0.22271059921425,0,0.0763124580854606,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0146512346105331,-0.00194981548434552,0,0,0,0,0,0
X600803.SH,0,0.100602812168213,0,0,0.214074948190986,0,0,0,0,0,0.226504016434333,0,0,0,0,0,0,0,-0.0711081696804888,0.222502698874102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0267231922111932,0.0323822366708763,-0.0275928237226091,0,0,0,0,0,0
