,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X600019.SH,X000708.SZ,X002271.SZ,X002460.SZ,X600660.SH,X600547.SH,X601898.SH,X600362.SH,X600010.SH,X600111.SH,X000786.SZ,X600886.SH,X601600.SH,X000301.SZ,X600011.SH,X600188.SH,X600176.SH,X600426.SH,X000027.SZ,X601991.SH,X600803.SH,X000932.SZ,X002466.SZ,X600801.SH,X600795.SH,X600352.SH,X000898.SZ,X600219.SH,X000883.SZ,X600489.SH,X600688.SH,X000723.SZ,X002080.SZ,X600157.SH,X600027.SH,X600516.SH,X600486.SH,X000825.SZ,X600299.SH,X000807.SZ,X601992.SH,X002353.SZ,X300037.SZ,X600612.SH,X601168.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.276673918133508,0,0,0,0.0368622973275371,0,0,0,0,0,0,0.0302220406821577,0,0,0,0,0,0,0,0,0,0.0279563862517976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0345100913324855,0,0,0,0,-0.00306467705234644,0,0,0,0,-0.00687759159925539,0,0
X600028.SH,0,0,0,0,0,0,0.0191263931534422,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0093191770249911,0,0.113127336571961,0,-0.0995103860538037,0,0,0.0310717426216585,0,0,0,0.0717478124233232,0.0277179520490788,0,0,0,0,0,0,0,0,0,0,0,0.102603418275025,0,0,0,0,0,0,-0.0154253899830783,-0.00923521069374764,0,0,0,-0.0128362880481269,0,0
X601088.SH,0,0,0,0,0,0,0,0,0.0868631462315073,0,0,0,0,0,0,0,0,0,0.00142349059234407,0,0.116314842549479,0,0,0,0,-0.038612950680253,0,0.0312417514671376,0,0,0,0,0,0.0568667564628847,0,0,0,0,0,0,0,0,0,0,0.131737229969951,0,0,0,0,0,0,0.0160181022608876,0,0,0,0,0.00275596179118778,0,0
X600309.SH,0,0,0,0,0,0,0,0,0.0580914379734941,0,0,0,0,0,0.135453538649634,0,0,0,0.0476203823370276,0,0,0.0130887663185887,0,0,0,0,0,0.230044759930247,0,0,0,0,0.107648732079865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00899813937969163,0,0,0,0.0395211475399569,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0230126020893689,0,0,0,0,0,0,0.0867278881399421,0,0.0737456674824263,0,0,0,0.0964984493615193,0,0.139920043441675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0842021724855e-19,0,0,0,0,4.33680868994202e-19,0,-0.0240326841442126,0,0,0,0,-0.0382730436231852,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150353432915131,0,0,0.0102004287485042,0,0,0.128681980984018,0,0,0,0,0.0994225433459532,0.2830280392632,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0346636339858601,0,0.27636249817999,0,0,0,0,0,0,0,0,0.00322855459112389,0,0,0,0,-0.00677323545170375,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0,0.134707660548219,0,0,0,0,0.0590525299419533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114904412839301,-0.397821254243227,-0.0168491981402983,0,0,0,0,0,0,0,0,0,0.377173109858403,0,0,0.192147717575136,0,0,0,0,0,-0.0778679857807651,0,0,0,-0.0985423571458875,0,0
X002271.SZ,0,0,0,0.141952496632001,0,-0.351911705353361,0,0,0,0.1072949755305,0,0,0,0,0,0,0,0,0,0,0,0.0942391693891781,0.0768816136724049,0,0,0,0,0,0,0,0.0348977198607442,0,0,-0.0416579559232139,-0.168588009940448,0,0,0,0,0,0.0029871181069551,0,0,0,0,0,0,0,0,0,0,-0.0157427056501084,0,0,0,0,-0.0303763853770356,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0616564783830599,0,0,0,0,0.199040591581105,0,0,0.268630400676903,0,0,0,0.140084819434079,0.128366845424455,0.0461474320542625,0,0,0,0,0,0,0,0,0,0,0,0,0,0.239701788720616,0,0,0,0,0,0.21576414129999,0,0.175995258100198,-0.0539618864021546,0,0,0,0,0,-0.00135364812651805,0,0
X600660.SH,0,0,0,0,0,0,0,0.0591065763935808,0.0978508121005771,0,0,-0.0687448304352229,0,0,-0.0649010346441163,0,0,0,0.116175660357962,0,0,0,0,0,0,0.00785647789155203,0,0.0141670782953791,0,0,0,0,0,0,0,0,-0.00230421965164322,0.150044035150752,0,0,0,0.375574508847477,0,0,0,0,0,0.0632828074092206,0,0,0,0,-0.0139913369517604,0,0,0,-0.0365924938536643,0,0
