,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X002460.SZ,X600585.SH,X600019.SH,X000792.SZ,X600111.SH,X002466.SZ,X600010.SH,X600188.SH,X000301.SZ,X601600.SH,X600011.SH,X601898.SH,X002271.SZ,X600660.SH,X000708.SZ,X600547.SH,X600362.SH,X600886.SH,X600176.SH,X600426.SH,X601991.SH,X300037.SZ,X002080.SZ,X600795.SH,X000825.SZ,X000786.SZ,X000408.SZ,X600219.SH,X600803.SH,X600295.SH,X600141.SH,X000959.SZ,X000983.SZ,X600027.SH,X002326.SZ,X000807.SZ,X002353.SZ,X600688.SH,X000723.SZ,X000932.SZ,X000027.SZ,X000898.SZ,X601699.SH,X600096.SH,X600157.SH,X600352.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0.0243940269055393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0144997062304419,0,0,0,0,0,0,0.0712144358050256,0,0.0161567179607186,0,0,0,0.0386234230371539,0.0608458278643861,0.0337124749850631,0,0,-0.01045000371904,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0,0,0.0101693023408974,0.0241579030968601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0400396365541363,0,0,0,0,0.0937849980618665,0,0,0,0,0,0,0,0.0604349228562008,0,0,0.117854730880109,0,0.0104420496404535,0.00168742257242584,0,0,0,-0.00977081687858825,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0.0973322901713517,0,0,0,0,0.0902334283566305,0,0,0,0.137236381142962,0,0,0,0,0,0,0,0,0,-0.0839986439959529,0,0,0,0,0,0,0,0.0655379181635971,0,0,0.159259046642597,0,0,-3.46944695195361e-18,0,0,0.0419343596614286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,-0.0548925620219375,0,0,0,0,0,0,-0.00386903986038131,0,0,0,0,0.250949341725056,0,0.0888236935969678,0.0118829991662019,0,0,0,0,0,0,-0.00146038798740788,0,0,-0.0237718581262369,0,0,0,0,0,0,0,0.0292963203890621,0,0,-0.005283175664759,0,0,0,0,-0.0110515419882944,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0.207071376501049,0.609892729049623,0,0,0,0,0,0,0.0789289410639282,0,0,0,0,0,0,0,0,0.0364376149366936,0,0,0,0,0,0,0,0.0392077282306234,0.0778228391637034,0,-0.0759110242918863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0640427448617187,0,0,0,0,0,0
X600585.SH,0,0,0,0,-0.0916878535582769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0691683979093597,1.73472347597681e-18,0,0,0,0,0.0740765883935193,0,0.279831798528965,0.0227683428303131,0,0,0,0,0.0602178449256638,0,0,0,0,0,0,0,0.0937616907287951,0,3.46944695195361e-18,0.0280283323739342,0,0,0,0,0,0.0384313915658237,0,0,0,0,0,0
X600019.SH,0,0,0.0270961271883854,0,0,0,0,0,0,0,0,0.0694995979542258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0330105092640402,0,0,0,0,0,0,0,0,0,0,0,0.557028164444833,0.00613770633335867,0,0,0,0,0,0,0,0,0,0,0,0
X000792.SZ,0,0,0,-0.0328099388696073,0.0606806317064786,0,0,0,0,0,0,0,0.0232468502083503,0,0,-0.101010174636861,0,0,0,0,0,0,0,0,0,0,0,0,-0.123807981147418,0,0.225964082845487,0,0,0.109386689854636,0,0,0.152647189831481,0,0,0,0,0,-0.290225226669178,0,0,0,0,0,0,0,0,0,0.0932838436377054,0,0,0,-0.086657594901458,0,0
X600111.SH,0,0,0,0,0.143220338774099,0,0,0,0,0.208894610443051,0.263823806994688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100125281333369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0738238926427033,0,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0.3366387637356,0,0,0,0.138227418697682,0,0.118146261266343,0,0,0.0427654737593163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30967465646124,0,0,0,0,0,0,0,0.0320169184221721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
