,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600660.SH,X601898.SH,X600019.SH,X600188.SH,X601600.SH,X600585.SH,X600886.SH,X600011.SH,X600547.SH,X000792.SZ,X600010.SH,X600795.SH,X600111.SH,X002460.SZ,X600362.SH,X600803.SH,X600160.SH,X600489.SH,X000708.SZ,X600027.SH,X002466.SZ,X000301.SZ,X601991.SH,X000786.SZ,X000807.SZ,X000983.SZ,X600426.SH,X600219.SH,X600176.SH,X002128.SZ,X000408.SZ,X601699.SH,X000630.SZ,X600096.SH,X000877.SZ,X600157.SH,X601168.SH,X000933.SZ,X600985.SH,X002353.SZ,X600352.SH,X600299.SH,X600378.SH,X002271.SZ,X000883.SZ,X600995.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0.132091852791444,0,0.160072601241188,0,0,0,0,0,0.0562032976799651,0,0.0285545809504552,0,0,0,0,0.0419982037596139,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00869753808482369,0.0154026328802377,0,0,0,-0.0392121519074634,0,0
X601088.SH,0,0,0,0,0,0.460322507030707,0,0,0,0,0,0,0,0,0,0,0,-0.0223147728771769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0293116249930532,0.0201989339456115,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.025660188594636,0,0
X600028.SH,0.328104131715919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0224592235642019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0789735572276344,0.00709951003603499,0,0,0,0,0,0,0,0,0,0,0,-0.0064014160849368,0.00652908218485882,0,0,0,-0.0368321053505692,0,0
X600309.SH,0,0,0,0,0,0,0,0.00626792096244564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113225276059557,0,0.143845000587506,0,0,0,0,0,0.0530306255286318,0,0,0,0,0,0.110061161040555,0,0.111032300038751,0,0,0,0,0,0,0,0,0.0368278711168164,0,0.00952015996270987,0,0,0,0,0,0,8.67361737988404e-19,0,0
X600660.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0299222375624769,0.0297536667366536,0,-0.0445029348799529,0,0,0.158707450186094,0,0,0,0,0,0,0,0.0664083673090957,0,0,0,0,0,0,0.0756742845365301,0,0.143276757494545,0,0,0,0,0,0.058875707937494,0,0,0,-0.0466473597417331,0,0,0,0,0.0192688737553085,0,0.133755035738879,0,0,0,0
X601898.SH,0.120412032222955,0.215415775058185,0,0,0,0,0.113397329949875,0,0,0,0,0,0,0,0,0,0,0,0,0.00392991337916499,0,0,0.0618612023616982,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0918446136331491,0,0,0,0,0,0.0561428020279386,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0222529180904164,0,0
X600019.SH,0,0,0,0,0,0,0,0,0.239741688197069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129702203182932,0,0,0.0849244972624772,0.0465455196996334,0,0,0,0,0,0,0,0.0281093095059594,0,0,0,0,0.000279688893530871,0,0,0,-0.0176341966568271,0,0
X600188.SH,0,0,0,0.104064548828294,0,0.116896208154568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.292150613152969,0,0,0,0,0,0,0.131896140249485,0,0,0.079976879362769,0,0.0144564811480647,0,0,0,0,0,0,0,0,0,-0.00729216993394732,0,0,0,0,-0.00625180017404255,0,0
X601600.SH,0,0,0,0,0,0,0.104142128067551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141561429857422,0.116114696637274,0,0,0.520462083174947,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,-0.00348145166336477,0,0,0,0,-0.0424603677319188,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0103123102621466,0,0,0,0,0,0,0,0,0,0.021883943323372,0,0,0,0,0,0,0,0,0,0,0.224958575434659,0,0,0,0.284126010613928,0,0,0,0,0.046139358466737,0,0,0,0,0.000735161562689814,0,0,0,0,0,0
