,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600585.SH,X600019.SH,X601898.SH,X601991.SH,X601600.SH,X600010.SH,X600188.SH,X600795.SH,X600362.SH,X600886.SH,X600111.SH,X600027.SH,X601992.SH,X600688.SH,X600309.SH,X601158.SH,X000898.SZ,X000709.SZ,X600583.SH,X000792.SZ,X000883.SZ,X002353.SZ,X000539.SZ,X000027.SZ,X000825.SZ,X600489.SH,X000629.SZ,X000630.SZ,X600547.SH,X600808.SH,X600549.SH,X601699.SH,X600352.SH,X000959.SZ,X600008.SH,X600578.SH,X000831.SZ,X600660.SH,X600307.SH,X000983.SZ,X002470.SZ,X000937.SZ,X600098.SH,X600315.SH,X600863.SH,X000960.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.571553281042169,0,0,0,0,0,0,0,0,0.0462596141600772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0266682167717828,0,0,0,0,0,-0.0372066204835894,0,0,0,0,0,0,0
X600028.SH,0.580471960007971,0,0,0,0,0,0,0,0,0,0.0570778329434656,0,0,0,0,0,0,0.21485349701558,0,0,0,0,0,0,-0.00853618800115741,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020521504659934,0,0,0,0,0,0,0,0,0,0,0,0,-0.0104623384706774,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0.193870978955314,0,0,0,0.0942695642976591,0,0,0,0,0,0.0255799887541154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1886906630918,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0
X600011.SH,0.10863170273423,-1.38777878078145e-17,0,0,0,0.228723636254954,0,0,0,0,0.00858151703823882,0,0,0.0484834564445898,0,0.284271928282148,0,0.12795161911867,0,8.67361737988404e-19,-0.0564046385337226,0,0,0,-0.0662657087542898,0,0,0,-0.0305211608841048,0,0,0,0,0,0,0,0,0,0,0,0.0696739023862076,0,0,0,0,0,0,0,0,0,0,0,-0.00999370099898197,0,0,0,0,0,0
X600585.SH,0,0,0.0395509251788464,0,0,0,0,0,0.177898037305642,0.0543735453685546,0,0,0.0741838716534964,0,0,0,0.000271407090104372,0,0,0,0,0,0,0,0,0,0,0,-0.0181055021145555,0,0,0,0,0,0,0,0,0,0,0,0.118163849175837,0.0437323162686892,0,0.0184982256955756,0,0,0,0,0.0639120278999337,0,0,-0.0201167661989695,0,0,0,0,-0.119418862117558,0,0
X600019.SH,0,0,0,0.172145656811362,0,0,0,0,0,0,0.119890256628194,0,0,0,0,0,0,0,0,0,0.299392233856765,0.227748451498547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0127953619100504,0,0,0,0,0.0136347144942066,0,-0.0352647881267148,0,0,0,0,0,0,-0.0099314192559316,0,0,0,0,0,0,0
X601898.SH,0,0,0.0225988063649384,0,0,0,0,0,0.308157344597374,0.049349943210816,0.0450695993090144,0,0,0,0,0,0.0885029652084089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139916481700086,0,0,0,0,0.0658850907397275,0,0,0.145370788731632,0,0,0,0,0,0,0,-0.0203214149458827,-0.0135982866020748,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0,0.0513293148947968,0,0,0.0156485355792301,0,0,0,0,0,0,0,0,0,0,0,0,0.0130895455006569,0,0,0,0,0,0.142164378581515,0,0,0,0,0.0265660144983154,0,0,0,0.0996132944275296,0,0.0175311007312133,0,0,0,0,0,0,0,0,0,0.00529861147681558,-0.017247133925687,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0.0495016828536966,0,0,0.289562118606735,0,0,0,0.0128369637678379,0,0,0,0.0341208132680848,0.0780539070991547,0,0,0,0,0,0,0,0,0.16554476771111,0,0,0.0228387909967902,0,0,0,0,0,0.139102050450272,0,0,0,0.0220659332020405,0,0,0,0,0,0,0,0.0107856446784126,0.0115226572450905,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0.132187106434403,0,0.0610933347520542,0,0,0,0,0,0,0.179632318190213,0,0,0,0,0.142737676389958,0.141031074418111,0,0,0,0,0,0,0,0,0,0,0,0.0448748199189042,0,0,0,0.144156286419428,0,0,0,0,0,0,0,0.128934305137298,0,0,0,0,0,0,0,0,0,0,0,0,0
