,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600547.SH,X600010.SH,X601600.SH,X601898.SH,X600660.SH,X601991.SH,X600886.SH,X600688.SH,X600362.SH,X600188.SH,X600352.SH,X600795.SH,X600801.SH,X600111.SH,X601992.SH,X000723.SZ,X600027.SH,X000898.SZ,X002271.SZ,X600489.SH,X600176.SH,X600516.SH,X000786.SZ,X002460.SZ,X000709.SZ,X002466.SZ,X600299.SH,X000629.SZ,X601158.SH,X000883.SZ,X600219.SH,X600808.SH,X000553.SZ,X000401.SZ,X002353.SZ,X600985.SH,X000630.SZ,X000027.SZ,X601699.SH,X600583.SH,X600426.SH,X000825.SZ,X600612.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0.0137390990335397,0,0,0,0,0,0,0,0,0,0,0,0.00535977794400029,0,0.000151983669062297,0,0,0.00927019660079037,0,0,0,0,0,0,0,0,0,0.0206474948799732,0.0351985615032284,0.0522034540238406,0,0,0,0,0,0,0,0.0671250392837268,0,0,0,0.039052852809516,0,0,0,0,-0.00510689632561293,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00177484963172636,0,0.00746622489233256,0.0198235904397095,0,0.0266159691910877,0,0,0,0,0,0.0274613204981692,0,0,0,0,0,0,0,0,0,0,0.0115132080064542,0,0.0603807003422074,0,0,0,0,0,0.108666355183059,0,0,0,-0.0157134864491171,0,0,0,0,-0.00969623223471514,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0678106099446422,0,0,0,0.0379177383036003,0.0806304800453619,0,0.0637031529528275,0,0,0,0,0,0.0119013307935067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11676716676994,0,0,0,0,0,-0.0134055696592587,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0.0576497714303332,0,0,0,0,0,0,0,0,0,0,0,0.0339576489770641,0,0.373805487796135,0,0,0.0339106475843135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0510530662902089,0,0,0,0,0,0,0,0,-0.0195340758149736,0,0,0,0,0.0277700225320731,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0.0241273752313209,0,0,0,0,0,0,0,0,0,0.18851075170873,0,0,0.0636401790721893,0,0,0,-0.0225429736733903,0,0,0,0,0,0,0.0574450963514792,0,0,0,0,0,0,0,0,0.0562319016455048,0,0,0,0,0,0,0,0,-0.00369503427286488,0,0,0,0,0.0125578759156691,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.259118723713058,0,0,0.0677194253045068,0,0,0,0,0,0.0369993475351092,0.0832053858777803,0,0,0,0,0,0,0,0,0,0,0,0.130853618446315,0,0,0,0,0,0,0,0,0,0.00864774366881817,0,0,0,0,0,0,0.054759629881778,0,0
X600011.SH,0,0,0,0,0,0.0353898441008922,0,0,0,0,0,0,0,0,0,0,0,0.0972799822797261,0,0,0,0,0.0475681286238033,0,0,-0.105625344328215,0,0,0,0,0,0,0,0,0.0403910844746059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0775395067782797,0,0,0,-0.00276729445305945,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0481801334994203,0,0,0,0.924304287004747,0,0,0,0,0,0,0,0,0,0,0,0,0.0555767972991369,0,0,0,0,0,0,0,0,0,0,0,-0.0427984546841286,0.0684171105317638,0,0,0,-0.0289466082253245,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0.20774894251714,0,0,0,0,0,0.127792874037262,0,0,0,0.1181757048883,0.14613619698001,0,0,0,0,0,0,0,0,0,0,0,0,0.0026134279333312,0,0,0,0,0,0,0,0.029486064045466,0.030942655361397,0,0,0,0,0,0,0,0,0,-0.0164288653506811,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126570597205572,0,0,0,0.0593813025754549,0,0,0.0459389886035046,0,0,0,0,0,0.071733943725685,0,0,0,0,0.0119057705618203,0,0,0,0,0,0,0,0,0.0123345178984709,0,0,0,0,0.221284438733439,0,0,0,-0.0107319452883302,-0.00168798934941958,0,0,0,0,0,0
